Player,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS,POS
"Steve Smith Sr., Bal WR",Cle,W 24-10,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Andre Johnson, Ten WR",@Jax,W 37-16,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Anquan Boldin, Buf WR",@Car,L 3-9,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Larry Fitzgerald, Ari WR",@Ind,W 16-13,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Jerricho Cotchery, Car WR",Buf,W 9-3,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Wes Welker, LAR WR",Wsh,L 20-27,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Roddy White, Atl WR",GB,W 34-23,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Vincent Jackson, TB WR",Chi,W 29-7,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Joshua Cribbs, Ind WR",Ari,L 13-16,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Nate Washington, NE WR",@NO,W 36-20,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Lance Moore, Atl WR",GB,W 34-23,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Greg Jennings, Mia WR",@LAC,W 19-17,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Devin Hester, Sea WR",SF,W 12-9,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Derek Hagan, Ten WR",@Jax,W 37-16,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Jason Avant, KC WR",Phi,W 27-20,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Brandon Marshall, NYG WR",Det,L 10-24,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Marques Colston, NO WR",NE,L 20-36,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Miles Austin, Phi WR",@KC,L 20-27,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Calvin Johnson, Det WR",@NYG,W 24-10,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Ted Ginn Jr., NO WR",NE,L 20-36,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Dwayne Bowe, Cle WR",@Bal,L 10-24,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Jacoby Jones, Pit WR",Min,W 26-9,--/--,--,--,--,--,--,--,--,--,--,--,WR
"James Jones, LAC WR",Mia,L 17-19,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Eric Weems, Ten WR",@Jax,W 37-16,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Jordy Nelson, Oak WR",NYJ,W 45-20,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Eddie Royal, Chi WR",@TB,L 7-29,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Jerome Simpson, SF WR",@Sea,L 9-12,--/--,--,--,--,--,--,--,--,--,--,--,WR
"DeSean Jackson, TB WR",Chi,W 29-7,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Harry Douglas, Ten WR",@Jax,W 37-16,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Andre Jerome Caldwell, Det WR",@NYG,W 24-10,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Matthew Slater, NE WR",@NO,W 36-20,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Pierre Garcon, SF WR",@Sea,L 9-12,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Stevie Johnson, LAC WR",Mia,L 17-19,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Danny Amendola, Mia WR",@LAC,W 19-17,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Kenny Britt, NE WR",@NO,W 36-20,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Michael Crabtree, Bal WR",Cle,W 24-10,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Brandon Gibson, NE WR",@NO,W 36-20,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Brian Hartline, Cle WR",@Bal,L 10-24,--/--,--,--,--,--,--,--,--,--,--,--,WR
