Player,POS,Team,PA,YdA,Int,Fum Rec,Sack,Saf,TD
Jacksonville Jaguars,DST,JAX,15.5,270.7,1.3,0.7,2.9,0.0,0.2
Los Angeles Chargers,DST,LAC,19.7,342.8,1.2,0.6,3.1,0.0,0.2
Green Bay Packers,DST,GB,19.6,320.5,1.0,0.6,3.0,0.0,0.2
Seattle Seahawks,DST,SEA,16.0,267.3,1.1,0.6,2.5,0.0,0.2
Chicago Bears,DST,CHI,21.7,375.2,1.1,0.8,2.6,0.0,0.2
Philadelphia Eagles,DST,PHI,19.3,293.2,1.0,0.7,2.1,0.0,0.2
Indianapolis Colts,DST,IND,23.9,371.9,1.0,0.7,2.8,0.0,0.2
Los Angeles Rams,DST,LAR,21.1,369.5,1.0,0.7,2.4,0.0,0.2
New England Patriots,DST,NE,20.9,369.1,1.0,0.6,2.5,0.0,0.2
Arizona Cardinals,DST,ARI,21.2,337.0,0.9,0.6,2.7,0.1,0.2
Pittsburgh Steelers,DST,PIT,24.0,352.7,1.0,0.6,2.6,0.0,0.2
Dallas Cowboys,DST,DAL,22.0,353.9,0.9,0.7,2.4,0.0,0.2
Kansas City Chiefs,DST,KC,23.3,363.2,1.0,0.6,2.1,0.0,0.2
New Orleans Saints,DST,NO,22.4,352.8,1.0,0.6,2.3,0.0,0.2
Tennessee Titans,DST,TEN,23.4,369.3,0.8,0.7,2.5,0.0,0.2
Baltimore Ravens,DST,BAL,24.9,357.1,1.0,0.7,2.0,0.1,0.2
Tampa Bay Buccaneers,DST,TB,22.7,339.4,0.9,0.7,2.4,0.0,0.2
Oakland Raiders,DST,OAK,22.3,361.2,0.8,0.6,2.6,0.0,0.2
Houston Texans,DST,HOU,24.1,338.3,0.8,0.6,2.5,0.1,0.2
Detroit Lions,DST,DET,22.8,340.5,0.8,0.6,2.3,0.0,0.2
Cleveland Browns,DST,CLE,22.1,348.9,1.0,0.7,1.8,0.0,0.2
Minnesota Vikings,DST,MIN,27.2,366.8,0.9,0.7,2.0,0.1,0.2
Buffalo Bills,DST,BUF,24.7,344.6,0.7,0.6,2.5,0.0,0.2
Atlanta Falcons,DST,ATL,23.1,361.4,0.9,0.6,2.0,0.0,0.2
New York Jets,DST,NYJ,24.1,339.0,0.9,0.6,1.8,0.0,0.2
San Francisco 49ers,DST,SF,28.9,410.9,0.7,0.7,1.8,0.0,0.2
Denver Broncos,DST,DEN,29.3,367.7,0.7,0.6,2.1,0.0,0.2
Cincinnati Bengals,DST,CIN,26.4,372.4,0.7,0.5,2.0,0.0,0.2
Miami Dolphins,DST,MIA,26.6,370.7,0.7,0.6,1.7,0.1,0.2
New York Giants,DST,NYG,28.2,410.5,0.7,0.6,1.4,0.0,0.2
