Player,POS,Team,PA,YdA,Int,Fum Rec,Sack,Saf,TD
Jacksonville Jaguars,DST,JAX,14.6,259,1.5,1.0,3.0,0.0,0.35
Seattle Seahawks,DST,SEA,14.7,266,1.5,0.8,2.5,0.0,0.3
Chicago Bears,DST,CHI,19.2,360,1.2,1.1,3.4,0.0,0.32
Los Angeles Chargers,DST,LAC,17.2,313,1.3,0.7,3.1,0.0,0.33
Arizona Cardinals,DST,ARI,18.8,307,1.1,0.7,3.1,0.1,0.23
Los Angeles Rams,DST,LAR,19.5,353,0.8,1.0,2.4,0.0,0.28
Tampa Bay Buccaneers,DST,TB,20.4,323,0.7,1.2,2.4,0.0,0.23
New Orleans Saints,DST,NO,19.9,350,1.0,0.6,2.4,0.0,0.28
Green Bay Packers,DST,GB,19.1,302,0.8,0.5,3.2,0.0,0.21
Oakland Raiders,DST,OAK,20.3,363,0.7,0.8,2.7,0.0,0.22
New England Patriots,DST,NE,17.7,364,0.8,0.8,2.2,0.0,0.26
Atlanta Falcons,DST,ATL,20.4,325,0.8,0.8,1.9,0.0,0.23
Baltimore Ravens,DST,BAL,24.6,354,1.4,0.8,2.0,0.1,0.31
Indianapolis Colts,DST,IND,22.6,367,1.2,0.8,2.6,0.0,0.3
Kansas City Chiefs,DST,KC,22.1,392,1.1,0.8,1.7,0.0,0.4
Dallas Cowboys,DST,DAL,21.8,347,0.7,0.9,2.9,0.0,0.28
Minnesota Vikings,DST,MIN,26.5,346,1.0,1.0,1.9,0.1,0.27
Houston Texans,DST,HOU,26.4,320,0.9,0.6,3.0,0.1,0.24
Detroit Lions,DST,DET,22.5,312,0.8,0.9,2.3,0.0,0.29
Pittsburgh Steelers,DST,PIT,23.8,338,1.1,0.6,2.5,0.0,0.25
Tennessee Titans,DST,TEN,22.6,365,0.8,1.0,2.1,0.0,0.27
Cleveland Browns,DST,CLE,21.5,333,1.0,0.9,1.8,0.0,0.26
Philadelphia Eagles,DST,PHI,21.0,309,0.9,0.9,1.9,0.0,0.24
Buffalo Bills,DST,BUF,25.9,304,0.5,0.7,2.9,0.0,0.2
New York Jets,DST,NYJ,23.6,323,0.9,0.8,1.5,0.0,0.26
San Francisco 49ers,DST,SF,27.0,381,0.8,0.8,1.6,0.0,0.23
Cincinnati Bengals,DST,CIN,25.6,342,0.8,0.3,1.5,0.0,0.19
Miami Dolphins,DST,MIA,27.5,353,0.6,0.7,1.5,0.1,0.23
Denver Broncos,DST,DEN,31.1,352,0.4,0.5,2.1,0.0,0.16
