Player,POS,Team,PA,YdA,Int,Fum Rec,Sack,Saf,Blk,TD
Jacksonville Jaguars,DST,JAX,16.3,291.0,1.2,0.7,3.4,0.1,0.0,0.30000000000000004
Los Angeles Chargers,DST,LAC,18.3,304.0,1.0,0.6,3.0,0.0,0.0,0.2
Seattle Seahawks,DST,SEA,18.3,303.0,0.9,0.7,2.7,0.1,0.1,0.2
Green Bay Packers,DST,GB,17.3,308.0,0.9,0.7,3.0,0.0,0.0,0.2
Philadelphia Eagles,DST,PHI,19.0,306.0,0.9,0.6,2.6,0.1,0.1,0.2
Chicago Bears,DST,CHI,21.5,338.0,0.8,0.6,3.0,0.0,0.1,0.30000000000000004
New England Patriots,DST,NE,22.0,375.0,0.9,0.6,2.9,0.1,0.1,0.1
Pittsburgh Steelers,DST,PIT,24.0,379.0,0.9,0.5,2.8,0.1,0.1,0.2
Indianapolis Colts,DST,IND,24.5,381.0,1.0,0.7,2.9,0.0,0.0,0.1
Dallas Cowboys,DST,DAL,20.8,390.0,1.0,0.7,3.3,0.0,0.0,0.0
New Orleans Saints,DST,NO,24.5,380.0,0.8,0.5,2.6,0.0,0.0,0.2
Houston Texans,DST,HOU,23.5,355.0,0.8,0.5,2.8,0.1,0.0,0.2
Cleveland Browns,DST,CLE,23.5,379.0,0.8,0.6,2.5,0.0,0.0,0.2
Tennessee Titans,DST,TEN,22.0,340.0,0.7,0.5,2.2,0.0,0.1,0.30000000000000004
Tampa Bay Buccaneers,DST,TB,24.5,359.0,0.7,0.6,2.6,0.0,0.1,0.2
Baltimore Ravens,DST,BAL,27.0,396.0,0.9,0.6,2.7,0.1,0.0,0.1
Arizona Cardinals,DST,ARI,21.8,303.0,0.8,0.5,2.4,0.1,0.0,0.2
Atlanta Falcons,DST,ATL,24.3,349.0,0.8,0.6,2.6,0.0,0.0,0.1
Detroit Lions,DST,DET,23.3,359.0,0.8,0.5,2.2,0.0,0.1,0.2
Los Angeles Rams,DST,LAR,21.0,371.0,0.8,0.4,2.4,0.1,0.0,0.30000000000000004
Oakland Raiders,DST,OAK,21.0,340.0,0.8,0.7,2.7,0.1,0.0,0.1
Kansas City Chiefs,DST,KC,25.5,381.0,0.8,0.6,2.6,0.0,0.0,0.2
Minnesota Vikings,DST,MIN,28.0,365.0,0.7,0.4,2.3,0.1,0.0,0.30000000000000004
New York Jets,DST,NYJ,23.8,359.0,0.8,0.5,2.1,0.0,0.0,0.1
Cincinnati Bengals,DST,CIN,27.8,396.0,0.8,0.5,2.2,0.0,0.1,0.2
New York Giants,DST,NYG,27.5,416.0,0.7,0.4,1.9,0.0,0.1,0.30000000000000004
Miami Dolphins,DST,MIA,28.5,399.0,0.7,0.5,2.0,0.0,0.0,0.2
Buffalo Bills,DST,BUF,26.3,388.0,0.6,0.3,1.7,0.0,0.0,0.2
Denver Broncos,DST,DEN,28.0,417.0,0.6,0.4,2.1,0.0,0.1,0.30000000000000004
San Francisco 49ers,DST,SF,28.3,424.0,0.6,0.4,1.9,0.0,0.0,0.1
Washington Redskins,DST,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carolina Panthers,DST,CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
