Player,POS,Team,Fantasy Points,Int,Fum Rec,Sack,Status,TD
Jacksonville Jaguars,DST,JAX,9.6,1.3,0.5,3.0, ,0.2
Green Bay Packers,DST,GB,8.0,0.9,0.4,3.0, ,0.2
Los Angeles Chargers,DST,LAC,7.7,0.9,0.4,2.8, ,0.2
Arizona Cardinals,DST,ARI,6.9,0.8,0.5,2.8, ,0.2
Philadelphia Eagles,DST,PHI,6.8,0.9,0.5,2.5, ,0.2
Seattle Seahawks,DST,SEA,6.7,1.0,0.4,2.5, ,0.2
Cleveland Browns,DST,CLE,6.6,1.0,0.6,1.8, ,0.2
Tampa Bay Buccaneers,DST,TB,6.5,0.9,0.5,2.2, ,0.2
Los Angeles Rams,DST,LAR,6.4,1.1,0.5,2.5, ,0.2
Houston Texans,DST,HOU,6.3,0.7,0.5,2.4, ,0.2
Dallas Cowboys,DST,DAL,6.2,0.6,0.6,2.5, ,0.2
Chicago Bears,DST,CHI,6.1,1.0,0.6,2.2, ,0.2
New Orleans Saints,DST,NO,6.1,0.8,0.5,2.2, ,0.2
Oakland Raiders,DST,OAK,6.0,0.8,0.4,2.2, ,0.2
New York Jets,DST,NYJ,5.9,0.8,0.6,1.7, ,0.2
Indianapolis Colts,DST,IND,5.9,1.0,0.5,2.5, ,0.2
Atlanta Falcons,DST,ATL,5.8,0.7,0.4,2.2, ,0.2
Tennessee Titans,DST,TEN,5.7,0.8,0.5,2.6, ,0.2
Baltimore Ravens,DST,BAL,5.6,1.0,0.5,1.9, ,0.2
Pittsburgh Steelers,DST,PIT,5.6,0.8,0.5,2.6, ,0.2
New England Patriots,DST,NE,5.5,0.9,0.4,2.6, ,0.2
Detroit Lions,DST,DET,5.5,0.8,0.4,1.8, ,0.1
Kansas City Chiefs,DST,KC,5.3,0.9,0.5,2.0, ,0.2
Buffalo Bills,DST,BUF,5.1,0.6,0.5,2.5, ,0.2
Minnesota Vikings,DST,MIN,4.8,0.8,0.4,2.2, ,0.2
Denver Broncos,DST,DEN,4.7,0.7,0.5,2.1, ,0.2
Cincinnati Bengals,DST,CIN,4.3,0.6,0.4,2.3, ,0.2
San Francisco 49ers,DST,SF,3.7,0.6,0.5,1.3, ,0.2
New York Giants,DST,NYG,3.3,0.7,0.4,0.9, ,0.2
Miami Dolphins,DST,MIA,3.0,0.5,0.5,1.8, ,0.2
Washington Redskins,DST,WAS,,,,, ,
Carolina Panthers,DST,CAR,,,,, ,
