Player,Team,Bye,Rec,Yard,TD,Att,Yard,TD,FPts
Andre Johnson,TEN,13,17,226,2,0,0,0,34.6
Brandon Coleman,NO,5,16,211,2,0,0,0,33.1
Jarius Wright,MIN,6,21,266,1,0,0,0,32.6
Cordarrelle Patterson,MIN,6,24,311,0,2,15,0,32.6
Josh Bellamy,CHI,9,15,245,1,0,0,0,30.5
Darrius Heyward-Bey,PIT,8,15,235,1,0,0,0,29.5
J.J. Nelson,ARI,9,15,235,1,0,0,0,29.5
Rod Streater,SF,8,17,229,1,0,0,0,28.9
Dontrelle Inman,SD,11,16,226,1,0,0,0,28.6
Malcolm Mitchell,NE,9,16,221,1,0,0,0,28.1
Jeremy Kerley,SF,8,16,217,1,0,0,0,27.7
Quan Bray,IND,10,13,215,1,0,0,0,27.5
Josh Huff,PHI,4,15,214,1,0,0,0,27.4
Rashad Greene,JAC,5,17,213,1,0,0,0,27.3
Jaron Brown,ARI,9,12,177,1,0,0,0,23.7
Kolby Listenbee,BUF,10,12,175,1,0,0,0,23.5
Andre Roberts,DET,10,13,175,1,0,0,0,23.5
Devin Smith,NYJ,11,11,165,1,0,0,0,22.5
Stedman Bailey,LAR,8,17,222,0,0,0,0,22.2
Tyreek Hill,KC,5,14,156,1,0,0,0,21.6
Aldrick Robinson,ATL,11,11,155,1,0,0,0,21.5
Marquise Goodwin,BUF,10,9,148,1,0,0,0,20.8
Ty Montgomery,GB,4,11,146,1,0,0,0,20.6
Louis Murphy,TB,6,11,145,1,0,0,0,20.5
Pharoh Cooper,LAR,8,14,186,0,0,0,0,18.6
Marquess Wilson,CHI,9,13,176,0,0,0,0,17.6
Philly Brown,CAR,7,12,146,0,0,0,0,14.6
Brice Butler,DAL,7,10,141,0,0,0,0,14.1
Paul Richardson,SEA,5,8,116,0,0,0,0,11.6
Jordan Norwood,DEN,11,7,89,0,0,0,0,8.9
Taylor Gabriel,ATL,11,7,88,0,0,0,0,8.8
Marcus Easley,BUF,10,5,78,0,0,0,0,7.8
Kevin Norwood,CAR,7,6,78,0,0,0,0,7.8
Bryan Walters,JAC,5,7,77,0,0,0,0,7.7
Mike Thomas,LAR,8,6,77,0,0,0,0,7.7
Harry Douglas,TEN,13,5,72,0,0,0,0,7.2
Jared Abbrederis,GB,4,5,72,0,0,0,0,7.2
Corey Fuller,DET,10,4,55,0,0,0,0,5.5
Javontee Herndon,SD,11,3,55,0,0,0,0,5.5
Russell Shepard,TB,6,5,49,0,0,0,0,4.9
Jakeem Grant,MIA,8,4,46,0,0,0,0,4.6
Aaron Burbridge,SF,8,3,45,0,0,0,0,4.5
Ryan Grant,WAS,9,3,44,0,0,0,0,4.4
Demarcus Robinson,KC,5,3,37,0,0,0,0,3.7
Cody Core,CIN,9,2,29,0,0,0,0,2.9
Brenton Bersin,CAR,7,2,26,0,0,0,0,2.6
