Player,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS,POS
"Jason Witten, Dal TE",@Atl,L 7-27,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Antonio Gates, LAC TE",@Jax,L 17-20,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Kellen Winslow, NYJ TE",@TB,L 10-15,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Benjamin Watson, NO TE",@Buf,W 47-10,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Alex Smith, Wsh TE",Min,L 30-38,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Vernon Davis, Wsh TE",Min,L 30-38,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Marcedes Lewis, Jax TE",LAC,W 20-17,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Anthony Fasano, Mia TE",@Car,L 21-45,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Owen Daniels, Den TE",NE,L 16-41,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Delanie Walker, Ten TE",Cin,W 24-20,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Daniel Fells, NYG TE",@SF,L 21-31,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Greg Olsen, Car TE",Mia,W 45-21,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Matt Spaeth, Pit TE",@Ind,W 20-17,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Scott Chandler*, NE TE",@Den,W 41-16,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Brent Celek, Phi TE",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,TE
"Clark Harris, Cin TE",@Ten,L 20-24,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Fred Davis, Wsh TE",Min,L 30-38,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Martellus Bennett, NE TE",@Den,W 41-16,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Craig Stevens, Ten TE",Cin,W 24-20,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Gary Barnidge, Cle TE",@Det,L 24-38,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Jacob Tamme, Atl TE",Dal,W 27-7,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Kellen Davis, NYJ TE",@TB,L 10-15,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Matthew Mulligan, Det TE",Cle,W 38-24,--/--,--,--,--,--,--,--,--,--,--,--,TE
"David Johnson, Pit TE",@Ind,W 20-17,--/--,--,--,--,--,--,--,--,--,--,--,TE
"James Casey, Den TE",NE,L 16-41,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Chase Coffman, Ind TE",Pit,L 17-20,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Jared Cook, Oak TE",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,TE
"Bear Pascoe, NE TE",@Den,W 41-16,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Brandon Pettigrew, Det TE",Cle,W 38-24,--/--,--,--,--,--,--,--,--,--,--,--,TE
"John Phillips, NO TE",@Buf,W 47-10,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Zach Miller*, Chi TE",GB,L 16-23,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Brandon Myers, TB TE",NYJ,W 15-10,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Jermaine Gresham, Ari TE",Sea,L 16-22,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Rob Gronkowski, NE TE",@Den,W 41-16,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Dennis Pitta*, Bal TE",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,TE
"Jimmy Graham, GB TE",@Chi,W 23-16,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Ed Dickson, Sea TE",@Ari,W 22-16,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Tony Moeaki, Chi TE",GB,L 16-23,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Jim Dray, Ari TE",Sea,L 16-22,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Garrett Graham, Den TE",NE,L 16-41,--/--,--,--,--,--,--,--,--,--,--,--,TE
