Player,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS,POS
"Antonio Brown, Pit WR",0/0,0,0,0,4,22.3,0.1,108.5,1426.1,7.6,303.6,WR
"Julio Jones, Atl WR",0/0,0,0,0,0,0,0,95.6,1432.4,7.4,283.8,WR
"Odell Beckham Jr., NYG WR",0/0,0,0,0,0,0,0,97.6,1313,8.2,277.1,WR
"A.J. Green, Cin WR",0/0,0,0,0,0,0,0,96.2,1319.8,7.6,273.9,WR
"Jordy Nelson, Oak WR",0/0,0,0,0,0,0,0,88.5,1225.1,9.8,269.7,WR
"Mike Evans, TB WR",0/0,0,0,0,0,0,0,86.9,1205.2,8.6,260,WR
"Michael Thomas, NO WR",0/0,0,0,0,0,0,0,93.9,1173.1,8,258.5,WR
"T.Y. Hilton, Ind WR",0/0,0,0,0,0,0,0,83.8,1313.7,7,257.7,WR
"Doug Baldwin, Sea WR",0/0,0,0,0,4.1,25.7,0.1,85.4,1098.1,6.8,239.1,WR
"Demaryius Thomas, Den WR",0/0,0,0,0,0,0,0,87.6,1106.2,5.9,232.5,WR
"Amari Cooper, Oak WR",0/0,0,0,0,4,25.4,0.1,82,1115.3,5.6,229.4,WR
"DeAndre Hopkins, Hou WR",0/0,0,0,0,0,0,0,83,1136.2,5.4,229,WR
"Brandin Cooks, LAR WR",0/0,0,0,0,2.1,13.3,0.1,80.8,1091.7,6.2,228.8,WR
"Emmanuel Sanders, Den WR",0/0,0,0,0,0,0,0,83.6,1132.8,5.3,228.3,WR
"Michael Crabtree, Bal WR",0/0,0,0,0,0,0,0,85.1,987.1,7.2,226.8,WR
"Terrelle Pryor Sr., NYJ WR",0/0,0,0,0,3.3,20.7,0.1,76.7,1085.3,6.4,225.8,WR
"Larry Fitzgerald, Ari WR",0/0,0,0,0,0,0,0,89.9,1000.7,5.9,224.3,WR
"Golden Tate, Det WR",0/0,0,0,0,9.8,55,0.2,84.5,974.3,5.5,220.8,WR
"Davante Adams, GB WR",0/0,0,0,0,0,0,0,75.3,932.3,8.4,218,WR
"Alshon Jeffery, Phi WR",0/0,0,0,0,0,0,0,75.6,1063.7,5.6,215.5,WR
"Dez Bryant, Dal WR",0/0,0,0,0,0,0,0,69.5,994.4,7.6,214.1,WR
"Jarvis Landry, Cle WR",0/0,0,0,0,4.1,24.2,0.1,87.7,948.6,4.5,213.4,WR
"Tyreek Hill, KC WR",0/0,0,0,0,26.7,168.4,1.2,76,834.3,4.1,212.5,WR
"Keenan Allen, LAC WR",0/0,0,0,0,0,0,0,83,954.3,5,207.1,WR
"Sammy Watkins, KC WR",0/0,0,0,0,0,0,0,70.7,1092.9,4.4,205.6,WR
"Kelvin Benjamin, Buf WR",0/0,0,0,0,0,0,0,67.7,973.4,6.7,205.3,WR
"Allen Robinson, Chi WR",0/0,0,0,0,0,0,0,72.3,976,5.8,204.6,WR
"Jamison Crowder, Wsh WR",0/0,0,0,0,4,25.3,0.1,78.9,961.7,4.2,203.9,WR
"Martavis Bryant, Pit WR",0/0,0,0,0,6,37.9,0.2,61.9,926.3,7,201.7,WR
"Stefon Diggs, Min WR",0/0,0,0,0,3.7,23.5,0.1,79.9,925.5,4.3,201.1,WR
"Pierre Garcon, SF WR",0/0,0,0,0,0,0,0,80,965.3,3.8,199.7,WR
"DeVante Parker, Mia WR",0/0,0,0,0,0,0,0,66.5,921.5,6.5,197.5,WR
"Brandon Marshall, NYG WR",0/0,0,0,0,0,0,0,67.2,873.9,6.5,193.7,WR
"Donte Moncrief, Jax WR",0/0,0,0,0,3.8,23.5,0.1,68.5,802,7,193.1,WR
