Player,POS,Team,PA,YdA,Int,Fum Rec,Sack,Saf,TD
Los Angeles Rams,DST,LAR,15.8,280,1.8,0.9,3.0,0.0,0.37
Minnesota Vikings,DST,MIN,19.2,296,1.0,0.7,2.8,0.0,0.25
Tennessee Titans,DST,TEN,14.2,286,1.3,0.5,2.1,0.0,0.29
Dallas Cowboys,DST,DAL,19.6,379,1.2,0.8,2.6,0.0,0.33
Cleveland Browns,DST,CLE,17.9,281,0.8,0.7,1.8,0.0,0.23
New England Patriots,DST,NE,15.2,304,1.3,0.6,2.4,0.0,0.32
Miami Dolphins,DST,MIA,17.4,336,1.1,0.9,1.9,0.1,0.32
Denver Broncos,DST,DEN,20.4,331,0.7,1.1,2.8,0.0,0.25
Chicago Bears,DST,CHI,22.0,345,1.2,1.2,3.1,0.0,0.32
Green Bay Packers,DST,GB,23.3,322,1.5,0.8,2.4,0.0,0.31
Philadelphia Eagles,DST,PHI,22.0,364,1.3,0.6,3.1,0.0,0.29
Indianapolis Colts,DST,IND,20.5,360,0.7,0.7,2.3,0.0,0.23
Jacksonville Jaguars,DST,JAX,22.7,317,1.1,0.7,3.0,0.0,0.26
Tampa Bay Buccaneers,DST,TB,26.9,387,0.7,1.0,2.9,0.0,0.22
New Orleans Saints,DST,NO,22.6,418,1.2,0.8,1.8,0.0,0.29
Carolina Panthers,DST,CAR,25.1,387,0.7,0.9,2.6,0.0,0.28
Washington Redskins,DST,WAS,23.8,328,0.9,0.7,2.9,0.0,0.21
Kansas City Chiefs,DST,KC,26.4,365,0.7,0.7,2.6,0.0,0.27
Cincinnati Bengals,DST,CIN,26.4,391,0.8,0.8,2.6,0.0,0.2
Houston Texans,DST,HOU,26.6,362,0.7,1.0,2.2,0.0,0.23
New York Jets,DST,NYJ,24.7,367,0.5,0.8,2.8,0.0,0.23
Detroit Lions,DST,DET,23.4,394,0.8,0.8,2.1,0.0,0.24
Atlanta Falcons,DST,ATL,23.1,341,1.1,0.5,1.9,0.0,0.23
San Francisco 49ers,DST,SF,23.9,325,0.8,0.6,1.9,0.1,0.25
Los Angeles Chargers,DST,LAC,21.1,348,1.0,0.6,1.4,0.0,0.27
Baltimore Ravens,DST,BAL,23.7,325,0.7,0.5,2.2,0.0,0.2
Oakland Raiders,DST,OAK,25.8,398,0.8,0.6,1.6,0.0,0.22
Arizona Cardinals,DST,ARI,27.2,357,0.8,0.7,2.3,0.1,0.16
Seattle Seahawks,DST,SEA,28.0,415,0.8,0.6,2.1,0.0,0.25
Pittsburgh Steelers,DST,PIT,29.6,364,0.6,0.8,2.1,0.0,0.21
Buffalo Bills,DST,BUF,29.6,376,0.7,0.7,1.8,0.1,0.17
