Player,POS,Team,PA,YdA,Int,Fum Rec,Sack,Saf,Blk,TD
Los Angeles Chargers,DST,LAC,19.3,320,1.0,0.6,3.0,0.0,0.0,0.2
Los Angeles Rams,DST,LAR,14.5,287,1.1,0.6,3.2,0.1,0.0,0.30000000000000004
Tennessee Titans,DST,TEN,13.3,296,1.0,0.7,3.1,0.0,0.1,0.30000000000000004
New England Patriots,DST,NE,15.8,331,1.0,0.7,3.4,0.1,0.1,0.2
Indianapolis Colts,DST,IND,19.3,344,1.3,0.7,3.6,0.0,0.0,0.1
Cleveland Browns,DST,CLE,17.0,324,1.0,0.7,3.1,0.0,0.0,0.30000000000000004
Chicago Bears,DST,CHI,23.3,372,1.1,0.7,3.3,0.0,0.1,0.30000000000000004
Minnesota Vikings,DST,MIN,18.3,334,0.9,0.6,3.0,0.1,0.0,0.30000000000000004
Miami Dolphins,DST,MIA,19.3,299,1.2,0.6,2.7,0.0,0.0,0.2
Dallas Cowboys,DST,DAL,20.5,383,1.1,0.7,3.4,0.0,0.0,0.1
New Orleans Saints,DST,NO,23.3,376,1.0,0.6,3.1,0.0,0.0,0.2
Philadelphia Eagles,DST,PHI,22.5,356,0.9,0.6,2.6,0.1,0.1,0.30000000000000004
Jacksonville Jaguars,DST,JAX,19.8,349,0.8,0.5,2.2,0.1,0.0,0.30000000000000004
Houston Texans,DST,HOU,24.5,397,0.8,0.5,2.7,0.1,0.0,0.30000000000000004
Atlanta Falcons,DST,ATL,22.0,305,0.9,0.7,2.9,0.0,0.0,0.2
Green Bay Packers,DST,GB,22.3,374,0.9,0.6,2.7,0.0,0.0,0.2
New York Jets,DST,NYJ,25.3,350,1.0,0.5,2.4,0.0,0.0,0.1
Denver Broncos,DST,DEN,21.8,357,0.8,0.6,2.7,0.0,0.1,0.30000000000000004
Seattle Seahawks,DST,SEA,26.5,401,0.8,0.6,2.3,0.1,0.1,0.1
Detroit Lions,DST,DET,24.8,403,0.8,0.6,2.3,0.0,0.1,0.1
Washington Redskins,DST,WAS,24.3,369,0.6,0.5,2.1,0.0,0.0,0.1
Carolina Panthers,DST,CAR,23.5,393,0.8,0.5,2.5,0.0,0.1,0.1
Cincinnati Bengals,DST,CIN,27.0,390,0.7,0.4,1.9,0.0,0.1,0.1
San Francisco 49ers,DST,SF,21.3,380,0.8,0.5,2.5,0.0,0.0,0.1
Arizona Cardinals,DST,ARI,28.5,388,0.7,0.4,2.2,0.1,0.0,0.2
Baltimore Ravens,DST,BAL,23.3,401,0.7,0.5,2.1,0.1,0.0,0.2
Oakland Raiders,DST,OAK,20.3,384,0.7,0.6,2.3,0.1,0.0,0.1
Tampa Bay Buccaneers,DST,TB,27.5,389,0.6,0.5,2.2,0.0,0.1,0.2
Pittsburgh Steelers,DST,PIT,29.8,429,0.6,0.4,1.9,0.0,0.0,0.1
Kansas City Chiefs,DST,KC,28.5,415,0.8,0.5,2.3,0.0,0.0,0.1
New York Giants,DST,NYG,29.3,409,0.6,0.4,1.7,0.0,0.1,0.2
Buffalo Bills,DST,BUF,29.3,395,0.7,0.4,1.9,0.0,0.0,0.1
