Player,POS,Team,Fantasy Points,Int,Fum Rec,Sack,Status,TD
Tennessee Titans,DST,TEN,10.3,1.1,0.4,2.5, ,0.2
Los Angeles Rams,DST,LAR,10.1,1.0,0.5,2.7, ,0.2
Chicago Bears,DST,CHI,7.8,1.1,0.6,2.8, ,0.2
Miami Dolphins,DST,MIA,7.6,0.7,0.5,2.9, ,0.2
Atlanta Falcons,DST,ATL,7.5,1.2,0.4,2.6, ,0.2
Minnesota Vikings,DST,MIN,7.4,0.8,0.4,2.9, ,0.1
Los Angeles Chargers,DST,LAC,7.4,0.7,0.5,2.7, ,0.2
Dallas Cowboys,DST,DAL,7.3,1.3,0.5,2.8, ,0.2
Cleveland Browns,DST,CLE,7.2,0.8,0.5,2.1, ,0.2
Jacksonville Jaguars,DST,JAX,7.2,0.6,0.3,2.3, ,0.1
Washington Redskins,DST,WAS,7.1,0.8,0.6,2.8, ,0.2
New England Patriots,DST,NE,7.0,1.0,0.4,2.6, ,0.2
Houston Texans,DST,HOU,6.9,1.0,0.6,2.2, ,0.2
Denver Broncos,DST,DEN,6.7,0.6,0.6,3.1, ,0.2
Philadelphia Eagles,DST,PHI,6.6,0.8,0.6,3.3, ,0.2
Indianapolis Colts,DST,IND,6.5,0.7,0.5,2.9, ,0.2
New Orleans Saints,DST,NO,6.2,1.0,0.6,2.4, ,0.2
Green Bay Packers,DST,GB,6.2,1.0,0.3,2.3, ,0.1
Carolina Panthers,DST,CAR,5.3,0.6,0.6,2.6, ,0.2
Tampa Bay Buccaneers,DST,TB,5.2,0.6,0.4,3.1, ,0.2
Kansas City Chiefs,DST,KC,5.1,0.5,0.7,3.2, ,0.2
Baltimore Ravens,DST,BAL,4.8,0.4,0.4,1.9, ,0.1
Cincinnati Bengals,DST,CIN,4.8,0.9,0.4,1.9, ,0.2
New York Jets,DST,NYJ,4.7,0.4,0.5,2.8, ,0.1
Arizona Cardinals,DST,ARI,4.7,0.7,0.6,2.6, ,0.2
New York Giants,DST,NYG,4.7,1.1,0.4,1.2, ,0.2
San Francisco 49ers,DST,SF,4.5,0.8,0.4,1.8, ,0.1
Buffalo Bills,DST,BUF,4.4,0.7,0.6,1.3, ,0.2
Detroit Lions,DST,DET,4.4,0.6,0.4,2.0, ,0.2
Seattle Seahawks,DST,SEA,4.4,0.8,0.6,2.2, ,0.2
Oakland Raiders,DST,OAK,3.5,0.8,0.3,1.2, ,0.1
Pittsburgh Steelers,DST,PIT,2.3,0.3,0.5,1.6, ,0.1
