Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,TD,Block,Return Yds,Return TD,Pts Allow,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,100-199 Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,500+ Yds Allow,POS
San Francisco 49ers,SF,1.0,3.0,0.0,2.0,1.0,0.0,0.0,47.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,325.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Chicago Bears,CHI,1.0,1.0,1.0,0.0,1.0,0.0,0.0,52.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,279.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Cincinnati Bengals,CIN,1.0,0.0,0.0,0.0,0.0,0.0,1.0,79.0,0.0,26.0,0.0,0.0,1.0,0.0,0.0,493.0,0.0,0.0,0.0,0.0,1.0,0.0,DST
Buffalo Bills,BUF,1.0,1.0,2.0,1.0,1.0,0.0,0.0,84.0,0.0,24.0,0.0,0.0,1.0,0.0,0.0,390.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Denver Broncos,DEN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,27.0,0.0,0.0,1.0,0.0,0.0,273.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Cleveland Browns,CLE,1.0,3.0,0.0,0.0,1.0,0.0,0.0,54.0,0.0,18.0,0.0,1.0,0.0,0.0,0.0,209.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Tampa Bay Buccaneers,TB,1.0,1.0,0.0,0.0,1.0,0.0,0.0,69.0,0.0,21.0,0.0,0.0,1.0,0.0,0.0,232.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Arizona Cardinals,ARI,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,31.0,0.0,0.0,0.0,1.0,0.0,461.0,0.0,0.0,0.0,0.0,1.0,0.0,DST
Los Angeles Chargers,LAC,1.0,3.0,0.0,1.0,1.0,0.0,0.0,78.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,361.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Kansas City Chiefs,KC,1.0,3.0,0.0,0.0,1.0,0.0,0.0,114.0,0.0,38.0,0.0,0.0,0.0,0.0,1.0,464.0,0.0,0.0,0.0,0.0,1.0,0.0,DST
