Player,Team,PA,YdA,TD,Sack,Int,Fum Rec,Saf,Blk
Arizona Cardinals,ARI,26.57,357.0,0.12,2.18,0.7,0.4,0.03,0.0
Atlanta Falcons,ATL,22.0,305.0,0.1,1.9,0.9,0.4,0.0,0.0
Baltimore Ravens,BAL,21.87,325.0,0.1,1.9,0.4,0.4,0.0,0.0
Buffalo Bills,BUF,26.32,376.0,0.09,1.3,0.7,0.4,0.0,0.0
Carolina Panthers,CAR,21.18,387.0,0.1,2.21,0.6,0.5,0.0,0.07
Chicago Bears,CHI,17.9,317.2,0.15000000000000002,2.57,1.0,0.6,0.0,0.08
Cincinnati Bengals,CIN,22.73,366.5,0.1,1.9,0.7,0.4,0.0,0.09
Cleveland Browns,CLE,17.0,281.0,0.11,1.8,0.8,0.5,0.0,0.0
Dallas Cowboys,DAL,19.6,367.7,0.1,2.41,1.07,0.5,0.0,0.0
Denver Broncos,DEN,16.93,328.8,0.15,2.51,0.6,0.6,0.0,0.1
Detroit Lions,DET,21.06,382.8,0.1,2.0,0.6,0.4,0.0,0.07
Green Bay Packers,GB,20.76,322.0,0.1,2.17,0.9,0.3,0.0,0.0
Houston Texans,HOU,21.66,357.9,0.11,2.17,0.7,0.5,0.0,0.0
Indianapolis Colts,IND,19.3,344.0,0.1,2.3,0.7,0.5,0.0,0.0
Jacksonville Jaguars,JAX,19.8,308.6,0.1,2.2,0.6,0.3,0.0,0.0
Kansas City Chiefs,KC,22.91,365.0,0.1,2.3,0.5,0.5,0.0,0.0
Los Angeles Chargers,LAC,19.3,320.0,0.13,1.4,0.7,0.5,0.0,0.0
Los Angeles Rams,LAR,14.5,280.0,0.14,2.7,1.0,0.5,0.0,0.0
Miami Dolphins,MIA,17.4,299.0,0.12,1.9,0.7,0.48,0.0,0.0
Minnesota Vikings,MIN,18.3,296.0,0.1,2.66,0.8,0.4,0.0,0.0
New England Patriots,NE,15.2,304.0,0.12,2.4,1.0,0.4,0.0,0.1
New Orleans Saints,NO,19.87,376.0,0.12,1.8,0.88,0.6,0.0,0.0
New York Giants,NYG,26.15,403.7,0.1,1.2,0.6,0.4,0.0,0.08
New York Jets,NYJ,22.18,350.0,0.1,2.23,0.4,0.5,0.0,0.0
Oakland Raiders,OAK,20.3,384.0,0.1,1.2,0.7,0.3,0.0,0.0
Philadelphia Eagles,PHI,21.12,356.0,0.11,2.6,0.8,0.54,0.0,0.08
Pittsburgh Steelers,PIT,23.66,364.0,0.1,1.6,0.3,0.4,0.0,0.0
San Francisco 49ers,SF,21.3,325.0,0.1,1.8,0.8,0.4,0.0,0.0
Seattle Seahawks,SEA,21.62,401.0,0.1,1.89,0.73,0.6,0.0,0.08
Tampa Bay Buccaneers,TB,26.9,382.7,0.09,2.2,0.6,0.4,0.0,0.07
Tennessee Titans,TEN,13.3,286.0,0.13,2.1,1.0,0.4,0.0,0.07
Washington Redskins,WAS,23.8,328.0,0.1,2.1,0.6,0.5,0.0,0.0
