Player,Team,GP,Receptions,Rec Yds,Rec TD,Return Yds,2PT,Tack,Ast,POS
Dwayne Allen,NE,1.0,4.0,53.0,1.0,0.0,1.0,0.0,0.0,TE
Stephen Anderson,NE,1.0,3.0,25.0,0.0,0.0,0.0,0.0,0.0,TE
Cameron Brate,TB,1.0,3.0,30.0,0.0,0.0,0.0,0.0,0.0,TE
Garrett Celek,SF,1.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,TE
Charles Clay,BUF,1.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,TE
Jared Cook,OAK,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,TE
Vernon Davis,WAS,1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,TE
Jack Doyle,IND,1.0,3.0,35.0,2.0,0.0,0.0,0.0,0.0,TE
Eric Ebron,IND,1.0,5.0,46.0,1.0,0.0,0.0,0.0,0.0,TE
Zach Ertz,PHI,1.0,6.0,58.0,0.0,0.0,0.0,0.0,0.0,TE
Gavin Escobar,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Jimmy Graham,GB,1.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,TE
MarQueis Gray,MIA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TE
Virgil Green,LAC,1.0,4.0,28.0,0.0,0.0,0.0,0.0,0.0,TE
Jermaine Gresham,ARI,1.0,4.0,41.0,0.0,0.0,0.0,0.0,0.0,TE
Ryan Griffin,HOU,1.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,TE
Demetrius Harris,KC,1.0,2.0,20.0,0.0,0.0,0.0,1.0,0.0,TE
Hunter Henry,LAC,1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,TE
Tyler Higbee,LA,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,TE
Austin Hooper,ATL,1.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,TE
Jesse James,PIT,1.0,5.0,31.0,0.0,0.0,0.0,0.0,0.0,TE
Travis Kelce,KC,1.0,6.0,74.0,0.0,0.0,0.0,0.0,0.0,TE
Lance Kendricks,GB,1.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,TE
Vance McDonald,PIT,1.0,2.0,14.0,1.0,0.0,0.0,0.0,0.0,TE
Troy Niklas,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Nick O'Leary,MIA,1.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,TE
Greg Olsen,CAR,1.0,7.0,73.0,0.0,0.0,0.0,0.0,0.0,TE
Logan Paulsen,ATL,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,TE
Jordan Reed,WAS,1.0,7.0,64.0,0.0,0.0,0.0,0.0,0.0,TE
Richard Rodgers,PHI,1.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,TE
Kyle Rudolph,MIN,1.0,4.0,65.0,0.0,0.0,0.0,0.0,0.0,TE
Austin Seferian-Jenkins,JAX,1.0,1.0,30.0,1.0,0.0,0.0,0.0,0.0,TE
Geoff Swaim,DAL,1.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,TE
Erik Swoope,IND,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Ross Travis,IND,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Will Tye,PHI,1.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,TE
C.J. Uzomah,CIN,1.0,2.0,59.0,0.0,0.0,0.0,0.0,0.0,TE
Clive Walford,NYJ,1.0,3.0,25.0,0.0,0.0,0.0,0.0,0.0,TE
Delanie Walker,TEN,1.0,3.0,42.0,0.0,0.0,0.0,0.0,0.0,TE
Cole Wick,TEN,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,TE
Luke Willson,DET,1.0,2.0,26.0,0.0,0.0,0.0,1.0,0.0,TE
