Player,POS,Team,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD
Drew Brees,QB,NO,330,3,0,0,0
Matt Ryan,QB,ATL,310,3,1,5,0
Andrew Luck,QB,IND,270,3,1,5,0
Cam Newton,QB,CAR,265,2,0,35,0
Jameis Winston,QB,TB,305,2,1,15,0
Lamar Jackson,QB,BAL,160,1,1,65,1
Deshaun Watson,QB,HOU,250,2,1,30,0
Kirk Cousins,QB,MIN,285,2,0,10,0
Carson Wentz,QB,PHI,285,2,1,10,0
Aaron Rodgers,QB,GB,270,2,0,15,0
Chase Daniel,QB,CHI,255,2,1,20,0
Ben Roethlisberger,QB,PIT,285,2,1,5,0
Blake Bortles,QB,JAX,235,2,1,25,0
Russell Wilson,QB,SEA,230,2,1,25,0
Tom Brady,QB,NE,275,2,0,0,0
Philip Rivers,QB,LAC,275,2,1,0,0
Baker Mayfield,QB,CLE,240,2,1,15,0
Dak Prescott,QB,DAL,230,2,0,20,0
Andy Dalton,QB,CIN,245,2,1,10,0
Marcus Mariota,QB,TEN,215,2,1,25,0
Nick Mullens,QB,SF,255,2,0,5,0
Eli Manning,QB,NYG,245,2,1,0,0
Matthew Stafford,QB,DET,255,1,1,10,0
Ryan Tannehill,QB,MIA,245,1,1,10,0
Case Keenum,QB,DEN,250,1,1,5,0
Colt McCoy,QB,WAS,235,1,1,5,0
Josh McCown,QB,NYJ,205,1,1,10,0
Derek Carr,QB,OAK,205,1,2,5,0
Josh Rosen,QB,ARI,200,1,1,5,0
Josh Allen,QB,BUF,145,1,1,20,0
Taysom Hill,QB,NO,0,0,0,15,0
