Player,Team,GP,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,Fum Lost,2PT,POS
Josh Allen,BUF,1.0,168.59,1.01,1.11,26.42,0.22,0.14,0.07,QB
Matt Barkley,BUF,1.0,20.18,0.07,0.27,0.03,0.01,0.0,0.03,QB
C.J. Beathard,SF,1.0,20.19,0.09,0.05,0.0,0.01,0.01,0.03,QB
Blake Bortles,JAX,1.0,210.64,1.0,0.94,23.67,0.18,0.08,0.09,QB
Tom Brady,NE,1.0,269.8,1.8,0.51,4.06,0.06,0.03,0.09,QB
Tyler Bray,,1.0,28.95,0.12,0.15,0.06,0.02,0.01,0.03,QB
Drew Brees,NO,1.0,322.63,2.01,0.66,7.06,0.14,0.03,0.03,QB
Teddy Bridgewater,NO,1.0,0.01,0.01,0.01,0.0,0.01,0.0,0.03,QB
Jacoby Brissett,IND,1.0,14.33,0.04,0.1,0.09,0.02,0.01,0.03,QB
Derek Carr,OAK,1.0,228.75,1.15,0.84,6.96,0.08,0.08,0.16,QB
Matt Cassel,DET,1.0,8.84,0.02,0.11,0.01,0.0,0.0,0.05,QB
Kirk Cousins,MIN,1.0,272.95,1.93,0.84,7.89,0.11,0.07,0.09,QB
Andy Dalton,CIN,1.0,250.16,1.8,0.88,6.95,0.08,0.06,0.0,QB
Chase Daniel,CHI,1.0,203.3,1.15,0.8,31.39,0.19,0.13,0.08,QB
Joshua Dobbs,PIT,1.0,9.19,0.06,0.07,0.04,0.01,0.01,0.03,QB
Jeff Driskel,CIN,1.0,10.6,0.03,0.05,0.06,0.02,0.01,0.03,QB
Ryan Fitzpatrick,TB,1.0,18.8,0.13,0.08,0.14,0.02,0.0,0.05,QB
Nick Foles,PHI,1.0,14.26,0.06,0.1,0.02,0.01,0.0,0.03,QB
Blaine Gabbert,TEN,1.0,21.6,0.06,0.15,0.0,0.01,0.0,0.03,QB
Mike Glennon,ARI,1.0,9.02,0.07,0.05,0.0,0.0,0.0,0.06,QB
Robert Griffin III,BAL,1.0,27.3,0.12,0.13,0.74,0.02,0.01,0.03,QB
Taylor Heinicke,CAR,1.0,9.96,0.03,0.05,0.0,0.02,0.01,0.03,QB
Taysom Hill,NO,1.0,83.4,0.28,0.33,24.64,0.08,0.05,0.03,QB
Kevin Hogan,DEN,1.0,15.31,0.04,0.13,0.21,0.02,0.01,0.03,QB
Brian Hoyer,NE,1.0,11.87,0.05,0.06,0.0,0.02,0.01,0.01,QB
Brett Hundley,SEA,1.0,10.89,0.04,0.12,0.05,0.01,0.01,0.03,QB
Lamar Jackson,BAL,1.0,181.48,1.08,0.67,69.11,0.39,0.2,0.08,QB
Case Keenum,DEN,1.0,242.11,1.44,0.88,2.35,0.06,0.03,0.03,QB
Cody Kessler,JAX,1.0,17.08,0.04,0.08,0.0,0.0,0.0,0.03,QB
DeShone Kizer,GB,1.0,9.2,0.02,0.06,0.05,0.01,0.01,0.03,QB
Andrew Luck,IND,1.0,284.9,2.01,0.87,8.6,0.1,0.09,0.16,QB
Eli Manning,NYG,1.0,274.41,1.62,0.72,0.41,0.04,0.03,0.06,QB
Marcus Mariota,TEN,1.0,198.32,1.03,0.69,25.51,0.23,0.12,0.03,QB
Baker Mayfield,CLE,1.0,242.22,1.53,0.94,14.05,0.12,0.09,0.13,QB
AJ McCarron,OAK,1.0,8.31,0.03,0.04,0.0,0.0,0.0,0.03,QB
Josh McCown,NYJ,1.0,225.63,1.26,0.76,11.49,0.11,0.08,0.09,QB
Colt McCoy,WAS,1.0,215.82,1.02,0.81,22.87,0.11,0.07,0.02,QB
Nick Mullens,SF,1.0,257.38,1.74,0.91,10.73,0.12,0.07,0.08,QB
Cam Newton,CAR,1.0,243.78,1.68,0.76,36.07,0.27,0.03,0.13,QB
Brock Osweiler,MIA,1.0,13.79,0.07,0.11,0.05,0.0,0.0,0.06,QB
Dak Prescott,DAL,1.0,223.47,1.28,0.74,25.42,0.21,0.05,0.06,QB
Philip Rivers,LAC,1.0,251.51,1.83,0.61,1.22,0.05,0.02,0.06,QB
Aaron Rodgers,GB,1.0,267.95,1.83,0.65,13.45,0.09,0.05,0.1,QB
Ben Roethlisberger,PIT,1.0,294.57,1.95,0.9,7.81,0.09,0.05,0.19,QB
Josh Rosen,ARI,1.0,213.05,1.05,1.21,5.8,0.07,0.05,0.1,QB
Cooper Rush,DAL,1.0,11.84,0.03,0.1,0.04,0.01,0.01,0.03,QB
Matt Ryan,ATL,1.0,304.21,1.79,0.91,5.96,0.06,0.04,0.09,QB
Mark Sanchez,WAS,1.0,14.45,0.06,0.12,0.0,0.0,0.01,0.03,QB
Matt Schaub,ATL,1.0,3.7,0.01,0.04,0.02,0.0,0.0,0.1,QB
Trevor Siemian,MIN,1.0,12.3,0.04,0.06,0.1,0.01,0.0,0.03,QB
Geno Smith,LAC,1.0,12.07,0.04,0.06,0.02,0.01,0.01,0.03,QB
Matthew Stafford,DET,1.0,263.25,1.72,0.87,9.02,0.1,0.05,0.06,QB
Ryan Tannehill,MIA,1.0,229.95,1.35,0.87,18.88,0.13,0.1,0.09,QB
Alex Tanney,NYG,1.0,14.91,0.05,0.05,0.01,0.0,0.0,0.03,QB
Tyrod Taylor,CLE,1.0,16.11,0.1,0.08,0.0,0.01,0.0,0.02,QB
Deshaun Watson,HOU,1.0,245.77,1.77,0.83,25.66,0.17,0.09,0.14,QB
Davis Webb,NYJ,1.0,26.04,0.07,0.1,0.07,0.02,0.01,0.04,QB
Joe Webb,HOU,1.0,2.08,0.01,0.02,0.08,0.02,0.01,0.0,QB
Carson Wentz,PHI,1.0,275.98,1.91,0.88,15.02,0.12,0.09,0.22,QB
Russell Wilson,SEA,1.0,229.22,1.62,0.73,29.63,0.2,0.03,0.09,QB
Jameis Winston,TB,1.0,288.73,1.89,0.83,24.65,0.17,0.1,0.13,QB
