Player,POS,Team,Receptions,Rec Yds,Rec TD
Travis Kelce,TE,KC,6.3,76.9,0.7
Rob Gronkowski,TE,NE,4.5,66.0,0.6
Zach Ertz,TE,PHI,5.9,60.8,0.5
George Kittle,TE,SF,4.4,53.8,0.4
Kyle Rudolph,TE,MIN,4.0,39.1,0.5
Jimmy Graham,TE,GB,3.6,39.9,0.5
Jared Cook,TE,OAK,3.8,44.7,0.4
David Njoku,TE,CLE,3.3,35.3,0.4
Evan Engram,TE,NYG,3.9,42.3,0.2
Ricky Seals-Jones,TE,ARI,2.7,31.7,0.4
Antonio Gates,TE,LAC,2.4,26.4,0.4
Eric Ebron,TE,IND,3.3,35.3,0.2
Cameron Brate,TE,TB,2.9,31.9,0.3
Austin Hooper,TE,ATL,3.4,34.5,0.2
Austin Seferian-Jenkins,TE,JAX,3.5,36.9,0.2
Mike Gesicki,TE,MIA,2.3,22.9,0.3
Charles Clay,TE,BUF,2.9,29.9,0.1
Dallas Goedert,TE,PHI,2.3,24.1,0.2
Jesse James,TE,PIT,2.5,25.5,0.1
Ryan Griffin,TE,HOU,2.3,26.1,0.1
Gerald Everett,TE,LAR,1.8,19.0,0.2
Chris Herndon,TE,NYJ,2.0,23.0,0.1
Nick Vannett,TE,SEA,2.0,20.6,0.1
C.J. Uzomah,TE,CIN,2.0,19.9,0.1
Vernon Davis,TE,WAS,1.7,23.1,0.1
Tyler Higbee,TE,LAR,1.8,19.5,0.1
Blake Jarwin,TE,DAL,1.9,20.1,0.1
Garrett Celek,TE,SF,1.5,17.9,0.1
Luke Willson,TE,DET,1.6,16.7,0.1
Mark Andrews,TE,BAL,1.4,15.7,0.1
Ian Thomas,TE,CAR,1.6,15.7,0.1
Virgil Green,TE,LAC,1.6,16.8,0.1
Jeremy Sprinkle,TE,WAS,1.5,14.8,0.1
Darren Fells,TE,CLE,1.1,11.8,0.2
Jordan Akins,TE,HOU,1.3,13.6,0.1
Nick Boyle,TE,BAL,1.7,14.7,0.1
Rhett Ellison,TE,NYG,1.4,12.5,0.1
A.J. Derby,TE,MIA,1.2,12.6,0.1
Josh Hill,TE,NO,1.3,12.3,0.1
Luke Stocker,TE,TEN,1.3,12.4,0.1
Jordan Leggett,TE,NYJ,1.4,13.5,0.1
Neal Sterling,TE,NYJ,1.0,9.8,0.1
Levine Toilolo,TE,DET,1.1,11.0,0.1
Jason Croom,TE,BUF,0.9,10.8,0.1
Dwayne Allen,TE,NE,1.0,9.6,0.1
Jordan Thomas,TE,HOU,0.9,8.8,0.1
Jermaine Gresham,TE,ARI,1.2,10.0,0.1
Dalton Schultz,TE,DAL,1.0,8.9,0.1
Dan Arnold,TE,NO,0.7,8.5,0.1
Lance Kendricks,TE,GB,1.0,9.1,0.1
David Morgan,TE,MIN,0.9,8.4,0.1
Marcedes Lewis,TE,GB,0.6,6.1,0.1
James O'Shaughnessy,TE,JAX,0.9,9.1,0.0
Xavier Grimble,TE,PIT,0.8,7.6,0.1
Logan Thomas,TE,BUF,0.9,8.8,0.0
Maxx Williams,TE,BAL,0.9,6.7,0.1
Lee Smith,TE,OAK,0.7,6.1,0.1
Dion Sims,TE,CHI,0.7,6.5,0.0
Sean Culkin,TE,LAC,0.2,2.7,0.1
Seth DeValve,TE,CLE,0.6,7.2,0.0
Rico Gathers,TE,DAL,0.6,6.2,0.0
Matt LaCosse,TE,DEN,0.6,5.7,0.0
Logan Paulsen,TE,ATL,0.6,4.9,0.0
Derek Carrier,TE,OAK,0.5,5.5,0.0
Eric Saubert,TE,ATL,0.5,4.3,0.0
Chris Manhertz,TE,CAR,0.4,4.8,0.0
Antony Auclair,TE,TB,0.5,4.8,0.0
Johnny Mundt,TE,LAR,0.4,4.0,0.0
Ryan Hewitt,TE,IND,0.4,3.5,0.0
Michael Roberts,TE,DET,0.3,3.4,0.0
Jacob Hollister,TE,NE,0.2,2.0,0.0
Ben Braunecker,TE,CHI,0.3,2.5,0.0
Josh Perkins,TE,PHI,0.2,2.1,0.0
Darrell Daniels,TE,ARI,0.2,2.2,0.0
Alan Cross,TE,TB,0.1,0.7,0.0
