Player,POS,Team,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Status
Rob Gronkowski,TE,NE,0.0,0.0,0.0,0.0,0.0,5.0,74.9,0.6, 
Travis Kelce,TE,KC,0.0,0.0,0.0,0.4,0.0,5.3,63.8,0.3, 
Zach Ertz,TE,PHI,0.0,0.0,0.0,0.0,0.0,5.3,57.2,0.4, 
Delanie Walker,TE,TEN,0.0,0.0,0.0,0.0,0.0,4.0,48.1,0.4,IR
Greg Olsen,TE,CAR,0.0,0.0,0.0,0.0,0.0,4.0,51.9,0.3,IR
Evan Engram,TE,NYG,0.0,0.0,0.0,0.0,0.0,4.4,45.0,0.3, 
Jordan Reed,TE,WAS,0.0,0.0,0.0,0.0,0.0,4.3,44.4,0.4,IR
Kyle Rudolph,TE,MIN,0.0,0.0,0.0,0.0,0.0,3.8,38.9,0.5, 
Jack Doyle,TE,IND,0.0,0.0,0.0,0.0,0.0,4.3,38.4,0.4,IR
Jimmy Graham,TE,GB,0.0,0.0,0.0,0.0,0.0,3.4,38.4,0.5, 
Trey Burton,TE,CHI,0.0,0.0,0.0,0.0,0.0,3.5,40.7,0.3,Q
Charles Clay,TE,BUF,0.0,0.0,0.0,0.0,0.0,3.7,38.3,0.2, 
Jared Cook,TE,OAK,0.0,0.0,0.0,0.0,0.0,3.2,37.5,0.2, 
David Njoku,TE,CLE,0.0,0.0,0.0,0.0,0.0,2.6,30.9,0.3, 
Benjamin Watson,TE,NO,0.0,0.0,0.0,0.0,0.0,2.9,30.6,0.3,Q
Tyler Eifert,TE,CIN,0.0,0.0,0.0,0.0,0.0,2.7,32.7,0.3,IR
Austin Seferian-Jenkins,TE,JAX,0.0,0.0,0.0,0.0,0.0,2.9,32.7,0.3,IR
George Kittle,TE,SF,0.0,0.0,0.0,0.0,0.0,3.1,32.3,0.2, 
Eric Ebron,TE,IND,0.0,0.0,0.0,0.0,0.0,2.9,31.6,0.3, 
Ricky Seals-Jones,TE,ARI,0.0,0.0,0.0,0.0,0.0,2.7,34.1,0.2,Q
Austin Hooper,TE,ATL,0.0,0.0,0.0,0.0,0.0,2.9,30.6,0.2, 
Mike Gesicki,TE,MIA,0.0,0.0,0.0,0.0,0.0,2.9,30.7,0.2, 
Antonio Gates,TE,LAC,0.0,0.0,0.0,0.0,0.0,2.4,28.2,0.3, 
Cameron Brate,TE,TB,0.0,0.0,0.0,0.0,0.0,2.7,31.0,0.2,Q
Jesse James,TE,PIT,0.0,0.0,0.0,0.0,0.0,2.7,26.5,0.2, 
Ryan Griffin,TE,HOU,0.0,0.0,0.0,0.0,0.0,2.7,28.9,0.2, 
O.J. Howard,TE,TB,0.0,0.0,0.0,0.0,0.0,2.4,30.0,0.2,IR
Luke Willson,TE,DET,0.0,0.0,0.0,0.0,0.0,1.8,21.0,0.2,Q
Mark Andrews,TE,BAL,0.0,0.0,0.0,0.0,0.0,2.0,20.9,0.1, 
Jake Butt,TE,DEN,0.0,0.0,0.0,0.0,0.0,1.9,20.1,0.2,IR
Gerald Everett,TE,LAR,0.0,0.0,0.0,0.0,0.0,1.6,19.9,0.2, 
Chris Herndon,TE,NYJ,0.0,0.0,0.0,0.0,0.0,1.8,19.7,0.1, 
Dallas Goedert,TE,PHI,0.0,0.0,0.0,0.0,0.0,1.7,17.9,0.2, 
Blake Jarwin,TE,DAL,0.0,0.0,0.0,0.0,0.0,1.6,18.0,0.1, 
Vernon Davis,TE,WAS,0.0,0.0,0.0,0.0,0.0,1.4,19.4,0.1,Q
Nick Vannett,TE,SEA,0.0,0.0,0.0,0.0,0.0,1.5,15.9,0.2, 
Tyler Higbee,TE,LAR,0.0,0.0,0.0,0.0,0.0,1.4,16.5,0.1, 
Nick Boyle,TE,BAL,0.0,0.0,0.0,0.0,0.0,1.8,14.6,0.1, 
Tyler Kroft,TE,CIN,0.0,0.0,0.0,0.0,0.0,1.4,15.1,0.1,IR
Jermaine Gresham,TE,ARI,0.0,0.0,0.0,0.0,0.0,1.6,14.6,0.1, 
Jordan Akins,TE,HOU,0.0,0.0,0.0,0.0,0.0,1.4,14.2,0.1, 
Xavier Grimble,TE,PIT,0.0,0.0,0.0,0.0,0.0,1.3,13.3,0.1, 
Virgil Green,TE,LAC,0.0,0.0,0.0,0.0,0.0,1.2,13.3,0.1, 
Garrett Celek,TE,SF,0.0,0.0,0.0,0.0,0.0,1.2,14.3,0.1,Q
Dion Sims,TE,CHI,0.0,0.0,0.0,0.0,0.0,1.2,13.1,0.1,IR
Levine Toilolo,TE,DET,0.0,0.0,0.0,0.0,0.0,1.1,11.4,0.1, 
Jeff Heuerman,TE,DEN,0.0,0.0,0.0,0.0,0.0,1.2,13.9,0.1,IR
Will Dissly,TE,SEA,0.0,0.0,0.0,0.0,0.0,1.1,11.9,0.1,IR
Jordan Leggett,TE,NYJ,0.0,0.0,0.0,0.0,0.0,1.1,12.3,0.1, 
Geoff Swaim,TE,DAL,0.0,0.0,0.0,0.0,0.0,1.0,11.3,0.1,IR
Jonnu Smith,TE,TEN,0.0,0.0,0.0,0.0,0.0,1.0,10.4,0.1,IR
Lee Smith,TE,OAK,0.0,0.0,0.0,0.0,0.0,1.1,8.9,0.1, 
Alex Ellis,TE,KC,0.0,0.0,0.0,0.0,0.0,1.0,9.8,0.1,IR
Josh Hill,TE,NO,0.0,0.0,0.0,0.0,0.0,0.8,8.7,0.1, 
Dwayne Allen,TE,NE,0.0,0.0,0.0,0.0,0.0,0.8,8.6,0.1, 
Maxx Williams,TE,BAL,0.0,0.0,0.0,0.0,0.0,1.0,8.5,0.1, 
Logan Thomas,TE,BUF,0.0,0.0,0.0,0.0,0.0,0.9,9.0,0.0, 
Marcedes Lewis,TE,GB,0.0,0.0,0.0,0.0,0.0,0.6,6.6,0.1, 
Rhett Ellison,TE,NYG,0.0,0.0,0.0,0.0,0.0,0.8,6.5,0.0,Q
David Morgan,TE,MIN,0.0,0.0,0.0,0.0,0.0,0.6,6.3,0.1, 
Rico Gathers,TE,DAL,0.0,0.0,0.0,0.0,0.0,0.5,5.6,0.0, 
Darrell Daniels,TE,ARI,0.0,0.0,0.0,0.0,0.0,0.5,5.0,0.0, 
Michael Roberts,TE,DET,0.0,0.0,0.0,0.0,0.0,0.4,4.7,0.0,IR
Jordan Thomas,TE,HOU,0.0,0.0,0.0,0.0,0.0,0.5,4.7,0.0, 
Logan Paulsen,TE,ATL,0.0,0.0,0.0,0.0,0.0,0.5,4.5,0.0, 
Eric Tomlinson,TE,NYJ,0.0,0.0,0.0,0.0,0.0,0.4,4.9,0.0,IR
Seth DeValve,TE,CLE,0.0,0.0,0.0,0.0,0.0,0.4,4.4,0.0, 
Jason Croom,TE,BUF,0.0,0.0,0.0,0.0,0.0,0.4,4.5,0.0, 
Ben Braunecker,TE,CHI,0.0,0.0,0.0,0.0,0.0,0.4,3.9,0.0, 
A.J. Derby,TE,MIA,0.0,0.0,0.0,0.0,0.0,0.3,3.8,0.0,IR
James O'Shaughnessy,TE,JAX,0.0,0.0,0.0,0.0,0.0,0.3,3.4,0.0, 
Ian Thomas,TE,CAR,0.0,0.0,0.0,0.0,0.0,0.3,3.3,0.0, 
Tyler Conklin,TE,MIN,0.0,0.0,0.0,0.0,0.0,0.2,2.5,0.0, 
Josh Perkins,TE,PHI,0.0,0.0,0.0,0.0,0.0,0.2,2.5,0.0,IR
Matt LaCosse,TE,DEN,0.0,0.0,0.0,0.0,0.0,0.2,2.5,0.0, 
C.J. Uzomah,TE,CIN,0.0,0.0,0.0,0.0,0.0,0.2,2.4,0.0, 
Derek Carrier,TE,OAK,0.0,0.0,0.0,0.0,0.0,0.3,2.5,0.0,Q
Eric Saubert,TE,ATL,0.0,0.0,0.0,0.0,0.0,0.2,2.3,0.0, 
Lance Kendricks,TE,GB,0.0,0.0,0.0,0.0,0.0,0.2,2.1,0.0, 
Darren Fells,TE,CLE,0.0,0.0,0.0,0.0,0.0,0.2,2.2,0.0, 
Neal Sterling,TE,NYJ,0.0,0.0,0.0,0.0,0.0,0.2,2.6,0.0,IR
Dalton Schultz,TE,DAL,0.0,0.0,0.0,0.0,0.0,0.2,2.3,0.0, 
Alan Cross,TE,TB,0.0,0.0,0.0,0.0,0.0,0.1,1.5,0.0,IR
Sean Culkin,TE,LAC,0.0,0.0,0.0,0.0,0.0,0.1,1.3,0.0, 
Gabe Holmes,TE,ARI,0.0,0.0,0.0,0.0,0.0,0.1,1.2,0.0, 
Cole Wick,TE,TEN,0.0,0.0,0.0,0.0,0.0,0.1,1.3,0.0,IR
