Player,OPP,STATUS ET,1-39,40-49,50+,TOT,XP,PTS,POS
"Adam Vinatieri, Ind K",@Jax,L 10-30,--/--,--/--,--/--,--/--,--/--,--,K
"Phil Dawson, Ari K",LAR,L 16-32,--/--,--/--,--/--,--/--,--/--,--,K
"Sebastian Janikowski, Oak K",NYG,W 24-17,--/--,--/--,--/--,--/--,--/--,--,K
"Shayne Graham, Atl K",Min,L 9-14,--/--,--/--,--/--,--/--,--/--,--,K
"Billy Cundiff, Cle K",@LAC,L 10-19,--/--,--/--,--/--,--/--,--/--,--,K
"Matt Bryant, Atl K",Min,L 9-14,--/--,--/--,--/--,--/--,--/--,--,K
"Josh Brown, NYG K",@Oak,L 17-24,--/--,--/--,--/--,--/--,--/--,--,K
"Josh Scobee, NO K",Car,W 31-21,--/--,--/--,--/--,--/--,--/--,--,K
"Mike Nugent, Chi K",SF,L 14-15,--/--,--/--,--/--,--/--,--/--,--,K
"Nick Novak, LAC K",Cle,W 19-10,--/--,--/--,--/--,--/--,--/--,--,K
"Robbie Gould, SF K",@Chi,W 15-14,--/--,--/--,--/--,--/--,--/--,--,K
"Shaun Suisham, Pit K",@Cin,W 23-20,--/--,--/--,--/--,--/--,--/--,--,K
"Stephen Gostkowski, NE K",@Buf,W 23-3,--/--,--/--,--/--,--/--,--/--,--,K
"Nick Folk, TB K",@GB,L 20-26,--/--,--/--,--/--,--/--,--/--,--,K
"Mason Crosby, GB K",TB,W 26-20,--/--,--/--,--/--,--/--,--/--,--,K
"Matt Prater, Det K",@Bal,L 20-44,--/--,--/--,--/--,--/--,--/--,--,K
"Garrett Hartley, Pit K",@Cin,W 23-20,--/--,--/--,--/--,--/--,--/--,--,K
"Dan Carpenter, Buf K",NE,L 3-23,--/--,--/--,--/--,--/--,--/--,--,K
"Connor Barth, Chi K",SF,L 14-15,--/--,--/--,--/--,--/--,--/--,--,K
"Stephen Hauschka, Buf K",NE,L 3-23,--/--,--/--,--/--,--/--,--/--,--,K
"Graham Gano, Car K",@NO,L 21-31,--/--,--/--,--/--,--/--,--/--,--,K
"Ryan Succop, Ten K",Hou,W 24-13,--/--,--/--,--/--,--/--,--/--,--,K
"Dan Bailey, Dal K",Wsh,W 38-14,--/--,--/--,--/--,--/--,--/--,--,K
"Kai Forbath, Min K",@Atl,W 14-9,--/--,--/--,--/--,--/--,--/--,--,K
"Greg Zuerlein, LAR K",@Ari,W 32-16,--/--,--/--,--/--,--/--,--/--,--,K
"Blair Walsh, Sea K",Phi,W 24-10,--/--,--/--,--/--,--/--,--/--,--,K
"Randy Bullock, Cin K",Pit,L 20-23,--/--,--/--,--/--,--/--,--/--,--,K
"Giorgio Tavecchio, Oak K",NYG,W 24-17,--/--,--/--,--/--,--/--,--/--,--,K
"Justin Tucker, Bal K",Det,W 44-20,--/--,--/--,--/--,--/--,--/--,--,K
"Brandon Bogotay, TB K",@GB,L 20-26,--/--,--/--,--/--,--/--,--/--,--,K
"Caleb Sturgis, LAC K",Cle,W 19-10,--/--,--/--,--/--,--/--,--/--,--,K
"Dustin Hopkins, Wsh K",@Dal,L 14-38,--/--,--/--,--/--,--/--,--/--,--,K
"Zach Hocker, TB K",@GB,L 20-26,--/--,--/--,--/--,--/--,--/--,--,K
"Travis Coons, LAC K",Cle,W 19-10,--/--,--/--,--/--,--/--,--/--,--,K
"Chandler Catanzaro, TB K",@GB,L 20-26,--/--,--/--,--/--,--/--,--/--,--,K
"Brandon McManus, Den K",@Mia,L 9-35,--/--,--/--,--/--,--/--,--/--,--,K
"Cairo Santos, NYJ K",KC,W 38-31,--/--,--/--,--/--,--/--,--/--,--,K
"Cody Parkey, Chi K",SF,L 14-15,--/--,--/--,--/--,--/--,--/--,--,K
"Chris Boswell, Pit K",@Cin,W 23-20,--/--,--/--,--/--,--/--,--/--,--,K
"Kasey Redfern, Det K",@Bal,L 20-44,--/--,--/--,--/--,--/--,--/--,--,K
"Patrick Murray, TB K",@GB,L 20-26,--/--,--/--,--/--,--/--,--/--,--,K
"Jordan Gay, Ten K",Hou,W 24-13,--/--,--/--,--/--,--/--,--/--,--,K
"Jason Myers, Sea K",Phi,W 24-10,--/--,--/--,--/--,--/--,--/--,--,K
"Kyle Brindza, NYJ K",KC,W 38-31,--/--,--/--,--/--,--/--,--/--,--,K
"Josh Lambo, Jax K",Ind,W 30-10,--/--,--/--,--/--,--/--,--/--,--,K
"Andrew Franks, Mia K",Den,W 35-9,--/--,--/--,--/--,--/--,--/--,--,K
"Roberto Aguayo, LAC K",Cle,W 19-10,--/--,--/--,--/--,--/--,--/--,--,K
"Wil Lutz, NO K",Car,W 31-21,--/--,--/--,--/--,--/--,--/--,--,K
"Aldrick Rosas, NYG K",@Oak,L 17-24,--/--,--/--,--/--,--/--,--/--,--,K
"Jake Elliott, Phi K",@Sea,L 10-24,--/--,--/--,--/--,--/--,--/--,--,K
"Zane Gonzalez, Cle K",@LAC,L 10-19,--/--,--/--,--/--,--/--,--/--,--,K
"Harrison Butker, KC K",@NYJ,L 31-38,--/--,--/--,--/--,--/--,--/--,--,K
"Younghoe Koo, LAC K",Cle,W 19-10,--/--,--/--,--/--,--/--,--/--,--,K
"Ka'imi Fairbairn, Hou K",@Ten,L 13-24,--/--,--/--,--/--,--/--,--/--,--,K
"Nick Rose, LAC K",Cle,W 19-10,--/--,--/--,--/--,--/--,--/--,--,K
"Sam Ficken, LAR K",@Ari,W 32-16,--/--,--/--,--/--,--/--,--/--,--,K
