Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,Saf,TD,Block,Return Yds,Return TD,Pts Allow,Pts Allow 0,Pts Allow 1-6,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,100-199 Yds Allow,200-299 Yds Allow,300-399 Yds Allow,450-499 Yds Allow,POS
San Francisco 49ers,SF,1.0,3.0,0.0,2.0,4.0,0.0,0.0,0.0,32.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,251.0,0.0,1.0,0.0,0.0,DST
Chicago Bears,CHI,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,1.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,327.0,0.0,0.0,1.0,0.0,DST
Cincinnati Bengals,CIN,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,42.0,0.0,27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,312.0,0.0,0.0,1.0,0.0,DST
Buffalo Bills,BUF,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,53.0,0.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,356.0,0.0,0.0,1.0,0.0,DST
Denver Broncos,DEN,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,65.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,379.0,0.0,0.0,1.0,0.0,DST
Cleveland Browns,CLE,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,100.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,348.0,0.0,0.0,1.0,0.0,DST
Tampa Bay Buccaneers,TB,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,36.0,0.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,323.0,0.0,0.0,1.0,0.0,DST
Arizona Cardinals,ARI,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,117.0,0.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,296.0,0.0,1.0,0.0,0.0,DST
Los Angeles Chargers,LAC,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,336.0,0.0,0.0,1.0,0.0,DST
Kansas City Chiefs,KC,1.0,5.0,2.0,1.0,1.0,0.0,1.0,0.0,60.0,0.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,336.0,0.0,0.0,1.0,0.0,DST
Indianapolis Colts,IND,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,58.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,209.0,0.0,1.0,0.0,0.0,DST
Dallas Cowboys,DAL,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,0.0,1.0,0.0,0.0,DST
Miami Dolphins,MIA,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,312.0,0.0,0.0,1.0,0.0,DST
Philadelphia Eagles,PHI,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,29.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,301.0,0.0,0.0,1.0,0.0,DST
Atlanta Falcons,ATL,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,248.0,0.0,1.0,0.0,0.0,DST
New York Giants,NYG,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,197.0,1.0,0.0,0.0,0.0,DST
Jacksonville Jaguars,JAX,1.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,71.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,232.0,0.0,1.0,0.0,0.0,DST
New York Jets,NYJ,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,330.0,0.0,0.0,1.0,0.0,DST
Detroit Lions,DET,1.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,57.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,256.0,0.0,1.0,0.0,0.0,DST
Green Bay Packers,GB,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,356.0,0.0,0.0,1.0,0.0,DST
Carolina Panthers,CAR,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,34.0,0.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,371.0,0.0,0.0,1.0,0.0,DST
New England Patriots,NE,1.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,31.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,247.0,0.0,1.0,0.0,0.0,DST
