Player,Int,Sty,Sack,TK,DFR,FF,DTD,Pa,PaNetA,RuYdA,TyDa,FPTS,POS
"Seahawks, SEA",1.9,0.1,2.9,35.8,0.7,1.0,0.32,13.2,176.0,69.0,245,20,DST
"Vikings, MIN",0.9,0.1,2.5,38.4,0.9,1.2,0.28,12.3,137.0,106.0,243,17,DST
"Steelers, PIT",1.4,0.0,3.8,37.3,1.0,1.4,0.32,13.4,193.0,112.0,305,16,DST
"Ravens, BAL",0.9,0.0,2.6,37.3,0.9,1.3,0.29,14.6,182.0,81.0,263,13,DST
"Jaguars, JAC",1.4,0.0,2.9,41.7,1.0,1.3,0.31,20.1,175.0,133.0,308,13,DST
"Colts, IND",1.6,0.0,2.2,40.7,0.8,1.2,0.32,16.1,209.0,114.0,323,12,DST
"Patriots, NE",1.3,0.0,2.4,43.3,0.9,1.3,0.35,15.4,169.0,145.0,314,12,DST
"Saints, NO",1.2,0.0,2.3,40.9,1.0,1.4,0.29,18.7,248.0,101.0,349,12,DST
"Broncos, DEN",0.7,0.0,2.6,39.2,0.6,0.8,0.18,16.8,169.0,90.0,259,12,DST
"Cowboys, DAL",0.5,0.0,1.9,45.1,1.0,1.4,0.2,18.3,167.0,122.0,289,12,DST
"Redskins, WAS",1.3,0.0,2.1,40.9,0.8,1.1,0.28,18.1,205.0,102.0,307,11,DST
"Lions, DET",1.1,0.0,2.3,40.5,0.7,0.9,0.33,18.9,213.0,101.0,314,11,DST
"Bills, BUF",1.4,0.0,1.9,40.4,0.7,1.0,0.28,17.8,202.0,103.0,305,11,DST
"Chargers, LAC",0.9,0.0,1.8,40.5,1.0,1.4,0.3,18.0,210.0,115.0,325,11,DST
"49ers, SF",1.0,0.1,1.8,38.2,0.9,1.3,0.24,21.3,191.0,93.0,284,11,DST
"Eagles, PHI",0.8,0.0,1.9,43.0,1.0,1.4,0.27,19.3,199.0,131.0,330,11,DST
"Texans, HOU",0.8,0.0,3.0,38.2,0.6,0.8,0.19,23.6,205.0,94.0,299,10,DST
"Chiefs, KC",1.2,0.0,2.3,41.5,1.0,1.4,0.34,21.0,229.0,122.0,351,10,DST
"Titans, TEN",0.8,0.0,1.6,43.6,0.9,1.2,0.23,20.3,185.0,126.0,311,10,DST
"Cardinals, ARI",1.2,0.1,2.9,43.7,0.7,1.0,0.22,23.3,220.0,98.0,318,10,DST
"Dolphins, MIA",0.5,0.0,2.4,40.9,0.6,0.8,0.19,18.5,171.0,134.0,305,9,DST
"Bengals, CIN",1.0,0.0,1.9,44.8,0.4,0.5,0.17,22.7,184.0,114.0,298,9,DST
"Packers, GB",0.8,0.0,3.0,41.7,0.9,1.2,0.22,26.3,259.0,82.0,341,9,DST
"Panthers, CAR",0.8,0.0,2.7,42.5,0.8,1.1,0.27,24.9,242.0,115.0,357,9,DST
"Rams, LAR",0.6,0.0,3.4,43.7,0.8,1.2,0.22,24.2,238.0,125.0,363,9,DST
"Bears, CHI",0.6,0.0,2.3,45.9,1.1,1.4,0.21,23.3,208.0,114.0,322,8,DST
"Falcons, ATL",0.8,0.0,2.1,43.8,0.7,1.0,0.21,21.6,196.0,132.0,328,8,DST
"Raiders, OAK",0.9,0.0,1.4,43.1,0.9,1.2,0.21,24.9,264.0,100.0,364,8,DST
"Giants, NYG",0.8,0.0,1.6,42.0,0.9,1.3,0.2,21.1,270.0,91.0,361,8,DST
"Buccaneers, TB",0.7,0.0,1.2,48.1,1.0,1.3,0.22,24.8,288.0,121.0,409,7,DST
"Browns, CLE",1.1,0.0,1.6,45.2,0.4,0.5,0.17,22.9,241.0,87.0,328,7,DST
