Player,Team,GP,PAT Made,FG 0-19,FG 20-29,FG 30-39,FG 40-49,FG Miss 50+,POS
Dan Bailey,MIN,1.0,1.38,0.06,0.48,0.57,0.37,0.2,K
Chris Boswell,PIT,1.0,2.64,0.01,0.48,0.53,0.46,0.17,K
Matt Bryant,ATL,1.0,2.17,0.0,0.47,0.59,0.41,0.26,K
Randy Bullock,CIN,1.0,2.79,0.02,0.48,0.51,0.54,0.27,K
Harrison Butker,KC,1.0,3.2,0.02,0.48,0.52,0.51,0.21,K
Mason Crosby,GB,1.0,2.37,0.08,0.48,0.48,0.42,0.27,K
Phil Dawson,ARI,1.0,1.52,0.0,0.48,0.57,0.36,0.15,K
Jake Elliott,PHI,1.0,2.37,0.04,0.48,0.56,0.42,0.17,K
Ka'imi Fairbairn,HOU,1.0,2.23,0.0,0.48,0.46,0.38,0.22,K
Graham Gano,CAR,1.0,2.68,0.05,0.48,0.62,0.37,0.2,K
Stephen Gostkowski,NE,1.0,2.75,0.04,0.48,0.55,0.45,0.21,K
Robbie Gould,SF,1.0,1.87,0.03,0.48,0.53,0.48,0.19,K
Stephen Hauschka,BUF,1.0,1.6,0.01,0.48,0.46,0.46,0.23,K
Dustin Hopkins,WAS,1.0,2.04,0.0,0.48,0.55,0.36,0.21,K
Sebastian Janikowski,SEA,1.0,2.18,0.04,0.48,0.48,0.38,0.2,K
Greg Joseph,CLE,1.0,1.47,0.0,0.48,0.51,0.51,0.21,K
Josh Lambo,JAX,1.0,2.81,0.02,0.48,0.49,0.48,0.27,K
Wil Lutz,NO,1.0,2.41,0.01,0.48,0.49,0.51,0.25,K
Brett Maher,DAL,1.0,2.11,0.0,0.48,0.5,0.43,0.21,K
Matt McCrane,PIT,1.0,1.31,0.02,0.48,0.5,0.41,0.16,K
Brandon McManus,DEN,1.0,1.47,0.0,0.48,0.54,0.42,0.21,K
Jason Myers,NYJ,1.0,1.74,0.04,0.48,0.52,0.53,0.2,K
Matt Prater,DET,1.0,2.06,0.06,0.48,0.49,0.47,0.23,K
Aldrick Rosas,NYG,1.0,1.6,0.01,0.49,0.6,0.47,0.14,K
Jason Sanders,MIA,1.0,1.65,0.06,0.48,0.42,0.39,0.16,K
Cairo Santos,TB,1.0,2.41,0.03,0.48,0.52,0.42,0.21,K
Caleb Sturgis,,1.0,2.75,0.04,0.48,0.54,0.51,0.17,K
Ryan Succop,TEN,1.0,2.2,0.05,0.48,0.48,0.49,0.21,K
Justin Tucker,BAL,1.0,1.94,0.02,0.48,0.57,0.46,0.29,K
Adam Vinatieri,IND,1.0,1.98,0.0,0.48,0.47,0.48,0.23,K
