Player,Team,Opp,FG Made,FG Miss,XP Made,XP Miss,FFPts,POS
Stephen Gostkowski,NE,IND,3,0,3,0,12.0,K
Cairo Santos,LAR,@SEA,3,0,3,0,12.0,K
Dan Bailey,MIN,@PHI,2,0,3,0,9.0,K
Randy Bullock,CIN,MIA,2,0,3,0,9.0,K
Matthew McCrane,OAK,@LAC,2,0,3,0,9.0,K
Matt Prater,DET,GB,2,0,3,0,9.0,K
Ryan Succop,TEN,@BUF,2,0,3,0,9.0,K
Justin Tucker,BAL,@CLE,2,0,3,0,9.0,K
Robbie Gould,SF,ARI,2,0,2,0,8.0,K
Dustin Hopkins,WAS,@NO,2,0,2,0,8.0,K
Sebastian Janikowski,SEA,LAR,2,0,2,0,8.0,K
Josh Lambo,JAC,@KC,2,0,2,0,8.0,K
Brett Maher,DAL,@HOU,2,0,2,0,8.0,K
Brandon McManus,DEN,@NYJ,2,0,2,0,8.0,K
Jason Myers,NYJ,DEN,2,0,2,0,8.0,K
Adam Vinatieri,IND,@NE,2,0,2,0,8.0,K
Chris Boswell,PIT,ATL,1,0,4,0,7.0,K
Matt Bryant,ATL,@PIT,1,0,4,0,7.0,K
Wil Lutz,NO,WAS,1,0,4,0,7.0,K
Caleb Sturgis,LAC,OAK,1,0,4,0,7.0,K
Harrison Butker,KC,JAC,1,0,3,0,6.0,K
Mason Crosby,GB,@DET,1,0,3,0,6.0,K
Jake Elliott,PHI,MIN,1,0,3,0,6.0,K
Ka'imi Fairbairn,HOU,DAL,1,0,3,0,6.0,K
Graham Gano,CAR,NYG,1,0,3,0,6.0,K
Phil Dawson,ARI,@SF,1,0,2,0,5.0,K
Greg Joseph,CLE,BAL,1,0,2,0,5.0,K
Aldrick Rosas,NYG,@CAR,1,0,2,0,5.0,K
Jason Sanders,MIA,@CIN,1,0,2,0,5.0,K
Steve Hauschka,BUF,TEN,1,0,1,0,4.0,K
