Player,FG,FGA,XPT,FPTS,POS
Stephen Gostkowski NE,2.4,2.7,3.1,10.2,K
Wil Lutz NO,1.9,2.1,3.2,8.8,K
Matt Prater DET,2.0,2.3,2.7,8.6,K
Randy Bullock CIN,1.9,2.2,2.9,8.5,K
Justin Tucker BAL,2.0,2.1,2.5,8.4,K
Matt Bryant ATL,1.7,1.9,3.0,8.2,K
Jake Elliott PHI,1.8,2.2,2.7,8.0,K
Mason Crosby GB,1.7,2.0,2.8,7.9,K
Harrison Butker KC,1.8,2.0,2.5,7.9,K
Josh Lambo JAC,1.8,2.0,2.3,7.8,K
Ryan Succop TEN,1.8,2.1,2.2,7.7,K
Dustin Hopkins WAS,1.8,2.1,2.3,7.7,K
Robbie Gould SF,1.9,2.1,2.1,7.7,K
Ka'imi Fairbairn HOU,1.7,2.1,2.5,7.7,K
Matt McCrane PIT,1.7,2.0,2.4,7.6,K
Adam Vinatieri IND,1.8,2.0,2.1,7.5,K
Dan Bailey MIN,1.7,1.9,2.1,7.3,K
Brandon McManus DEN,1.7,2.0,2.0,7.1,K
Brett Maher DAL,1.7,1.9,2.0,7.1,K
Jason Myers NYJ,1.7,1.9,2.0,7.0,K
Sebastian Janikowski SEA,1.6,2.0,2.0,6.9,K
Greg Joseph CLE,1.5,1.8,1.8,6.2,K
Jason Sanders MIA,1.4,1.6,2.0,6.0,K
Aldrick Rosas NYG,1.4,1.6,1.7,5.9,K
Steven Hauschka BUF,1.5,1.7,1.5,5.9,K
Eddy Pineiro OAK,0.0,0.0,0.0,0.0,K
Kai Forbath JAC,0.0,0.0,0.0,0.0,K
Sam Ficken SEA,0.0,0.0,0.0,0.0,K
Giorgio Tavecchio ATL,0.0,0.0,0.0,0.0,K
Zane Gonzalez ARI,0.0,0.0,0.0,0.0,K
