Player,Team,GP,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,Fum Lost,2PT,POS
Matt Barkley,BUF,1.0,179.75,0.91,1.15,1.8,0.04,0.03,0.07,QB
C.J. Beathard,SF,1.0,22.52,0.09,0.12,0.0,0.01,0.01,0.03,QB
Blake Bortles,JAX,1.0,245.12,1.37,0.89,25.39,0.21,0.09,0.09,QB
Tom Brady,NE,1.0,277.44,1.77,0.72,5.18,0.07,0.04,0.13,QB
Drew Brees,NO,1.0,292.8,1.91,0.78,7.06,0.12,0.03,0.03,QB
Teddy Bridgewater,NO,1.0,0.0,0.01,0.01,0.0,0.0,0.0,0.03,QB
Jacoby Brissett,IND,1.0,9.34,0.04,0.05,0.06,0.01,0.01,0.03,QB
Derek Carr,OAK,1.0,234.57,1.3,0.82,10.23,0.09,0.09,0.16,QB
Matt Cassel,DET,1.0,14.03,0.02,0.11,0.01,0.0,0.0,0.05,QB
Andy Dalton,CIN,1.0,280.87,1.96,0.98,7.29,0.07,0.06,0.0,QB
Chase Daniel,CHI,1.0,10.67,0.07,0.04,0.08,0.02,0.01,0.02,QB
Joshua Dobbs,PIT,1.0,7.24,0.05,0.08,0.01,0.01,0.01,0.03,QB
Jeff Driskel,CIN,1.0,8.86,0.03,0.04,0.0,0.01,0.01,0.03,QB
David Fales,MIA,1.0,14.49,0.07,0.07,0.0,0.01,0.01,0.03,QB
Ryan Fitzpatrick,TB,1.0,280.72,1.91,0.97,18.22,0.14,0.03,0.0,QB
Nick Foles,PHI,1.0,13.27,0.05,0.06,0.03,0.01,0.0,0.03,QB
Blaine Gabbert,TEN,1.0,16.54,0.04,0.07,0.0,0.01,0.0,0.03,QB
Mike Glennon,ARI,1.0,13.88,0.07,0.06,0.0,0.0,0.0,0.06,QB
Jared Goff,LA,1.0,262.09,1.81,0.77,15.84,0.11,0.09,0.09,QB
Taylor Heinicke,CAR,1.0,9.58,0.03,0.05,0.0,0.01,0.01,0.03,QB
Chad Henne,KC,1.0,11.51,0.03,0.06,1.53,0.01,0.01,0.02,QB
Taysom Hill,NO,1.0,45.15,0.14,0.33,8.54,0.06,0.04,0.03,QB
Brian Hoyer,NE,1.0,9.41,0.03,0.05,0.0,0.01,0.01,0.01,QB
Brett Hundley,SEA,1.0,11.68,0.05,0.09,0.07,0.01,0.01,0.03,QB
Cody Kessler,JAX,1.0,16.42,0.05,0.09,0.0,0.0,0.0,0.03,QB
DeShone Kizer,GB,1.0,14.02,0.06,0.24,0.01,0.02,0.01,0.03,QB
Andrew Luck,IND,1.0,264.56,1.94,1.1,7.46,0.08,0.09,0.16,QB
Patrick Mahomes,KC,1.0,281.41,1.98,0.81,16.64,0.16,0.08,0.06,QB
Eli Manning,NYG,1.0,259.77,1.57,0.69,1.16,0.04,0.03,0.06,QB
Sean Mannion,LA,1.0,11.98,0.03,0.06,0.0,0.01,0.01,0.03,QB
Marcus Mariota,TEN,1.0,228.58,1.35,0.82,27.96,0.23,0.12,0.03,QB
Baker Mayfield,CLE,1.0,254.58,1.63,0.91,10.27,0.12,0.07,0.13,QB
AJ McCarron,OAK,1.0,9.74,0.05,0.06,0.0,0.01,0.0,0.03,QB
Josh McCown,NYJ,1.0,216.64,1.21,0.84,12.77,0.14,0.08,0.09,QB
Colt McCoy,WAS,1.0,15.12,0.04,0.04,0.0,0.0,0.0,0.03,QB
Nick Mullens,SF,1.0,241.53,1.61,0.93,15.26,0.12,0.08,0.08,QB
Cam Newton,CAR,1.0,243.47,1.73,0.96,47.09,0.28,0.03,0.13,QB
Brock Osweiler,MIA,1.0,220.72,1.27,0.82,6.37,0.07,0.03,0.07,QB
Nathan Peterman,OAK,1.0,2.32,0.02,0.15,0.0,0.01,0.01,0.03,QB
Dak Prescott,DAL,1.0,228.11,1.19,0.88,31.0,0.22,0.06,0.06,QB
Philip Rivers,LAC,1.0,274.43,1.81,0.7,0.96,0.04,0.02,0.06,QB
Aaron Rodgers,GB,1.0,289.03,1.98,0.53,11.63,0.11,0.06,0.1,QB
Ben Roethlisberger,PIT,1.0,317.08,2.07,0.96,7.37,0.09,0.06,0.19,QB
Josh Rosen,ARI,1.0,216.3,1.19,1.06,8.49,0.1,0.05,0.1,QB
Cooper Rush,DAL,1.0,5.14,0.02,0.04,0.09,0.0,0.0,0.03,QB
Matt Ryan,ATL,1.0,296.96,1.87,0.81,7.11,0.08,0.05,0.09,QB
Matt Schaub,ATL,1.0,8.76,0.02,0.08,0.0,0.0,0.0,0.1,QB
Alex Smith,WAS,1.0,255.28,1.71,0.65,17.44,0.13,0.02,0.03,QB
Geno Smith,LAC,1.0,12.52,0.04,0.05,0.02,0.01,0.01,0.03,QB
Matthew Stafford,DET,1.0,258.49,1.72,0.78,8.27,0.08,0.06,0.03,QB
Tyrod Taylor,CLE,1.0,15.68,0.1,0.06,0.0,0.02,0.0,0.02,QB
Mitchell Trubisky,CHI,1.0,231.22,1.64,0.65,32.44,0.2,0.11,0.07,QB
Davis Webb,NYJ,1.0,36.64,0.08,0.18,0.06,0.02,0.01,0.04,QB
Carson Wentz,PHI,1.0,268.33,2.0,0.79,21.75,0.14,0.12,0.22,QB
Russell Wilson,SEA,1.0,229.71,1.54,0.77,19.7,0.14,0.03,0.09,QB
Jameis Winston,TB,1.0,20.78,0.1,0.18,0.33,0.02,0.01,0.03,QB
