Player,POS,Team,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD
Patrick Mahomes,QB,KC,293.9,2.5,0.6,13.5,0.2
Aaron Rodgers,QB,GB,299.5,2.3,0.6,19.4,0.1
Philip Rivers,QB,LAC,298.0,2.4,0.6,2.2,0.0
Drew Brees,QB,NO,296.4,2.1,0.5,2.9,0.1
Matt Ryan,QB,ATL,310.3,2.0,0.8,7.5,0.1
Mitchell Trubisky,QB,CHI,239.3,1.8,0.7,29.7,0.2
Ben Roethlisberger,QB,PIT,298.4,2.1,1.0,5.1,0.1
Ryan Fitzpatrick,QB,TB,279.8,2.0,1.0,15.3,0.1
Tom Brady,QB,NE,287.2,1.9,0.5,3.9,0.1
Jared Goff,QB,LAR,278.5,2.1,0.8,7.6,0.1
Blake Bortles,QB,JAX,254.4,1.6,1.0,24.5,0.1
Russell Wilson,QB,SEA,245.3,1.7,0.8,21.4,0.1
Baker Mayfield,QB,CLE,269.1,1.7,0.9,10.5,0.1
Andrew Luck,QB,IND,257.0,2.0,1.2,9.0,0.0
Matthew Stafford,QB,DET,272.3,1.6,0.6,5.4,0.0
Dak Prescott,QB,DAL,236.9,1.1,0.7,26.3,0.1
Marcus Mariota,QB,TEN,224.4,1.3,0.9,27.1,0.1
Eli Manning,QB,NYG,280.7,1.4,0.8,3.4,0.0
Nick Mullens,QB,SF,242.5,1.6,1.0,7.6,0.1
Derek Carr,QB,OAK,263.7,1.4,1.0,6.2,0.1
Josh McCown,QB,NYJ,217.3,1.3,0.9,10.6,0.1
Brock Osweiler,QB,MIA,233.7,1.3,0.9,6.3,0.1
Josh Rosen,QB,ARI,239.0,1.3,1.1,10.9,0.0
Matt Barkley,QB,BUF,211.5,0.8,1.3,6.7,0.0
Taysom Hill,QB,NO,2.4,0.0,0.0,13.5,0.1
Jameis Winston,QB,TB,16.8,0.1,0.1,0.9,0.0
C.J. Beathard,QB,SF,14.4,0.1,0.1,0.9,0.0
Cody Kessler,QB,JAX,11.0,0.0,0.1,0.2,0.0
Tyrod Taylor,QB,CLE,5.0,0.0,0.0,0.6,0.0
Mike Glennon,QB,ARI,4.9,0.0,0.0,0.1,0.0
Nick Foles,QB,PHI,4.8,0.0,0.0,0.2,0.0
Chad Henne,QB,KC,4.1,0.0,0.0,0.1,0.0
Chase Daniel,QB,CHI,4.0,0.0,0.0,0.1,0.0
Cooper Rush,QB,DAL,4.5,0.0,0.0,0.1,0.0
Teddy Bridgewater,QB,NO,4.2,0.0,0.0,0.1,0.0
Blaine Gabbert,QB,TEN,3.6,0.0,0.0,0.5,0.0
Brian Hoyer,QB,NE,4.4,0.0,0.0,0.1,0.0
Brett Hundley,QB,SEA,4.1,0.0,0.0,0.1,0.0
Nathan Peterman,QB,OAK,5.3,0.0,0.1,0.4,0.0
Geno Smith,QB,LAC,2.5,0.0,0.0,0.0,0.0
DeShone Kizer,QB,GB,2.6,0.0,0.0,0.2,0.0
Jacoby Brissett,QB,IND,2.6,0.0,0.0,0.1,0.0
Joshua Dobbs,QB,PIT,1.8,0.0,0.0,0.0,0.0
Jeff Driskel,QB,CIN,1.5,0.0,0.0,0.0,0.0
Sean Mannion,QB,LAR,1.9,0.0,0.0,0.1,0.0
Matt Cassel,QB,DET,1.8,0.0,0.0,0.1,0.0
AJ McCarron,QB,OAK,2.3,0.0,0.0,0.0,0.0
Matt Schaub,QB,ATL,1.7,0.0,0.0,0.0,0.0
David Fales,QB,MIA,0.6,0.0,0.0,0.0,0.0
Davis Webb,QB,NYJ,0.5,0.0,0.0,0.0,0.0
