Player,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS,POS
"Ryan Grant, Ind WR Q",0/0,0,0,0,0,0,0,46.7,580.1,4,128.6,WR
"Donte Moncrief, Jax WR",0/0,0,0,0,0,0,0,45.4,569.3,4.1,126.9,WR
"Christian Kirk*, Ari WR IR",0/0,0,0,0,0,0,0,47.7,590.9,3,124.9,WR
"DJ Moore, Car WR",0/0,0,0,0,0.3,1.8,0,43.5,588.6,3.5,124.7,WR
"Albert Wilson*, Mia WR IR",0/0,0,0,0,3.7,22.7,0.1,47.7,556,3,124.2,WR
"Calvin Ridley, Atl WR",0/0,0,0,0,0,0,0,45.5,570.7,3.5,123.2,WR
"Cole Beasley, Dal WR",0/0,0,0,0,0,0,0,52.1,545.6,2.6,122.3,WR
"Mike Wallace, Phi WR Q",0/0,0,0,0,0,0,0,41.6,566.8,3.9,121.8,WR
"Courtland Sutton, Den WR",0/0,0,0,0,0,0,0,43.7,574.3,3.4,121.1,WR
"Cameron Meredith*, NO WR IR",0/0,0,0,0,0,0,0,44,565.8,3.4,120.6,WR
"Willie Snead IV, Bal WR",0/0,0,0,0,0,0,0,49,587.8,2.1,119.5,WR
"Ted Ginn Jr., NO WR",0/0,0,0,0,8.4,54.8,0.3,37.9,568.7,2.8,119.1,WR
"John Brown, Bal WR",0/0,0,0,0,2.1,13.3,0,41.7,589.1,2.8,118.8,WR
"Mike Williams, LAC WR",0/0,0,0,0,0,0,0,38.9,507.3,4.8,118.4,WR
"Quincy Enunwa*, NYJ WR IR",0/0,0,0,0,0,0,0,44.3,583.6,2.5,117.6,WR
"James Washington, Pit WR",0/0,0,0,0,0,0,0,39.7,549.3,3.8,117.3,WR
"Taywan Taylor, Ten WR",0/0,0,0,0,8.2,51.2,0.2,39,524.7,2.8,114.8,WR
"Dede Westbrook, Jax WR",0/0,0,0,0,0,0,0,42,557.6,2.5,113.2,WR
"Michael Gallup, Dal WR",0/0,0,0,0,0,0,0,40.2,518.6,3.3,111.5,WR
"Terrance Williams*, Dal WR IR",0/0,0,0,0,2.1,13.2,0.1,38.7,535.4,2.8,110.5,WR
"Tyrell Williams, LAC WR",0/0,0,0,0,0,0,0,35.4,551,3.3,110.3,WR
"Travis Benjamin, LAC WR",0/0,0,0,0,12.4,82.9,0.2,30.3,474.4,2.8,106.2,WR
"Brandon Marshall, NO WR",0/0,0,0,0,0,0,0,34.1,441.3,4,102.4,WR
"Chester Rogers, Ind WR",0/0,0,0,0,3.8,23.3,0.1,35,465.2,2.9,101.9,WR
"Jermaine Kearse, NYJ WR Q",0/0,0,0,0,0,0,0,36.6,470.2,2.4,97.9,WR
"Trent Taylor, SF WR",0/0,0,0,0,0,0,0,38.3,443.2,2.1,96,WR
"Tyler Boyd*, Cin WR IR",0/0,0,0,0,0,0,0,38,433.7,2.3,94.8,WR
"Adam Humphries, TB WR",0/0,0,0,0,1.9,12,0,39.8,419.8,1.7,94,WR
