Player,Team,GP,Receptions,Rec Yds,Rec TD,40+ Rec TD,50+ Rec TD,100-199 Rec Yds,Return Yds,Fum,Tack,Ast,Frc Fum,POS
Jerell Adams,HOU,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Dwayne Allen,NE,1.0,3.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Nick Boyle,BAL,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Cameron Brate,TB,1.0,1.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Ben Braunecker,CHI,1.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Daniel Brown,CHI,1.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Trey Burton,CHI,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Garrett Celek,SF,1.0,4.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,TE
Charles Clay,BUF,1.0,8.0,85.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jared Cook,OAK,1.0,3.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Alan Cross,TB,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Vernon Davis,WAS,1.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Seth DeValve,CLE,1.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Ed Dickson,SEA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jack Doyle,IND,1.0,5.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Eric Ebron,IND,1.0,8.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Rhett Ellison,NYG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Zach Ertz,PHI,1.0,2.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jimmy Graham,GB,1.0,2.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
MarQueis Gray,MIA,1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jermaine Gresham,ARI,1.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Ryan Griffin,HOU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Xavier Grimble,PIT,1.0,1.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Demetrius Harris,KC,1.0,6.0,37.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TE
Jeff Heuerman,DEN,1.0,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Ryan Hewitt,IND,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Tyler Higbee,LA,1.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jesse James,PIT,1.0,4.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Travis Kelce,KC,1.0,11.0,160.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
