Player,Int,Sty,Sack,TK,DFR,FF,DTD,Pa,PaNetA,RuYdA,TyDa,FPTS,POS
"Cardinals, ARI",1.5,0.0,2.4,34.5,0.8,1.2,0.13,14.2,147.0,76.0,223,15,DST
"Steelers, PIT",0.8,0.0,3.4,35.7,0.9,1.2,0.06,13.8,204.0,91.0,295,15,DST
"Vikings, MIN",1.9,0.1,2.3,38.1,0.9,1.2,0.2,14.5,200.0,105.0,305,13,DST
"Chiefs, KC",1.5,0.0,2.1,40.6,1.2,1.7,0.19,17.9,243.0,95.0,338,12,DST
"Seahawks, SEA",0.8,0.0,3.1,38.7,0.8,1.1,0.03,14.6,157.0,105.0,262,12,DST
"Buccaneers, TB",1.0,0.1,2.4,42.3,1.1,1.5,0.18,20.2,210.0,119.0,329,11,DST
"Broncos, DEN",0.8,0.0,1.9,40.4,0.8,1.1,0.06,18.1,175.0,104.0,279,11,DST
"Bills, BUF",1.4,0.0,2.4,39.4,0.7,0.9,0.03,17.7,211.0,121.0,332,10,DST
"Redskins, WAS",1.0,0.0,1.9,42.1,0.9,1.2,0.16,17.7,233.0,98.0,331,10,DST
"Patriots, NE",1.0,0.0,2.5,38.0,0.7,1.0,0.07,14.8,198.0,103.0,301,10,DST
"Titans, TEN",1.1,0.0,2.3,44.9,0.6,0.8,0.1,17.8,191.0,119.0,310,10,DST
"Texans, HOU",1.2,0.0,1.9,38.6,0.8,1.1,0.06,18.5,187.0,117.0,304,10,DST
"Raiders, OAK",1.1,0.0,2.0,40.9,1.2,1.6,0.24,22.5,244.0,102.0,346,10,DST
"Bengals, CIN",1.3,0.0,1.9,44.1,0.5,0.7,0.09,18.4,224.0,103.0,327,10,DST
"Colts, IND",1.3,0.0,2.5,40.8,0.9,1.2,0.14,22.2,231.0,117.0,348,9,DST
"Panthers, CAR",1.1,0.0,2.5,43.5,1.0,1.3,0.17,24.0,237.0,103.0,340,9,DST
"Ravens, BAL",0.7,0.0,2.4,43.8,0.8,1.2,0.04,19.6,214.0,100.0,314,9,DST
"Eagles, PHI",0.5,0.0,1.9,43.0,1.0,1.4,0.12,19.3,210.0,143.0,353,9,DST
"Rams, LAR",0.9,0.1,2.4,46.1,1.0,1.4,0.14,22.8,259.0,110.0,369,9,DST
"Bears, CHI",0.7,0.1,2.9,42.8,0.7,0.9,0.18,24.1,208.0,100.0,308,8,DST
"Chargers, LAC",0.6,0.0,2.1,42.2,0.9,1.3,0.29,26.0,219.0,122.0,341,8,DST
"Cowboys, DAL",0.9,0.0,2.1,46.8,0.9,1.3,0.18,24.1,233.0,115.0,348,8,DST
"49ers, SF",1.1,0.0,2.8,41.8,0.5,0.7,0.09,22.0,250.0,118.0,368,8,DST
"Packers, GB",0.8,0.1,2.7,40.5,0.5,0.7,0.08,23.5,268.0,92.0,360,7,DST
"Jets, NYJ",0.6,0.0,2.6,42.3,0.5,0.7,0.16,22.7,194.0,137.0,331,7,DST
"Giants, NYG",1.0,0.0,1.5,43.3,0.8,1.1,0.06,24.8,278.0,103.0,381,7,DST
"Lions, DET",0.4,0.0,2.3,44.7,0.7,0.9,0.09,24.4,237.0,115.0,352,7,DST
"Dolphins, MIA",0.5,0.1,1.8,44.7,0.7,0.9,0.1,23.8,243.0,124.0,367,7,DST
"Browns, CLE",1.1,0.0,1.3,43.7,0.4,0.5,0.09,23.7,256.0,119.0,375,6,DST
"Falcons, ATL",0.9,0.0,1.2,48.4,0.8,1.2,0.04,24.6,289.0,108.0,397,6,DST
"Saints, NO",0.7,0.0,1.8,43.6,0.8,1.2,0.32,32.6,311.0,115.0,426,6,DST
