Player,Team,GP,Pass Att,Pass Comp,Pass Inc,Pass Yds,Pass TD,Pass Int,Sacked,300-399 Pass Yds,400+ Pass Yds,40+ Pass TD,50+ Pass TD,Rush Att,Rush Yds,Rush TD,Receptions,Rec Yds,Fum Lost,Fum,2PT,Tack,Fum Rec,Fum Yds,POS
Blake Bortles,JAX,1.0,39.0,24.0,15.0,320.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Drew Brees,NO,1.0,42.0,28.0,14.0,423.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,QB
Derek Carr,OAK,1.0,38.0,24.0,14.0,319.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,QB
Kirk Cousins,MIN,1.0,43.0,30.0,13.0,329.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Andy Dalton,CIN,1.0,30.0,23.0,7.0,366.0,1.0,1.0,7.0,1.0,0.0,1.0,1.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Ryan Fitzpatrick,TB,1.0,35.0,19.0,16.0,189.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-2.0,QB
Joe Flacco,BAL,1.0,33.0,22.0,11.0,258.0,1.0,0.0,4.0,0.0,0.0,1.0,1.0,4.0,-3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,-2.0,QB
Blaine Gabbert,TEN,1.0,35.0,22.0,13.0,170.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,43.0,0.0,1.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Jimmy Garoppolo,SF,1.0,33.0,24.0,9.0,264.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,-2.0,QB
Robert Griffin III,BAL,1.0,26.0,12.0,14.0,190.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,37.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,QB
Case Keenum,DEN,1.0,35.0,17.0,18.0,130.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Andrew Luck,IND,1.0,47.0,31.0,16.0,385.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,QB
Eli Manning,NYG,1.0,28.0,19.0,9.0,207.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,QB
Marcus Mariota,TEN,1.0,41.0,25.0,16.0,271.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,19.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,QB
Cam Newton,CAR,1.0,33.0,18.0,15.0,194.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,11.0,54.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Brock Osweiler,MIA,1.0,35.0,22.0,13.0,231.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Dak Prescott,DAL,1.0,45.0,25.0,20.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Philip Rivers,LAC,1.0,36.0,25.0,11.0,243.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Aaron Rodgers,GB,1.0,34.0,20.0,14.0,199.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Ben Roethlisberger,PIT,1.0,37.0,27.0,10.0,300.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,QB
Matt Ryan,ATL,1.0,39.0,27.0,12.0,334.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,QB
Trevor Siemian,MIN,1.0,26.0,18.0,8.0,178.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,QB
Alex Smith,WAS,1.0,48.0,34.0,14.0,363.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,4.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Matthew Stafford,DET,1.0,39.0,31.0,8.0,340.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Ryan Tannehill,MIA,1.0,29.0,16.0,13.0,186.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,17.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,QB
Tyrod Taylor,CLE,1.0,22.0,15.0,7.0,111.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Carson Wentz,PHI,1.0,37.0,22.0,15.0,278.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,-6.0,QB
Russell Wilson,SEA,1.0,43.0,27.0,16.0,258.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,16.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-6.0,QB
Jameis Winston,TB,1.0,32.0,23.0,9.0,281.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
