NFL $3.25M Roman Fantasy Football Millionaire [$1M to 1st]	$20.00	$3,250,000	150	191,176	191,176	23%	248.20	$1,000,000	149.72	$30.00
NFL $1.5M Fourth Down Conversion [$300K to 1st]	$4,444.00	$1,500,000	11	375	375	21%	224.20	$300,000	155.62	$8,000.00
NFL $1.25M Play-Action [$100K to 1st]	$3.00	$1,250,000	20	495,441	495,441	25%	255.00	$100,000	146.44	$5.00
NFL $1M Wildcat [$200K to 1st]	$333.00	$1,000,000	100	3,336	3,336	20%	253.90	$200,000	156.22	$500.00
NFL $500K Power Sweep [3 Entry Max, $100K to 1st]	$150.00	$500,000	3	3,703	3,703	23%	224.20	$100,000	150.66	$225.00
NFL $400K Slant	$9.00	$400,000	150	52,287	52,287	20%	245.20	$40,000	154.16	$18.00
NFL $200K Luxury Box [$50K to 1st]	$2,120.00	$200,000	3	100	100	25%	222.00	$50,000	154.46	$3,500.00
NFL $200K Three-Point Stance [5 Entry Max]	$33.00	$200,000	5	7,067	7,067	24%	227.96	$25,000	149.30	$50.00
NFL $200K Spy [Single Entry, $30K to 1st]	$100.00	$200,000	1	2,222	2,222	20%	211.40	$30,000	150.82	$200.00
NFL $200K First Down	$1.00	$200,000	20	237,812	237,812	25%	246.34	$10,000	146.32	$2.00
NFL $175K Fair Catch [Single Entry]	$12.00	$175,000	1	17,156	17,156	24%	239.20	$15,000	146.96	$18.00
NFL MASSIVE $25 Double Up	$25.00	$150,000	150	6,896	6,896	44%	224.20	$50	139.84	$50.00
NFL MASSIVE $25 Double Up [Single Entry]	$25.00	$150,000	1	6,896	6,896	44%	215.72	$50	129.66	$50.00
$10M Fantasy Football World Championship Double Qualifier #99-10	$1,100.00	$127,722	4	135	112	3%	211.90	$0	185.66	$1,100.00
NFL MASSIVE $5 Double Up	$5.00	$125,000	150	28,735	28,735	44%	224.10	$10	133.56	$10.00
NFL $125K Checkdown Pass [3 Entry Max]	$777.00	$125,000	3	178	178	23%	224.20	$20,000	152.54	$1,250.00
NFL $102K Game Changer [Single Entry]	$1,500.00	$102,000	1	72	72	24%	174.32	$25,000	152.52	$2,500.00
NFL MASSIVE $50 Double Up [Single Entry]	$50.00	$100,000	1	2,272	2,272	44%	203.60	$100	129.10	$100.00
NFL MASSIVE $100 Double Up [Single Entry]	$100.00	$100,000	1	1,111	1,111	45%	202.70	$200	128.12	$200.00
NFL MASSIVE $250 Double Up [Single Entry]	$250.00	$100,000	1	444	444	45%	198.72	$500	130.04	$500.00
NFL MASSIVE $5 Double Up	$5.00	$100,000	150	22,988	22,988	44%	231.90	$10	135.86	$10.00
NFL $100K Spy [Single Entry, $10K to 1st]	$100.00	$100,000	1	1,111	1,111	25%	215.52	$10,000	144.94	$150.00
NFL $100K Red Zone [Single Entry]	$50.00	$100,000	1	2,272	2,272	23%	220.90	$10,000	147.22	$75.00
NFL $100K Juke [3 Entry Max]	$400.00	$100,000	3	277	277	21%	224.20	$20,000	156.82	$800.00
NFL $100K Nickel [3 Entry Max]	$5.00	$100,000	3	23,781	23,781	27%	246.70	$10,000	145.44	$8.00
NFL $100K Power Sweep [3 Entry Max]	$150.00	$100,000	3	740	740	23%	226.86	$15,000	152.90	$250.00
NFL $80K Pylon [Single Entry]	$3.00	$80,000	1	31,708	31,708	23%	227.96	$5,000	147.96	$6.00
NFL GIANT $10 Double Up [Single Entry]	$10.00	$75,000	1	8,620	8,620	44%	215.00	$20	130.02	$20.00
NFL $75K Super Booster [Top 75 Win $1,000]	$27.00	$75,000	97	3,239	3,239	2%	229.60	$1,000	184.74	$1,000.00
NFL GIANT $10 Double Up	$10.00	$75,000	150	8,620	8,620	44%	210.32	$20	139.84	$20.00
NFL $75K Flea Flicker	$5.00	$75,000	150	17,835	17,835	26%	234.40	$7,500	151.76	$8.00
$10M Fantasy Football World Championship Qualifier #98	$500.00	$71,811	5	167	155	7%	224.20	$0	173.46	$500.00
$10M Fantasy Football World Championship Qualifier #92	$5.00	$70,096	150	16,669	16,040	7%	240.00	$0	173.24	$5.00
$10M Fantasy Football World Championship Qualifier #93	$16.00	$68,991	150	5,072	3,926	6%	239.04	$0	177.62	$16.00
$10M Fantasy Football World Championship Qualifier #94	$33.00	$68,961	73	2,458	1,929	6%	229.60	$0	175.52	$33.00
$10M Fantasy Football World Championship Qualifier #97	$150.00	$68,111	16	534	468	5%	224.20	$0	181.52	$150.00
$10M Fantasy Football World Championship Qualifier #95	$50.00	$67,661	47	1,592	1,147	5%	229.60	$0	178.50	$50.00
$10M Fantasy Football World Championship Qualifier #96	$75.00	$66,011	31	1,035	770	4%	229.60	$0	182.62	$75.00
$10M Fantasy Football World Championship Qualifier #101	$5,600.00	$62,611	1	13	13	8%	158.60	$0	158.60	$0.00
NFL GIANT $25 Double Up	$25.00	$50,000	68	2,298	2,298	44%	210.32	$50	139.34	$50.00
NFL GIANT $25 Double Up [Single Entry]	$25.00	$50,000	1	2,298	2,298	44%	203.40	$50	128.96	$50.00
NFL $50K Mini-MAX [150 Max Entry]	$0.50	$50,000	150	118,906	118,906	22%	245.20	$5,000	151.50	$1.00
NFL GIANT $5 Double Up [Single Entry]	$5.00	$50,000	1	11,494	11,494	44%	231.70	$10	130.20	$10.00
NFL $50K Engage Eight [3 Entry Max]	$8.00	$50,000	3	7,352	7,352	25%	234.40	$5,000	147.94	$12.00
NFL GIANT $1,060 50-50	$1,060.00	$40,000	1	40	40	50%	178.04	$2,000	130.22	$2,000.00
NFL GIANT $2,120 50-50	$2,120.00	$40,000	1	20	20	50%	178.04	$4,000	130.22	$4,000.00
NFL $215 200-Player (Winner Takes All)	$215.00	$40,000	1	200	0	1%		$0		$0.00
NFL $40K Hail Mary	$12.00	$40,000	117	3,921	3,921	26%	229.60	$4,000	152.86	$18.00
NFL $40K Quarter Jukebox [Just $0.25!]	$0.25	$40,000	20	190,249	190,249	24%	245.00	$1,500	146.64	$0.50
NFL $36K Touchdown	$200.00	$36,000	6	200	200	21%	224.20	$7,500	155.12	$400.00
NFL GIANT $50 Double Up	$50.00	$35,000	23	795	795	44%	210.32	$100	137.90	$100.00
NFL GIANT $530 50-50	$530.00	$35,000	2	70	70	50%	178.04	$1,000	136.02	$1,000.00
NFL $35K Chop Block [$5K to 1st]	$50.00	$35,000	23	795	795	21%	229.60	$5,000	157.82	$75.00
NFL GIANT $100 Double Up	$100.00	$35,000	11	388	388	45%	198.72	$200	135.52	$200.00
