Player,ATT,CMP,YD,TD,INT,RATE,ATT,YD,AVG,TD,TARGT,RECPT,YD,AVG,TD,FL,FPTS,POS
"David Johnson, ARI",0.0,0.0,0.0,0.0,0.0,0.0,19.7,73.1,3.71,0.7,7.5,5.3,51.4,9.70,0.2,0.2,17,RB
"LeSean McCoy, BUF",0.0,0.0,0.0,0.0,0.0,0.0,18.4,82.6,4.49,0.6,3.8,3.1,21.6,6.97,0.1,0.1,14,RB
"Darren Sproles, PHI",0.0,0.0,0.0,0.0,0.0,0.0,13.9,63.2,4.55,0.4,8.1,6.2,47.6,7.68,0.2,0.1,13,RB
"Devonta Freeman, ATL",0.0,0.0,0.0,0.0,0.0,0.0,13.6,64.1,4.71,0.6,4.2,3.4,27.1,7.97,0.1,0.2,11,RB
"DeMarco Murray, TEN",0.0,0.0,0.0,0.0,0.0,0.0,18.0,79.7,4.43,0.4,4,2.9,20.0,6.90,0.1,0.2,11,RB
"LeGarrette Blount, DET",0.0,0.0,0.0,0.0,0.0,0.0,15.6,70.1,4.49,0.7,1.4,1.2,7.8,6.50,0.1,0.1,11,RB
"Jordan Howard, CHI",0.0,0.0,0.0,0.0,0.0,0.0,18.7,88.0,4.71,0.3,3.5,2.0,18.2,9.10,0.1,0.1,11,RB
"Mark Ingram, NO",0.0,0.0,0.0,0.0,0.0,0.0,14.6,65.0,4.45,0.3,4,3.3,20.8,6.30,0.2,0.2,10,RB
"Thomas Rawls, CIN",0.0,0.0,0.0,0.0,0.0,0.0,14.4,66.6,4.62,0.5,2,1.6,12.2,7.62,0.1,0.1,10,RB
"Tevin Coleman, ATL",0.0,0.0,0.0,0.0,0.0,0.0,8.7,39.1,4.49,0.5,3.1,2.4,34.4,14.33,0.2,0.1,10,RB
"Jacquizz Rodgers, TB",0.0,0.0,0.0,0.0,0.0,0.0,16.7,64.2,3.84,0.3,1.9,1.6,11.4,7.12,0.1,0.1,9,RB
"Ty Montgomery, BAL",0.0,0.0,0.0,0.0,0.0,0.0,12.6,57.9,4.60,0.3,4.5,4.0,27.2,6.80,0.1,0.1,9,RB
"Spencer Ware, KC",0.0,0.0,0.0,0.0,0.0,0.0,11.8,50.9,4.31,0.3,2.3,1.8,22.7,12.61,0.1,0.3,8,RB
"Jonathan Stewart, NYG",0.0,0.0,0.0,0.0,0.0,0.0,15.9,64.6,4.06,0.5,1.8,1.0,7.2,7.20,0.0,0.2,8,RB
"Alfred Blue, HOU",0.0,0.0,0.0,0.0,0.0,0.0,16.6,68.9,4.15,0.2,2.3,1.8,10.5,5.83,0.1,0.1,8,RB
"Frank Gore, MIA",0.0,0.0,0.0,0.0,0.0,0.0,13.2,46.2,3.50,0.4,2.8,2.1,14.4,6.86,0.2,0.1,8,RB
"Latavius Murray, MIN",0.0,0.0,0.0,0.0,0.0,0.0,14.6,55.9,3.83,0.4,3.4,2.3,14.2,6.17,0.0,0.1,8,RB
