Player,POS,Team,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD
Alvin Kamara,RB,NO,40,1,9,75,1
Todd Gurley,RB,LAR,100,1,4,35,0
Ezekiel Elliott,RB,DAL,90,1,4,30,0
Jordan Howard,RB,CHI,90,1,2,20,0
Saquon Barkley,RB,NYG,70,1,4,35,0
James Conner,RB,PIT,80,1,4,25,0
Melvin Gordon,RB,LAC,65,1,5,40,0
David Johnson,RB,ARI,70,1,5,35,0
Christian McCaffrey,RB,CAR,45,0,7,55,1
Giovani Bernard,RB,CIN,70,1,3,25,0
Latavius Murray,RB,MIN,85,1,2,10,0
Dion Lewis,RB,TEN,55,1,5,35,0
Kenyan Drake,RB,MIA,60,1,3,25,0
Lamar Miller,RB,HOU,70,1,2,15,0
Marshawn Lynch,RB,OAK,65,1,2,15,0
T.J. Yeldon,RB,JAX,60,1,2,20,0
Corey Clement,RB,PHI,50,1,3,25,0
Alex Collins,RB,BAL,55,1,2,20,0
Chris Thompson,RB,WAS,20,0,7,55,1
Isaiah Crowell,RB,NYJ,50,1,2,15,0
Tarik Cohen,RB,CHI,20,0,4,35,1
Tevin Coleman,RB,ATL,80,0,2,20,0
Phillip Lindsay,RB,DEN,60,0,3,25,0
Matt Breida,RB,SF,55,0,3,25,0
Peyton Barber,RB,TB,60,0,1,10,0
Adrian Peterson,RB,WAS,60,0,1,10,0
Royce Freeman,RB,DEN,50,0,2,15,0
Bilal Powell,RB,NYJ,35,0,4,30,0
Jordan Wilkins,RB,IND,45,0,2,15,0
Chris Carson,RB,SEA,40,0,2,15,0
Corey Grant,RB,JAX,25,0,4,30,0
Kerryon Johnson,RB,DET,35,0,2,20,0
James White,RB,NE,15,0,6,40,0
Jamaal Williams,RB,GB,45,0,1,10,0
Rex Burkhead,RB,NE,35,0,2,15,0
Austin Ekeler,RB,LAC,35,0,2,15,0
Derrick Henry,RB,TEN,40,0,1,10,0
Nyheim Hines,RB,IND,25,0,3,25,0
Javorius Allen,RB,BAL,20,0,3,25,0
Duke Johnson,RB,CLE,20,0,3,25,0
Aaron Jones,RB,GB,35,0,1,10,0
Alfred Morris,RB,SF,45,0,0,0,0
Marcus Murphy,RB,BUF,30,0,2,15,0
Frank Gore,RB,MIA,35,0,1,5,0
Chris Ivory,RB,BUF,30,0,1,10,0
Sony Michel,RB,NE,35,0,1,5,0
Rashaad Penny,RB,SEA,30,0,1,10,0
Theo Riddick,RB,DET,10,0,4,30,0
Jalen Richard,RB,OAK,10,0,3,25,0
Wendell Smallwood,RB,PHI,25,0,1,10,0
Alfred Blue,RB,HOU,20,0,1,10,0
Jacquizz Rodgers,RB,TB,20,0,1,10,0
LeGarrette Blount,RB,DET,25,0,0,0,0
Chase Edmonds,RB,ARI,15,0,1,10,0
Ito Smith,RB,ATL,25,0,0,0,0
Devontae Booker,RB,DEN,15,0,1,5,0
Wayne Gallman,RB,NYG,10,0,1,10,0
Mark Walton,RB,CIN,15,0,1,5,0
Doug Martin,RB,OAK,15,0,0,0,0
Rod Smith,RB,DAL,10,0,1,5,0
Spencer Ware,RB,KC,10,0,1,5,0
Malcolm Brown,RB,LAR,5,0,1,5,0
Nick Chubb,RB,CLE,10,0,0,0,0
Stevan Ridley,RB,PIT,5,0,1,5,0
Jonathan Stewart,RB,NYG,5,0,0,0,0
