Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Fum Lost,2PT,Tack,Ast,Frc Fum,Fum Rec,Pass Def,POS,TD
Josh Adams,PHI,1.0,11.03,0.07,0.9,6.67,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Javorius Allen,BAL,1.0,25.74,0.18,3.06,25.75,0.11,0.04,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
C.J. Anderson,LAR,1.0,28.02,0.15,0.87,8.78,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Alex Armah,CAR,1.0,2.78,0.03,0.15,0.84,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Cameron Artis-Payne,CAR,1.0,4.83,0.04,0.35,3.2,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Peyton Barber,TB,1.0,64.13,0.47,1.57,12.06,0.06,0.08,0.01,0.0,0.0,0.0,0.0,0.0,RB,0.0
Saquon Barkley,NYG,1.0,72.59,0.43,5.64,45.78,0.21,0.08,0.01,0.0,0.0,0.0,0.0,0.0,RB,0.0
Giovani Bernard,CIN,1.0,63.59,0.35,4.3,35.01,0.15,0.0,0.01,0.0,0.0,0.0,0.0,0.0,RB,0.12
LeGarrette Blount,DET,1.0,40.82,0.24,0.53,2.76,0.03,0.05,0.03,0.0,0.0,0.0,0.0,0.0,RB,0.0
Alfred Blue,HOU,1.0,24.99,0.15,0.61,6.61,0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.04
Tommy Bohanon,JAX,1.0,1.02,0.01,0.38,2.8,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,RB,0.0
Brandon Bolden,MIA,1.0,4.29,0.03,0.37,4.32,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Devontae Booker,DEN,1.0,17.79,0.09,1.33,11.76,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Mike Boone,MIN,1.0,11.91,0.09,0.76,6.23,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Matt Breida,SF,1.0,59.99,0.4,2.73,21.22,0.09,0.02,0.01,0.0,0.0,0.0,0.0,0.0,RB,0.0
Malcolm Brown,LAR,1.0,14.6,0.08,0.56,5.6,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Rex Burkhead,NE,1.0,40.74,0.29,2.24,18.64,0.09,0.05,0.01,0.0,0.0,0.0,0.0,0.0,RB,0.0
Trenton Cannon,NYJ,1.0,7.7,0.05,0.58,4.41,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.02
Chris Carson,SEA,1.0,39.71,0.23,1.68,15.14,0.09,0.09,0.01,0.0,0.0,0.0,0.0,0.0,RB,0.0
Nick Chubb,CLE,1.0,11.23,0.08,0.53,4.1,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Corey Clement,PHI,1.0,50.6,0.43,2.56,23.65,0.14,0.03,0.01,0.0,0.0,0.0,0.0,0.0,RB,0.07
Tarik Cohen,CHI,1.0,20.94,0.13,2.22,19.35,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.04
Derrick Coleman,ARI,1.0,1.43,0.01,0.17,0.96,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Tevin Coleman,ATL,1.0,73.23,0.46,3.16,25.86,0.16,0.0,0.01,0.0,0.0,0.0,0.0,0.0,RB,0.0
Alex Collins,BAL,1.0,59.79,0.43,2.31,23.67,0.09,0.22,0.01,0.0,0.0,0.0,0.0,0.0,RB,0.0
James Conner,PIT,1.0,65.04,0.53,3.61,29.73,0.11,0.14,0.01,0.0,0.0,0.0,0.0,0.0,RB,0.0
Isaiah Crowell,NYJ,1.0,44.25,0.29,1.12,9.57,0.02,0.08,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Benny Cunningham,CHI,1.0,0.0,0.0,0.63,5.46,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Justin Davis,LAR,1.0,1.37,0.02,0.34,3.39,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
