,vals
const,2.6164720020969163
CBS,-0.32304340483673594
ESPN,-0.06236008171802285
FFToday,-0.2855008556413536
FantasyPros,0.9647098628154765
NFL,0.6088521925557814
Yahoo,0.05277191179218804
