Player,Team,GP,Rush Att,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,40+ Rec TD,50+ Rec TD,100-199 Rec Yds,Return Yds,Fum Lost,Fum,2PT,Tack,Ast,Frc Fum,Fum Rec,Fum TD,Fum Yds,POS
Jerell Adams,HOU,9.0,0.0,0.0,0.0,16.0,122.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Dwayne Allen,NE,14.0,0.0,0.0,0.0,35.0,406.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jace Amaro,,1.0,0.0,0.0,0.0,3.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Stephen Anderson,NE,9.0,0.0,0.0,0.0,11.0,93.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,TE
Blake Bell,JAX,8.0,0.0,0.0,0.0,4.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,TE
Braedon Bowman,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,TE
Nick Boyle,BAL,4.0,0.0,0.0,0.0,6.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,TE
Cameron Brate,TB,15.0,0.0,0.0,0.0,57.0,660.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,TE
Ben Braunecker,CHI,5.0,0.0,0.0,0.0,4.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,TE
Daniel Brown,CHI,6.0,0.0,0.0,0.0,16.0,124.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Trey Burton,CHI,14.0,0.0,0.0,0.0,37.0,327.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,1.0,0.0,0.0,TE
Derek Carrier,OAK,3.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TE
Garrett Celek,SF,14.0,0.0,0.0,0.0,29.0,350.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,TE
Charles Clay,BUF,15.0,0.0,0.0,0.0,57.0,552.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
