Player,OPP,STATUS ET,TT,SCK,FF,FR,INT,ITD,FTD,PTS,POS
Falcons D/ST D/ST,GB,W 34-23,--,--,--,--,--,--,--,--,DST
Bills D/ST D/ST,@Car,L 3-9,--,--,--,--,--,--,--,--,DST
Bears D/ST D/ST,@TB,L 7-29,--,--,--,--,--,--,--,--,DST
Bengals D/ST D/ST,Hou,L 9-13,--,--,--,--,--,--,--,--,DST
Browns D/ST D/ST,@Bal,L 10-24,--,--,--,--,--,--,--,--,DST
Cowboys D/ST D/ST,@Den,L 17-42,--,--,--,--,--,--,--,--,DST
Broncos D/ST D/ST,Dal,W 42-17,--,--,--,--,--,--,--,--,DST
Lions D/ST D/ST,@NYG,W 24-10,--,--,--,--,--,--,--,--,DST
Packers D/ST D/ST,@Atl,L 23-34,--,--,--,--,--,--,--,--,DST
Titans D/ST D/ST,@Jax,W 37-16,--,--,--,--,--,--,--,--,DST
Colts D/ST D/ST,Ari,L 13-16,--,--,--,--,--,--,--,--,DST
Chiefs D/ST D/ST,Phi,W 27-20,--,--,--,--,--,--,--,--,DST
Raiders D/ST D/ST,NYJ,W 45-20,--,--,--,--,--,--,--,--,DST
Rams D/ST D/ST,Wsh,L 20-27,--,--,--,--,--,--,--,--,DST
Dolphins D/ST D/ST,@LAC,W 19-17,--,--,--,--,--,--,--,--,DST
Vikings D/ST D/ST,@Pit,L 9-26,--,--,--,--,--,--,--,--,DST
Patriots D/ST D/ST,@NO,W 36-20,--,--,--,--,--,--,--,--,DST
Saints D/ST D/ST,NE,L 20-36,--,--,--,--,--,--,--,--,DST
Giants D/ST D/ST,Det,L 10-24,--,--,--,--,--,--,--,--,DST
Jets D/ST D/ST,@Oak,L 20-45,--,--,--,--,--,--,--,--,DST
Eagles D/ST D/ST,@KC,L 20-27,--,--,--,--,--,--,--,--,DST
Cardinals D/ST D/ST,@Ind,W 16-13,--,--,--,--,--,--,--,--,DST
Steelers D/ST D/ST,Min,W 26-9,--,--,--,--,--,--,--,--,DST
Chargers D/ST D/ST,Mia,L 17-19,--,--,--,--,--,--,--,--,DST
49ers D/ST D/ST,@Sea,L 9-12,--,--,--,--,--,--,--,--,DST
Seahawks D/ST D/ST,SF,W 12-9,--,--,--,--,--,--,--,--,DST
Buccaneers D/ST D/ST,Chi,W 29-7,--,--,--,--,--,--,--,--,DST
Redskins D/ST D/ST,@LAR,W 27-20,--,--,--,--,--,--,--,--,DST
Panthers D/ST D/ST,Buf,W 9-3,--,--,--,--,--,--,--,--,DST
Jaguars D/ST D/ST,Ten,L 16-37,--,--,--,--,--,--,--,--,DST
Ravens D/ST D/ST,Cle,W 24-10,--,--,--,--,--,--,--,--,DST
Texans D/ST D/ST,@Cin,W 13-9,--,--,--,--,--,--,--,--,DST
