Player,Team,Opp,FG Made,FG Miss,XP Made,XP Miss,FFPts,POS
Chris Boswell,PIT,KC,3,0,3,0,12.0,K
Caleb Sturgis,LAC,@BUF,3,0,3,0,12.0,K
Stephen Gostkowski,NE,@JAC,3,0,2,0,11.0,K
Josh Lambo,JAC,NE,3,0,1,0,10.0,K
Wil Lutz,NO,CLE,2,0,4,0,10.0,K
Harrison Butker,KC,@PIT,2,0,3,0,9.0,K
Chandler Catanzaro,TB,PHI,2,0,3,0,9.0,K
Ka'imi Fairbairn,HOU,@TEN,2,0,3,0,9.0,K
Brandon McManus,DEN,OAK,2,0,3,0,9.0,K
Matt Prater,DET,@SF,2,0,3,0,9.0,K
Greg Zuerlein,LAR,ARI,2,0,3,0,9.0,K
Matt Bryant,ATL,CAR,2,0,2,0,8.0,K
Randy Bullock,CIN,BAL,2,0,2,0,8.0,K
Mason Crosby,GB,MIN,2,0,2,0,8.0,K
Jake Elliott,PHI,@TB,2,0,2,0,8.0,K
Robbie Gould,SF,DET,2,0,2,0,8.0,K
Sebastian Janikowski,SEA,@CHI,2,0,2,0,8.0,K
Brett Maher,DAL,NYG,2,0,2,0,8.0,K
Jason Myers,NYJ,MIA,2,0,2,0,8.0,K
Cody Parkey,CHI,SEA,2,0,2,0,8.0,K
Aldrick Rosas,NYG,@DAL,2,0,2,0,8.0,K
Jason Sanders,MIA,@NYJ,2,0,2,0,8.0,K
Justin Tucker,BAL,@CIN,2,0,2,0,8.0,K
Adam Vinatieri,IND,@WAS,2,0,2,0,8.0,K
Zane Gonzalez,CLE,@NO,2,0,1,0,7.0,K
Steve Hauschka,BUF,LAC,2,0,1,0,7.0,K
Daniel Carlson,MIN,@GB,1,0,3,0,6.0,K
Graham Gano,CAR,@ATL,1,0,3,0,6.0,K
Dustin Hopkins,WAS,IND,1,0,3,0,6.0,K
Mike Nugent,OAK,@DEN,1,0,2,0,5.0,K
Phil Dawson,ARI,@LAR,1,0,1,0,4.0,K
Ryan Succop,TEN,HOU,0,0,3,0,3.0,K
