Player,Team,GP,PAT Made,FG 0-19,FG 20-29,FG 30-39,FG 40-49,FG Miss 50+,POS
Chris Boswell,PIT,1.0,2.68,0.04,0.48,0.56,0.55,0.2,K
Matt Bryant,ATL,1.0,2.47,0.05,0.47,0.58,0.41,0.24,K
Randy Bullock,CIN,1.0,2.98,0.0,0.48,0.49,0.51,0.25,K
Harrison Butker,KC,1.0,2.38,0.0,0.48,0.51,0.42,0.2,K
Daniel Carlson,OAK,1.0,1.54,0.06,0.48,0.6,0.48,0.21,K
Chandler Catanzaro,CAR,1.0,2.53,0.08,0.48,0.52,0.45,0.19,K
Mason Crosby,GB,1.0,1.7,0.1,0.48,0.49,0.5,0.21,K
Phil Dawson,ARI,1.0,1.68,0.03,0.48,0.56,0.39,0.18,K
Jake Elliott,PHI,1.0,2.41,0.0,0.48,0.51,0.45,0.18,K
Ka'imi Fairbairn,HOU,1.0,1.44,0.02,0.48,0.52,0.39,0.18,K
Graham Gano,CAR,1.0,1.59,0.03,0.48,0.63,0.32,0.16,K
Zane Gonzalez,ARI,1.0,1.3,0.01,0.48,0.5,0.41,0.23,K
Stephen Gostkowski,NE,1.0,2.04,0.04,0.48,0.53,0.48,0.19,K
Robbie Gould,SF,1.0,2.95,0.04,0.48,0.54,0.46,0.21,K
Stephen Hauschka,BUF,1.0,1.57,0.0,0.48,0.51,0.58,0.26,K
Dustin Hopkins,WAS,1.0,2.42,0.05,0.48,0.52,0.37,0.19,K
Sebastian Janikowski,SEA,1.0,2.0,0.05,0.48,0.47,0.39,0.21,K
Josh Lambo,JAX,1.0,2.42,0.05,0.48,0.47,0.49,0.24,K
Wil Lutz,NO,1.0,2.05,0.04,0.48,0.51,0.43,0.28,K
Brett Maher,DAL,1.0,1.77,0.0,0.48,0.37,0.37,0.17,K
Brandon McManus,DEN,1.0,2.08,0.0,0.48,0.53,0.44,0.29,K
Jason Myers,NYJ,1.0,2.48,0.03,0.48,0.5,0.5,0.17,K
Mike Nugent,OAK,1.0,1.31,0.09,0.48,0.53,0.54,0.26,K
Cody Parkey,CHI,1.0,2.58,0.1,0.47,0.56,0.55,0.22,K
Matt Prater,DET,1.0,1.74,0.06,0.48,0.49,0.37,0.19,K
Aldrick Rosas,NYG,1.0,1.01,0.02,0.57,0.82,0.59,0.13,K
Jason Sanders,MIA,1.0,1.36,0.03,0.48,0.43,0.42,0.18,K
Caleb Sturgis,,1.0,2.51,0.07,0.47,0.56,0.45,0.23,K
Ryan Succop,TEN,1.0,1.58,0.02,0.48,0.53,0.42,0.22,K
Justin Tucker,BAL,1.0,1.94,0.06,0.48,0.53,0.55,0.3,K
Adam Vinatieri,IND,1.0,1.47,0.04,0.48,0.52,0.53,0.24,K
Greg Zuerlein,LA,1.0,2.67,0.02,0.48,0.55,0.46,0.26,K
