Player,OPP,STATUS ET,1-39,40-49,50+,TOT,XP,PTS,POS
"Greg Zuerlein, LAR K",Ari,W 34-0,1.2/1.3,0.6/0.7,0.2/0.4,2/2.3,2.7/2.8,9.5,K
"Chris Boswell*, Pit K IR",KC,L 37-42,1.2/1.2,0.6/0.7,0.2/0.3,1.9/2.2,2.9/3,9.4,K
"Matt Bryant, Atl K",Car,W 31-24,1.1/1.1,0.5/0.6,0.2/0.3,1.8/2.1,2.7/2.8,8.9,K
"Justin Tucker, Bal K",@Cin,L 23-34,1.2/1.2,0.6/0.7,0.2/0.3,2/2.2,1.9/1.9,8.9,K
"Robbie Gould, SF K",Det,W 30-27,1.1/1.1,0.5/0.6,0.2/0.3,1.8/2.1,2.6/2.7,8.8,K
"Stephen Gostkowski, NE K",@Jax,L 20-31,1.1/1.2,0.5/0.7,0.2/0.3,1.9/2.2,2.5/2.6,8.7,K
"Wil Lutz, NO K",Cle,W 21-18,1/1.1,0.5/0.6,0.2/0.3,1.7/2,2.9/3.1,8.5,K
"Harrison Butker, KC K",@Pit,W 42-37,1.1/1.2,0.5/0.7,0.2/0.3,1.8/2.2,2.3/2.4,8.4,K
"Matt Prater, Det K",@SF,L 27-30,1.1/1.1,0.5/0.6,0.2/0.3,1.8/2.1,2.3/2.3,8.3,K
"Graham Gano*, Car K IR",@Atl,L 24-31,1.1/1.1,0.5/0.6,0.2/0.3,1.8/2.1,2.2/2.3,8.2,K
"Dustin Hopkins, Wsh K",Ind,L 9-21,1/1.1,0.5/0.6,0.2/0.3,1.7/2.1,2.5/2.7,8,K
"Cody Parkey, Chi K",Sea,W 24-17,1/1.1,0.5/0.6,0.2/0.3,1.7/2,2.4/2.5,7.9,K
"Jake Elliott, Phi K",@TB,L 21-27,1/1.1,0.5/0.6,0.2/0.3,1.7/1.9,2.1/2.2,7.8,K
"Mason Crosby, GB K",Min,T 29-29,1/1.1,0.5/0.6,0.2/0.3,1.6/2,2.4/2.6,7.7,K
"Adam Vinatieri, Ind K",@Wsh,W 21-9,1/1,0.5/0.6,0.2/0.3,1.6/1.8,2.4/2.5,7.7,K
"Josh Lambo*, Jax K IR",NE,W 31-20,1/1.1,0.5/0.6,0.2/0.3,1.7/2,2/2.1,7.7,K
"Brandon McManus, Den K",Oak,W 20-19,1/1.1,0.5/0.6,0.2/0.3,1.7/2,2.2/2.4,7.6,K
"Chandler Catanzaro, Car K",@Atl,L 24-31,1.1/1.2,0.5/0.6,0.2/0.3,1.7/2.1,1.9/2,7.6,K
"Daniel Carlson, Oak K",@Den,L 19-20,1/1,0.5/0.6,0.2/0.3,1.6/1.9,2.2/2.4,7.6,K
"Brett Maher, Dal K",NYG,W 20-13,0.9/1,0.4/0.5,0.2/0.3,1.5/1.8,2.5/2.7,7.5,K
"Ryan Succop, Ten K",Hou,W 20-17,1/1,0.5/0.6,0.2/0.3,1.6/1.9,1.9/2,7.4,K
"Caleb Sturgis, LAC K",@Buf,W 31-20,0.9/1,0.4/0.6,0.2/0.3,1.6/1.9,2.3/2.5,7.3,K
"Randy Bullock, Cin K",Bal,W 34-23,1/1,0.5/0.6,0.2/0.3,1.6/1.9,2/2.1,7.3,K
"Aldrick Rosas, NYG K",@Dal,L 13-20,1/1.1,0.5/0.6,0.2/0.3,1.6/2,2/2.2,7.3,K
"Jason Myers, NYJ K",Mia,L 12-20,0.9/1,0.4/0.6,0.2/0.3,1.5/1.9,2.1/2.3,7.2,K
"Sebastian Janikowski, Sea K Q",@Chi,L 17-24,1/1.1,0.4/0.6,0.2/0.3,1.6/1.9,1.9/2.1,7.1,K
"Mike Nugent*, Oak K IR",@Den,L 19-20,0.9/1.1,0.4/0.6,0.2/0.3,1.6/1.9,1.9/2.1,7,K
"Ka'imi Fairbairn, Hou K",@Ten,L 17-20,0.9/1,0.4/0.5,0.2/0.3,1.5/1.8,1.9/2.1,6.8,K
"Jason Sanders, Mia K",@NYJ,W 20-12,0.9/1,0.4/0.6,0.2/0.3,1.5/1.8,1.9/2.1,6.8,K
