Player,POS,Team,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD
Patrick Mahomes,QB,KC,305,3,1,15,0
Drew Brees,QB,NO,300,3,1,0,0
Aaron Rodgers,QB,GB,270,3,0,10,0
Deshaun Watson,QB,HOU,280,2,1,30,0
Ben Roethlisberger,QB,PIT,320,2,1,5,0
Baker Mayfield,QB,CLE,265,2,0,20,0
Ryan Fitzpatrick,QB,TB,270,2,1,15,0
Eli Manning,QB,NYG,285,2,2,5,0
Ryan Tannehill,QB,MIA,255,2,1,20,0
Kirk Cousins,QB,MIN,270,2,1,10,0
Andy Dalton,QB,CIN,280,2,1,5,0
Matt Ryan,QB,ATL,280,2,1,5,0
Case Keenum,QB,DEN,275,2,0,5,0
Philip Rivers,QB,LAC,280,2,0,0,0
Matthew Stafford,QB,DET,270,2,1,5,0
Carson Wentz,QB,PHI,260,2,1,10,0
Tom Brady,QB,NE,275,2,0,0,0
Derek Carr,QB,OAK,265,2,1,5,0
Joe Flacco,QB,BAL,265,2,1,5,0
Jared Goff,QB,LAR,265,2,0,5,0
Andrew Luck,QB,IND,245,2,1,10,0
Russell Wilson,QB,SEA,225,2,0,20,0
Blake Bortles,QB,JAX,240,1,1,30,0
Mitchell Trubisky,QB,CHI,225,1,1,20,0
C.J. Beathard,QB,SF,235,1,1,10,0
Marcus Mariota,QB,TEN,205,1,1,20,0
Dak Prescott,QB,DAL,190,1,0,25,0
Josh Allen,QB,BUF,180,1,1,25,0
Sam Darnold,QB,NYJ,210,1,1,5,0
Josh Rosen,QB,ARI,195,1,1,10,0
