Player,Team,GP,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,Fum Lost,2PT,POS
Josh Allen,BUF,1.0,202.21,1.09,0.81,36.02,0.26,0.15,0.08,QB
C.J. Beathard,SF,1.0,222.66,1.05,1.06,31.89,0.19,0.11,0.07,QB
Blake Bortles,JAX,1.0,239.79,1.54,0.8,24.49,0.15,0.05,0.16,QB
Tom Brady,NE,1.0,294.48,1.99,0.61,4.77,0.06,0.03,0.16,QB
Drew Brees,NO,1.0,318.21,1.97,0.78,3.96,0.06,0.02,0.06,QB
Teddy Bridgewater,NO,1.0,10.28,0.04,0.06,0.05,0.0,0.0,0.03,QB
Jacoby Brissett,IND,1.0,13.94,0.06,0.05,0.03,0.01,0.01,0.03,QB
Derek Carr,OAK,1.0,254.55,1.52,0.96,5.68,0.08,0.09,0.16,QB
Matt Cassel,DET,1.0,11.41,0.02,0.05,0.0,0.0,0.0,0.05,QB
Kirk Cousins,MIN,1.0,266.2,1.66,0.93,9.11,0.09,0.07,0.03,QB
Andy Dalton,CIN,1.0,262.48,1.74,0.75,4.47,0.08,0.05,0.0,QB
Chase Daniel,CHI,1.0,9.56,0.03,0.05,0.0,0.01,0.01,0.02,QB
Sam Darnold,NYJ,1.0,218.61,1.15,1.18,10.58,0.09,0.07,0.08,QB
Austin Davis,TEN,1.0,7.19,0.02,0.04,0.13,0.01,0.01,0.03,QB
Joshua Dobbs,PIT,1.0,13.89,0.05,0.11,0.07,0.01,0.01,0.04,QB
Jeff Driskel,CIN,1.0,19.95,0.06,0.07,0.06,0.01,0.01,0.04,QB
Ryan Fitzpatrick,TB,1.0,276.88,1.84,0.98,19.2,0.12,0.03,0.0,QB
Joe Flacco,BAL,1.0,249.07,1.55,0.85,5.31,0.08,0.04,0.13,QB
Nick Foles,PHI,1.0,14.43,0.05,0.07,0.04,0.0,0.0,0.03,QB
Jared Goff,LA,1.0,260.4,1.81,0.85,6.4,0.09,0.06,0.05,QB
Chad Henne,KC,1.0,11.03,0.03,0.05,0.11,0.0,0.01,0.02,QB
Taysom Hill,NO,1.0,2.45,0.01,0.02,0.0,0.01,0.01,0.04,QB
Brian Hoyer,NE,1.0,7.54,0.03,0.06,0.0,0.01,0.0,0.01,QB
Brett Hundley,SEA,1.0,15.99,0.06,0.12,0.09,0.01,0.01,0.03,QB
Lamar Jackson,BAL,1.0,47.29,0.19,0.25,7.15,0.05,0.04,0.03,QB
Case Keenum,DEN,1.0,252.69,1.53,0.82,6.76,0.09,0.04,0.03,QB
Chad Kelly,,1.0,17.98,0.06,0.06,0.06,0.01,0.01,0.04,QB
Cody Kessler,JAX,1.0,14.55,0.04,0.06,0.0,0.01,0.0,0.03,QB
DeShone Kizer,GB,1.0,29.76,0.08,0.16,0.16,0.02,0.01,0.03,QB
Andrew Luck,IND,1.0,263.24,1.87,0.92,11.53,0.1,0.09,0.09,QB
Patrick Mahomes,KC,1.0,291.8,1.94,0.9,21.5,0.13,0.11,0.08,QB
Eli Manning,NYG,1.0,258.44,1.65,1.0,4.2,0.05,0.04,0.0,QB
Sean Mannion,LA,1.0,7.94,0.02,0.06,0.04,0.01,0.0,0.03,QB
Marcus Mariota,TEN,1.0,207.26,1.05,0.79,28.71,0.17,0.12,0.03,QB
Baker Mayfield,CLE,1.0,235.11,1.19,0.91,12.48,0.11,0.08,0.09,QB
AJ McCarron,OAK,1.0,7.23,0.03,0.05,0.0,0.0,0.0,0.03,QB
Josh McCown,NYJ,1.0,15.89,0.06,0.1,0.0,0.0,0.01,0.02,QB
Nick Mullens,SF,1.0,18.83,0.09,0.12,0.0,0.01,0.01,0.04,QB
Brock Osweiler,MIA,1.0,16.42,0.06,0.09,0.0,0.01,0.0,0.06,QB
Nathan Peterman,OAK,1.0,7.04,0.02,0.1,0.0,0.0,0.0,0.03,QB
Dak Prescott,DAL,1.0,203.43,1.08,0.7,24.42,0.22,0.04,0.07,QB
Philip Rivers,LAC,1.0,289.84,2.05,0.75,0.0,0.04,0.01,0.03,QB
Aaron Rodgers,GB,1.0,268.78,1.93,0.75,14.62,0.13,0.06,0.1,QB
Ben Roethlisberger,PIT,1.0,306.94,1.98,0.95,9.0,0.1,0.06,0.19,QB
Josh Rosen,ARI,1.0,216.71,1.11,1.07,15.95,0.12,0.09,0.09,QB
Cooper Rush,DAL,1.0,7.82,0.03,0.06,0.07,0.01,0.0,0.03,QB
Matt Ryan,ATL,1.0,266.34,1.87,0.66,12.5,0.12,0.08,0.06,QB
Matt Schaub,ATL,1.0,8.14,0.02,0.06,0.0,0.0,0.0,0.11,QB
Trevor Siemian,MIN,1.0,12.92,0.03,0.09,0.04,0.01,0.0,0.03,QB
Geno Smith,LAC,1.0,12.55,0.04,0.04,0.09,0.01,0.01,0.03,QB
Matthew Stafford,DET,1.0,271.17,1.84,0.64,4.26,0.06,0.03,0.03,QB
Ryan Tannehill,MIA,1.0,255.54,1.7,0.9,20.85,0.16,0.09,0.09,QB
Mitchell Trubisky,CHI,1.0,224.55,1.21,0.86,20.41,0.19,0.1,0.08,QB
Deshaun Watson,HOU,1.0,263.7,1.7,0.92,33.86,0.2,0.14,0.16,QB
Joe Webb,HOU,1.0,6.89,0.02,0.04,0.03,0.01,0.01,0.0,QB
Carson Wentz,PHI,1.0,252.08,1.59,0.97,18.71,0.13,0.11,0.22,QB
Russell Wilson,SEA,1.0,230.37,1.39,0.64,17.78,0.12,0.03,0.09,QB
Jameis Winston,TB,1.0,29.58,0.06,0.11,0.0,0.01,0.01,0.04,QB
