player,team,pos,proj,cost
Carson Wentz,PHI,QB,13.086533333333334,230.0
Todd Gurley,LA,RB,22.130000000000003,1300.0
Kareem Hunt,,RB,19.344,380.0
Tyler Boyd,CIN,WR,21.180666666666667,740.0
Tyreek Hill,KC,WR,19.043,470.0
JuJu Smith-Schuster,PIT,WR,19.100666666666665,180.0
Austin Hooper,ATL,TE,11.474666666666666,280.0
Mike Badgley,LAC,K,7.49,490.0
Jacksonville Jaguars,JAX,DST,1.3360000000000003,220.0
,,,134.18553333333335,4290.0
