Player,Team,GP,Pass Att,Pass Inc,Pass Int,Rush Att,Rush Yds,Receptions,Rec Yds,Rec TD,100-199 Rec Yds,2PT,Tack,Ast,Fum Rec,POS
Hunter Henry,LAC,1.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Tyler Higbee,LA,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Josh Hill,NO,1.0,0.0,0.0,0.0,1.0,-8.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
Jacob Hollister,NE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Austin Hooper,ATL,1.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
O.J. Howard,TB,1.0,0.0,0.0,0.0,0.0,0.0,3.0,52.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
Jesse James,PIT,1.0,0.0,0.0,0.0,0.0,0.0,5.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
Travis Kelce,KC,1.0,1.0,1.0,1.0,0.0,0.0,8.0,109.0,0.0,1.0,0.0,0.0,0.0,0.0,TE
Lance Kendricks,GB,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Tyler Kroft,CIN,1.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
Marcedes Lewis,GB,1.0,0.0,0.0,0.0,0.0,0.0,2.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
Sean McGrath,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
David Morgan,MIN,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
David Njoku,CLE,1.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Nick O'Leary,MIA,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
James O'Shaughnessy,JAX,1.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Niles Paul,,1.0,0.0,0.0,0.0,1.0,5.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Richard Rodgers,PHI,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Kyle Rudolph,MIN,1.0,0.0,0.0,0.0,0.0,0.0,5.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Ricky Seals-Jones,ARI,1.0,0.0,0.0,0.0,0.0,0.0,3.0,54.0,2.0,0.0,0.0,1.0,1.0,0.0,TE
Adam Shaheen,CHI,1.0,0.0,0.0,0.0,0.0,0.0,4.0,41.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
Jonnu Smith,TEN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jeremy Sprinkle,WAS,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
Phillip Supernaw,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Julius Thomas,,1.0,0.0,0.0,0.0,0.0,0.0,4.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Levine Toilolo,DET,1.0,0.0,0.0,0.0,0.0,0.0,2.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
Ross Travis,IND,1.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Austin Traylor,,1.0,0.0,0.0,0.0,0.0,0.0,4.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Clive Walford,NYJ,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Delanie Walker,TEN,1.0,0.0,0.0,0.0,0.0,0.0,6.0,92.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Benjamin Watson,NO,1.0,0.0,0.0,0.0,0.0,0.0,1.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Maxx Williams,BAL,1.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Luke Willson,DET,1.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
