Player,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS,POS
"Steven Jackson, NE RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Frank Gore, Mia RB",Oak,L 24-27,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Darren Sproles, Phi RB",Den,W 51-23,--/--,--,--,--,--,--,--,--,--,--,--,RB
"John Kuhn, NO RB",TB,W 30-10,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Reggie Bush, Buf RB",@NYJ,L 21-34,--/--,--,--,--,--,--,--,--,--,--,--,RB
"DeAngelo Williams, Pit RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Fred Jackson, Sea RB",Wsh,L 14-17,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Adrian Peterson, Ari RB",@SF,W 20-10,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Marshawn Lynch, Oak RB",@Mia,W 27-24,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Ahmad Bradshaw, Ind RB",@Hou,W 20-14,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Pierre Thomas, Wsh RB",@Sea,W 17-14,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Darren McFadden, Dal RB",KC,W 28-17,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Jonathan Stewart, NYG RB",LAR,L 17-51,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Chris Johnson, Ari RB",@SF,W 20-10,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Matt Forte, NYJ RB",Buf,W 34-21,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Jamaal Charles, Den RB",@Phi,L 23-51,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Jerome Felton, Buf RB",@NYJ,L 21-34,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Tim Hightower, SF RB",Ari,L 10-20,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Justin Forsett, Den RB",@Phi,L 23-51,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Mike Tolbert, Buf RB",@NYJ,L 21-34,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Marcel Reece, Sea RB",Wsh,L 14-17,--/--,--,--,--,--,--,--,--,--,--,--,RB
