Player,OPP,STATUS ET,1-39,40-49,50+,TOT,XP,PTS,POS
"Adam Vinatieri, Ind K",Den,L 13-25,--/--,--/--,--/--,--/--,--/--,--,K
"Phil Dawson, Ari K",@Wsh,L 15-20,--/--,--/--,--/--,--/--,--/--,--,K
"Sebastian Janikowski, Oak K",Dal,L 17-20,--/--,--/--,--/--,--/--,--/--,--,K
"Shayne Graham, Atl K",@TB,W 24-21,--/--,--/--,--/--,--/--,--/--,--,K
"Billy Cundiff, Cle K",Bal,L 10-27,--/--,--/--,--/--,--/--,--/--,--,K
"Matt Bryant, Atl K",@TB,W 24-21,--/--,--/--,--/--,--/--,--/--,--,K
"Josh Brown, NYG K",Phi,L 29-34,--/--,--/--,--/--,--/--,--/--,--,K
"Josh Scobee, NO K",NYJ,W 31-19,--/--,--/--,--/--,--/--,--/--,--,K
"Mike Nugent, Chi K",@Det,L 10-20,--/--,--/--,--/--,--/--,--/--,--,K
"Nick Novak, LAC K",@KC,L 13-30,--/--,--/--,--/--,--/--,--/--,--,K
"Robbie Gould, SF K",Ten,W 25-23,--/--,--/--,--/--,--/--,--/--,--,K
"Shaun Suisham, Pit K",NE,L 24-27,--/--,--/--,--/--,--/--,--/--,--,K
"Stephen Gostkowski, NE K",@Pit,W 27-24,--/--,--/--,--/--,--/--,--/--,--,K
"Nick Folk, TB K",Atl,L 21-24,--/--,--/--,--/--,--/--,--/--,--,K
"Mason Crosby, GB K",@Car,L 24-31,--/--,--/--,--/--,--/--,--/--,--,K
"Matt Prater, Det K",Chi,W 20-10,--/--,--/--,--/--,--/--,--/--,--,K
"Garrett Hartley, Pit K",NE,L 24-27,--/--,--/--,--/--,--/--,--/--,--,K
"Dan Carpenter, Buf K",Mia,W 24-16,--/--,--/--,--/--,--/--,--/--,--,K
"Connor Barth, Chi K",@Det,L 10-20,--/--,--/--,--/--,--/--,--/--,--,K
"Stephen Hauschka, Buf K",Mia,W 24-16,--/--,--/--,--/--,--/--,--/--,--,K
"Graham Gano, Car K",GB,W 31-24,--/--,--/--,--/--,--/--,--/--,--,K
"Ryan Succop, Ten K",@SF,L 23-25,--/--,--/--,--/--,--/--,--/--,--,K
"Dan Bailey, Dal K",@Oak,W 20-17,--/--,--/--,--/--,--/--,--/--,--,K
"Kai Forbath, Min K",Cin,W 34-7,--/--,--/--,--/--,--/--,--/--,--,K
"Greg Zuerlein, LAR K",@Sea,W 42-7,--/--,--/--,--/--,--/--,--/--,--,K
"Blair Walsh, Sea K",LAR,L 7-42,--/--,--/--,--/--,--/--,--/--,--,K
"Randy Bullock, Cin K",@Min,L 7-34,--/--,--/--,--/--,--/--,--/--,--,K
"Giorgio Tavecchio, Oak K",Dal,L 17-20,--/--,--/--,--/--,--/--,--/--,--,K
"Justin Tucker, Bal K",@Cle,W 27-10,--/--,--/--,--/--,--/--,--/--,--,K
"Brandon Bogotay, TB K",Atl,L 21-24,--/--,--/--,--/--,--/--,--/--,--,K
"Caleb Sturgis, LAC K",@KC,L 13-30,--/--,--/--,--/--,--/--,--/--,--,K
"Dustin Hopkins, Wsh K",Ari,W 20-15,--/--,--/--,--/--,--/--,--/--,--,K
"Zach Hocker, TB K",Atl,L 21-24,--/--,--/--,--/--,--/--,--/--,--,K
"Travis Coons, LAC K",@KC,L 13-30,--/--,--/--,--/--,--/--,--/--,--,K
"Chandler Catanzaro, TB K",Atl,L 21-24,--/--,--/--,--/--,--/--,--/--,--,K
"Brandon McManus, Den K",@Ind,W 25-13,--/--,--/--,--/--,--/--,--/--,--,K
"Cairo Santos, NYJ K",@NO,L 19-31,--/--,--/--,--/--,--/--,--/--,--,K
"Cody Parkey, Chi K",@Det,L 10-20,--/--,--/--,--/--,--/--,--/--,--,K
"Chris Boswell, Pit K",NE,L 24-27,--/--,--/--,--/--,--/--,--/--,--,K
"Kasey Redfern, Det K",Chi,W 20-10,--/--,--/--,--/--,--/--,--/--,--,K
"Patrick Murray, TB K",Atl,L 21-24,--/--,--/--,--/--,--/--,--/--,--,K
"Jordan Gay, Ten K",@SF,L 23-25,--/--,--/--,--/--,--/--,--/--,--,K
"Jason Myers, Sea K",LAR,L 7-42,--/--,--/--,--/--,--/--,--/--,--,K
"Kyle Brindza, NYJ K",@NO,L 19-31,--/--,--/--,--/--,--/--,--/--,--,K
"Josh Lambo, Jax K",Hou,W 45-7,--/--,--/--,--/--,--/--,--/--,--,K
"Andrew Franks, Mia K",@Buf,L 16-24,--/--,--/--,--/--,--/--,--/--,--,K
"Roberto Aguayo, LAC K",@KC,L 13-30,--/--,--/--,--/--,--/--,--/--,--,K
"Wil Lutz, NO K",NYJ,W 31-19,--/--,--/--,--/--,--/--,--/--,--,K
"Aldrick Rosas, NYG K",Phi,L 29-34,--/--,--/--,--/--,--/--,--/--,--,K
"Jake Elliott, Phi K",@NYG,W 34-29,--/--,--/--,--/--,--/--,--/--,--,K
"Zane Gonzalez, Cle K",Bal,L 10-27,--/--,--/--,--/--,--/--,--/--,--,K
"Harrison Butker, KC K",LAC,W 30-13,--/--,--/--,--/--,--/--,--/--,--,K
"Younghoe Koo, LAC K",@KC,L 13-30,--/--,--/--,--/--,--/--,--/--,--,K
"Ka'imi Fairbairn, Hou K",@Jax,L 7-45,--/--,--/--,--/--,--/--,--/--,--,K
"Nick Rose, LAC K",@KC,L 13-30,--/--,--/--,--/--,--/--,--/--,--,K
"Sam Ficken, LAR K",@Sea,W 42-7,--/--,--/--,--/--,--/--,--/--,--,K
