Player,OPP,STATUS ET,1-39,40-49,50+,TOT,XP,PTS,POS
"Adam Vinatieri, Ind K",** BYE **,--/--,--/--,--/--,--/--,--/--,--,,K
"Phil Dawson, Ari K",@Hou,L 21-31,--/--,--/--,--/--,--/--,--/--,--,K
"Sebastian Janikowski, Oak K",NE,L 8-33,--/--,--/--,--/--,--/--,--/--,--,K
"Shayne Graham, Atl K",@Sea,W 34-31,--/--,--/--,--/--,--/--,--/--,--,K
"Billy Cundiff, Cle K",Jax,L 7-19,--/--,--/--,--/--,--/--,--/--,--,K
"Matt Bryant, Atl K",@Sea,W 34-31,--/--,--/--,--/--,--/--,--/--,--,K
"Josh Brown, NYG K",KC,W 12-9,--/--,--/--,--/--,--/--,--/--,--,K
"Josh Scobee, NO K",Wsh,W 34-31,--/--,--/--,--/--,--/--,--/--,--,K
"Mike Nugent, Chi K",Det,L 24-27,--/--,--/--,--/--,--/--,--/--,--,K
"Nick Novak, LAC K",Buf,W 54-24,--/--,--/--,--/--,--/--,--/--,--,K
"Robbie Gould, SF K",** BYE **,--/--,--/--,--/--,--/--,--/--,--,,K
"Shaun Suisham, Pit K",Ten,W 40-17,--/--,--/--,--/--,--/--,--/--,--,K
"Stephen Gostkowski, NE K",@Oak,W 33-8,--/--,--/--,--/--,--/--,--/--,--,K
"Nick Folk, TB K",@Mia,W 30-20,--/--,--/--,--/--,--/--,--/--,--,K
"Mason Crosby, GB K",Bal,L 0-23,--/--,--/--,--/--,--/--,--/--,--,K
"Matt Prater, Det K",@Chi,W 27-24,--/--,--/--,--/--,--/--,--/--,--,K
"Garrett Hartley, Pit K",Ten,W 40-17,--/--,--/--,--/--,--/--,--/--,--,K
"Dan Carpenter, Buf K",@LAC,L 24-54,--/--,--/--,--/--,--/--,--/--,--,K
"Connor Barth, Chi K",Det,L 24-27,--/--,--/--,--/--,--/--,--/--,--,K
"Stephen Hauschka, Buf K",@LAC,L 24-54,--/--,--/--,--/--,--/--,--/--,--,K
"Graham Gano, Car K",** BYE **,--/--,--/--,--/--,--/--,--/--,--,,K
"Ryan Succop, Ten K",@Pit,L 17-40,--/--,--/--,--/--,--/--,--/--,--,K
"Dan Bailey, Dal K",Phi,L 9-37,--/--,--/--,--/--,--/--,--/--,--,K
"Kai Forbath, Min K",LAR,W 24-7,--/--,--/--,--/--,--/--,--/--,--,K
"Greg Zuerlein, LAR K",@Min,L 7-24,--/--,--/--,--/--,--/--,--/--,--,K
"Blair Walsh, Sea K",Atl,L 31-34,--/--,--/--,--/--,--/--,--/--,--,K
"Randy Bullock, Cin K",@Den,W 20-17,--/--,--/--,--/--,--/--,--/--,--,K
"Giorgio Tavecchio, Oak K",NE,L 8-33,--/--,--/--,--/--,--/--,--/--,--,K
"Justin Tucker, Bal K",@GB,W 23-0,--/--,--/--,--/--,--/--,--/--,--,K
"Brandon Bogotay, TB K",@Mia,W 30-20,--/--,--/--,--/--,--/--,--/--,--,K
"Caleb Sturgis, LAC K",Buf,W 54-24,--/--,--/--,--/--,--/--,--/--,--,K
"Dustin Hopkins, Wsh K",@NO,L 31-34,--/--,--/--,--/--,--/--,--/--,--,K
"Zach Hocker, TB K",@Mia,W 30-20,--/--,--/--,--/--,--/--,--/--,--,K
"Travis Coons, LAC K",Buf,W 54-24,--/--,--/--,--/--,--/--,--/--,--,K
"Chandler Catanzaro, TB K",@Mia,W 30-20,--/--,--/--,--/--,--/--,--/--,--,K
"Brandon McManus, Den K",Cin,L 17-20,--/--,--/--,--/--,--/--,--/--,--,K
"Cairo Santos, NYJ K",** BYE **,--/--,--/--,--/--,--/--,--/--,--,,K
"Cody Parkey, Chi K",Det,L 24-27,--/--,--/--,--/--,--/--,--/--,--,K
"Chris Boswell, Pit K",Ten,W 40-17,--/--,--/--,--/--,--/--,--/--,--,K
"Kasey Redfern, Det K",@Chi,W 27-24,--/--,--/--,--/--,--/--,--/--,--,K
"Patrick Murray, TB K",@Mia,W 30-20,--/--,--/--,--/--,--/--,--/--,--,K
"Jordan Gay, Ten K",@Pit,L 17-40,--/--,--/--,--/--,--/--,--/--,--,K
"Jason Myers, Sea K",Atl,L 31-34,--/--,--/--,--/--,--/--,--/--,--,K
"Kyle Brindza, NYJ K",** BYE **,--/--,--/--,--/--,--/--,--/--,--,,K
"Josh Lambo, Jax K",@Cle,W 19-7,--/--,--/--,--/--,--/--,--/--,--,K
"Andrew Franks, Mia K",TB,L 20-30,--/--,--/--,--/--,--/--,--/--,--,K
"Roberto Aguayo, LAC K",Buf,W 54-24,--/--,--/--,--/--,--/--,--/--,--,K
"Wil Lutz, NO K",Wsh,W 34-31,--/--,--/--,--/--,--/--,--/--,--,K
"Aldrick Rosas, NYG K",KC,W 12-9,--/--,--/--,--/--,--/--,--/--,--,K
"Jake Elliott, Phi K",@Dal,W 37-9,--/--,--/--,--/--,--/--,--/--,--,K
"Zane Gonzalez, Cle K",Jax,L 7-19,--/--,--/--,--/--,--/--,--/--,--,K
"Harrison Butker, KC K",@NYG,L 9-12,--/--,--/--,--/--,--/--,--/--,--,K
"Younghoe Koo, LAC K",Buf,W 54-24,--/--,--/--,--/--,--/--,--/--,--,K
"Ka'imi Fairbairn, Hou K",Ari,W 31-21,--/--,--/--,--/--,--/--,--/--,--,K
"Nick Rose, LAC K",Buf,W 54-24,--/--,--/--,--/--,--/--,--/--,--,K
"Sam Ficken, LAR K",@Min,L 7-24,--/--,--/--,--/--,--/--,--/--,--,K
