Player,Team,GP,Pass Att,Pass Comp,Pass Yds,Rush Att,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,40+ Rec TD,50+ Rec TD,100-199 Rec Yds,Return Yds,Fum Lost,Fum,Tack,Ast,Fum Rec,POS
Davante Adams,GB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,57.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Nelson Agholor,PHI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Keenan Allen,LAC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,57.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,WR
Danny Amendola,MIA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Doug Baldwin,SEA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Cameron Batson,TEN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Cole Beasley,DAL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Odell Beckham,NYG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,73.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Kelvin Benjamin,KC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Travis Benjamin,LAC,1.0,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,WR
Kendrick Bourne,SF,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Tyler Boyd,CIN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Antonio Brown,PIT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,96.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Noah Brown,DAL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,WR
Martavis Bryant,OAK,1.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Antonio Callaway,CLE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Austin Carr,NO,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Leonte Carroo,MIA,1.0,0.0,0.0,0.0,1.0,14.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,WR
D.J. Chark,JAX,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,1.0,0.0,0.0,WR
Chris Conley,KC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Brandin Cooks,LAR,1.0,0.0,0.0,0.0,1.0,9.0,1.0,10.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Amari Cooper,DAL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Cody Core,CIN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Corey Davis,TEN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,125.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Josh Doctson,WAS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Phillip Dorsett,NE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Julian Edelman,NE,1.0,1.0,1.0,6.0,0.0,0.0,0.0,9.0,104.0,0.0,0.0,0.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,WR
Quincy Enunwa,NYJ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Alex Erickson,CIN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,1.0,0.0,0.0,WR
Mike Evans,TB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Larry Fitzgerald,ARI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Michael Floyd,WAS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Bennie Fowler,NYG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Devin Funchess,CAR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Taylor Gabriel,CHI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Michael Gallup,DAL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Chris Godwin,TB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,103.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,WR
Kenny Golladay,DET,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,78.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,WR
Marquise Goodwin,SF,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,WR
