Player,POS,Team,PA,YdA,Int,Fum Rec,Sack,Saf,TD
Los Angeles Chargers,DST,LAC,16.0,297,1.7,0.7,2.5,0.0,0.35
Jacksonville Jaguars,DST,JAX,16.8,260,1.4,0.8,2.9,0.0,0.29
Chicago Bears,DST,CHI,20.8,297,0.8,1.1,2.9,0.0,0.26
Houston Texans,DST,HOU,18.7,287,1.2,0.7,2.6,0.0,0.27
Baltimore Ravens,DST,BAL,16.9,298,0.8,0.8,2.6,0.0,0.29
Dallas Cowboys,DST,DAL,16.2,299,0.7,0.8,2.2,0.0,0.23
Tennessee Titans,DST,TEN,24.2,341,1.5,0.8,3.3,0.0,0.3
San Francisco 49ers,DST,SF,26.9,396,1.6,0.8,2.3,0.0,0.35
Philadelphia Eagles,DST,PHI,20.1,360,0.7,0.8,2.4,0.0,0.22
Indianapolis Colts,DST,IND,23.4,348,1.2,0.9,2.2,0.0,0.32
Tampa Bay Buccaneers,DST,TB,24.4,401,0.9,1.0,2.7,0.0,0.27
Pittsburgh Steelers,DST,PIT,21.7,346,0.8,0.7,3.6,0.0,0.24
New England Patriots,DST,NE,21.0,354,1.1,0.8,1.9,0.0,0.35
Minnesota Vikings,DST,MIN,23.0,363,0.6,0.9,3.4,0.0,0.23
Seattle Seahawks,DST,SEA,23.1,338,1.1,0.9,2.1,0.0,0.28
Green Bay Packers,DST,GB,24.0,346,0.9,1.0,2.4,0.0,0.26
Cleveland Browns,DST,CLE,25.0,325,1.2,0.7,2.1,0.0,0.27
Buffalo Bills,DST,BUF,22.4,334,0.9,1.1,2.0,0.0,0.25
Cincinnati Bengals,DST,CIN,24.7,404,0.9,0.6,2.9,0.1,0.22
Washington Redskins,DST,WAS,24.1,343,0.9,0.9,2.5,0.0,0.22
Denver Broncos,DST,DEN,25.7,386,1.2,0.6,1.8,0.1,0.24
Carolina Panthers,DST,CAR,23.2,353,0.7,0.7,2.6,0.0,0.23
Detroit Lions,DST,DET,21.9,365,0.8,0.8,2.0,0.0,0.25
New York Giants,DST,NYG,26.5,360,0.9,0.9,1.5,0.0,0.24
New Orleans Saints,DST,NO,26.9,426,0.6,0.6,2.0,0.0,0.24
Miami Dolphins,DST,MIA,33.1,410,0.9,0.6,1.6,0.0,0.29
Arizona Cardinals,DST,ARI,28.4,396,0.7,0.6,1.9,0.0,0.19
New York Jets,DST,NYJ,28.6,385,0.6,0.7,1.5,0.0,0.23
Oakland Raiders,DST,OAK,28.3,369,0.9,0.6,0.8,0.0,0.19
