Player,POS,Team,PA,YdA,Int,Fum Rec,Sack,Saf,Blk,TD
Los Angeles Chargers,DST,LAC,14.5,296.0,1.1,0.7,3.4,0.0,0.0,0.3
Baltimore Ravens,DST,BAL,14.5,312.0,1.1,0.7,3.3,0.1,0.0,0.2
New England Patriots,DST,NE,17.0,307.0,1.0,0.7,3.4,0.1,0.1,0.2
Dallas Cowboys,DST,DAL,16.8,323.0,1.2,0.7,3.5,0.0,0.0,0.1
Jacksonville Jaguars,DST,JAX,17.0,287.0,1.0,0.6,2.7,0.1,0.0,0.30000000000000004
Houston Texans,DST,HOU,19.5,307.0,0.8,0.6,2.8,0.1,0.0,0.30000000000000004
Buffalo Bills,DST,BUF,20.0,325.0,1.1,0.6,3.2,0.0,0.0,0.1
Chicago Bears,DST,CHI,22.5,346.0,1.0,0.6,3.0,0.0,0.1,0.30000000000000004
Indianapolis Colts,DST,IND,21.8,351.0,1.3,0.6,3.5,0.0,0.0,0.1
Philadelphia Eagles,DST,PHI,22.3,389.0,1.0,0.6,2.7,0.1,0.1,0.30000000000000004
Pittsburgh Steelers,DST,PIT,22.3,367.0,0.9,0.5,2.8,0.1,0.1,0.2
Cleveland Browns,DST,CLE,23.8,364.0,0.8,0.6,2.6,0.0,0.0,0.2
Cincinnati Bengals,DST,CIN,22.8,389.0,0.9,0.6,2.7,0.0,0.1,0.1
Tampa Bay Buccaneers,DST,TB,27.0,344.0,0.7,0.6,2.7,0.0,0.1,0.2
Tennessee Titans,DST,TEN,23.0,367.0,0.7,0.5,2.4,0.0,0.1,0.2
Minnesota Vikings,DST,MIN,22.3,356.0,0.7,0.4,2.3,0.1,0.0,0.30000000000000004
New York Giants,DST,NYG,26.8,373.0,0.8,0.5,2.2,0.0,0.1,0.2
New Orleans Saints,DST,NO,23.8,421.0,0.8,0.5,2.4,0.0,0.0,0.2
Seattle Seahawks,DST,SEA,24.8,377.0,0.7,0.5,2.2,0.1,0.1,0.1
Washington Redskins,DST,WAS,23.8,364.0,0.7,0.5,2.4,0.0,0.0,0.1
Green Bay Packers,DST,GB,25.8,413.0,0.7,0.5,2.3,0.0,0.0,0.1
Carolina Panthers,DST,CAR,21.8,384.0,0.9,0.5,2.7,0.0,0.1,0.1
Denver Broncos,DST,DEN,25.3,406.0,0.7,0.5,2.4,0.0,0.1,0.30000000000000004
Detroit Lions,DST,DET,20.5,301.0,0.8,0.5,2.2,0.0,0.1,0.1
San Francisco 49ers,DST,SF,27.5,382.0,0.9,0.6,2.8,0.0,0.0,0.1
Arizona Cardinals,DST,ARI,28.5,433.0,0.6,0.4,1.9,0.1,0.0,0.2
Oakland Raiders,DST,OAK,27.5,344.0,0.6,0.5,2.1,0.1,0.0,0.1
Miami Dolphins,DST,MIA,30.8,421.0,0.7,0.4,1.7,0.0,0.0,0.1
New York Jets,DST,NYJ,29.5,396.0,0.7,0.4,1.7,0.0,0.0,0.1
Atlanta Falcons,DST,ATL,36.8,526.0,0.5,0.4,1.7,0.0,0.0,0.1
Los Angeles Rams,DST,LAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kansas City Chiefs,DST,KC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
