Player,POS,Team,Fantasy Points,Int,Fum Rec,Sack,Status,TD
Los Angeles Chargers,DST,LAC,10.0,1.0,0.4,2.9, ,0.2
Baltimore Ravens,DST,BAL,9.1,0.7,0.4,2.7, ,0.2
Chicago Bears,DST,CHI,8.2,1.0,0.6,3.2, ,0.2
Buffalo Bills,DST,BUF,7.6,0.9,0.6,1.9, ,0.2
Washington Redskins,DST,WAS,7.4,0.8,0.6,3.1, ,0.2
Houston Texans,DST,HOU,7.3,0.8,0.6,3.0, ,0.2
Jacksonville Jaguars,DST,JAX,7.3,0.9,0.4,2.5, ,0.2
Dallas Cowboys,DST,DAL,6.9,0.7,0.5,2.4, ,0.2
Tennessee Titans,DST,TEN,6.9,0.8,0.5,2.7, ,0.2
Carolina Panthers,DST,CAR,6.7,0.7,0.5,3.0, ,0.2
San Francisco 49ers,DST,SF,6.6,1.4,0.4,2.4, ,0.1
Pittsburgh Steelers,DST,PIT,6.6,0.7,0.5,2.8, ,0.2
Detroit Lions,DST,DET,6.6,0.9,0.4,2.7, ,0.2
Philadelphia Eagles,DST,PHI,6.6,0.6,0.5,3.0, ,0.2
New England Patriots,DST,NE,6.5,0.9,0.4,2.3, ,0.2
Cleveland Browns,DST,CLE,6.3,0.9,0.6,2.1, ,0.2
Indianapolis Colts,DST,IND,6.3,0.9,0.5,2.3, ,0.2
Cincinnati Bengals,DST,CIN,6.0,1.0,0.4,2.7, ,0.2
Denver Broncos,DST,DEN,5.6,1.0,0.5,2.1, ,0.2
Oakland Raiders,DST,OAK,5.2,0.8,0.4,1.5, ,0.1
New York Giants,DST,NYG,5.2,0.9,0.4,2.2, ,0.2
New York Jets,DST,NYJ,4.9,0.7,0.6,1.6, ,0.2
Tampa Bay Buccaneers,DST,TB,4.9,0.8,0.5,2.2, ,0.2
Minnesota Vikings,DST,MIN,4.9,0.5,0.4,2.9, ,0.2
Green Bay Packers,DST,GB,4.8,0.6,0.4,2.9, ,0.1
Seattle Seahawks,DST,SEA,4.8,0.7,0.5,2.2, ,0.2
New Orleans Saints,DST,NO,4.7,0.5,0.5,2.7, ,0.2
Arizona Cardinals,DST,ARI,4.3,0.5,0.6,2.0, ,0.1
Miami Dolphins,DST,MIA,4.1,1.2,0.5,1.2, ,0.2
Atlanta Falcons,DST,ATL,0.2,0.4,0.5,1.4, ,0.1
Kansas City Chiefs,DST,KC,,,,, ,
Los Angeles Rams,DST,LAR,,,,, ,
