Player,POS,Team,PA,YdA,Int,Fum Rec,Sack,Saf,TD
Los Angeles Chargers,DST,LAC,14.8,293.0,1.3,0.6,2.9,0.0,0.2
Jacksonville Jaguars,DST,JAX,16.7,281.8,1.1,0.6,2.8,0.0,0.2
Baltimore Ravens,DST,BAL,16.7,306.3,0.9,0.7,2.9,0.0,0.2
New England Patriots,DST,NE,18.2,330.4,1.0,0.6,2.5,0.0,0.2
Dallas Cowboys,DST,DAL,17.5,313.8,0.8,0.7,2.8,0.0,0.2
Houston Texans,DST,HOU,20.7,312.0,1.0,0.7,2.9,0.0,0.2
Chicago Bears,DST,CHI,20.0,319.0,0.9,0.8,3.0,0.0,0.2
Buffalo Bills,DST,BUF,19.7,322.1,0.9,0.7,2.0,0.0,0.2
Tennessee Titans,DST,TEN,24.6,357.8,0.9,0.7,3.1,0.0,0.2
San Francisco 49ers,DST,SF,27.3,392.9,1.3,0.6,2.4,0.0,0.2
Indianapolis Colts,DST,IND,22.9,347.6,1.0,0.7,2.7,0.0,0.2
Pittsburgh Steelers,DST,PIT,21.9,354.6,0.9,0.5,3.0,0.0,0.2
Cincinnati Bengals,DST,CIN,22.7,369.4,1.0,0.6,2.7,0.1,0.2
Carolina Panthers,DST,CAR,25.3,373.6,0.8,0.7,3.2,0.0,0.2
Philadelphia Eagles,DST,PHI,21.4,365.4,0.8,0.7,2.8,0.0,0.2
Washington Redskins,DST,WAS,22.7,335.6,0.9,0.7,2.7,0.0,0.2
Minnesota Vikings,DST,MIN,22.3,365.2,0.7,0.7,3.1,0.0,0.2
Cleveland Browns,DST,CLE,22.8,325.3,1.0,0.6,2.2,0.0,0.2
Tampa Bay Buccaneers,DST,TB,25.4,374.3,0.9,0.7,2.4,0.0,0.2
Detroit Lions,DST,DET,25.4,395.2,0.8,0.8,2.7,0.0,0.2
Denver Broncos,DST,DEN,25.9,395.7,1.1,0.6,2.0,0.1,0.2
New Orleans Saints,DST,NO,25.6,415.4,0.8,0.7,2.5,0.0,0.2
Seattle Seahawks,DST,SEA,24.6,352.5,0.9,0.7,2.3,0.0,0.2
Green Bay Packers,DST,GB,23.8,353.0,0.8,0.6,2.5,0.0,0.2
New York Giants,DST,NYG,26.1,363.8,1.0,0.6,2.0,0.0,0.2
Miami Dolphins,DST,MIA,31.3,416.3,1.0,0.6,1.6,0.0,0.2
Arizona Cardinals,DST,ARI,28.9,391.2,0.7,0.6,2.1,0.0,0.1
Oakland Raiders,DST,OAK,28.6,392.5,0.8,0.5,1.8,0.0,0.1
New York Jets,DST,NYJ,28.2,394.2,0.6,0.6,1.6,0.0,0.2
Atlanta Falcons,DST,ATL,36.3,447.2,0.5,0.7,1.3,0.0,0.1
