Player,POS,Team,PA,YdA,Int,Fum Rec,Sack,Saf,TD
Seattle Seahawks,DST,SEA,14.6,287.3,1.3,0.8,3.1,0.0,0.2
New England Patriots,DST,NE,17.8,308.7,1.6,0.6,2.3,0.0,0.2
Los Angeles Rams,DST,LAR,19.7,354.5,1.1,0.7,2.7,0.0,0.2
Philadelphia Eagles,DST,PHI,19.7,342.5,1.3,0.7,2.4,0.0,0.2
Pittsburgh Steelers,DST,PIT,19.1,313.8,1.1,0.7,2.8,0.0,0.2
New Orleans Saints,DST,NO,20.7,371.6,1.3,0.7,3.1,0.0,0.2
Buffalo Bills,DST,BUF,18.3,304.5,1.0,0.7,3.0,0.0,0.2
Minnesota Vikings,DST,MIN,17.9,313.4,1.1,0.6,2.5,0.1,0.2
Houston Texans,DST,HOU,16.8,315.0,1.0,0.8,2.6,0.1,0.2
Atlanta Falcons,DST,ATL,25.9,403.6,1.3,0.7,2.8,0.0,0.2
New York Giants,DST,NYG,18.8,339.7,1.2,0.6,2.6,0.0,0.2
Kansas City Chiefs,DST,KC,21.2,349.4,0.8,0.9,3.3,0.0,0.2
Los Angeles Chargers,DST,LAC,19.4,340.6,1.1,0.5,2.6,0.0,0.2
Baltimore Ravens,DST,BAL,15.8,292.8,0.9,0.6,2.2,0.1,0.2
Indianapolis Colts,DST,IND,22.1,327.8,0.9,0.7,2.8,0.0,0.2
Miami Dolphins,DST,MIA,21.4,324.5,1.3,0.6,2.2,0.0,0.2
Jacksonville Jaguars,DST,JAX,23.6,347.4,1.0,0.6,3.0,0.0,0.2
Green Bay Packers,DST,GB,21.4,352.6,0.9,0.6,2.9,0.0,0.2
Carolina Panthers,DST,CAR,30.1,390.0,1.0,0.8,2.4,0.0,0.2
Denver Broncos,DST,DEN,25.9,375.8,0.9,0.6,2.6,0.0,0.2
Tampa Bay Buccaneers,DST,TB,26.8,411.3,0.7,0.7,2.6,0.0,0.2
Tennessee Titans,DST,TEN,24.7,397.8,1.0,0.6,1.7,0.1,0.2
Detroit Lions,DST,DET,28.7,416.8,0.6,0.6,3.1,0.0,0.1
Washington Redskins,DST,WAS,24.0,370.2,0.8,0.7,2.3,0.0,0.2
Arizona Cardinals,DST,ARI,26.5,358.9,0.7,0.6,2.8,0.0,0.1
Cleveland Browns,DST,CLE,22.5,313.7,1.0,0.6,1.9,0.0,0.2
Dallas Cowboys,DST,DAL,21.9,341.7,0.7,0.7,2.6,0.0,0.2
Chicago Bears,DST,CHI,20.1,310.7,0.8,0.7,2.3,0.0,0.2
San Francisco 49ers,DST,SF,31.5,397.7,0.8,0.6,2.5,0.1,0.1
Cincinnati Bengals,DST,CIN,29.6,421.7,1.0,0.5,1.6,0.0,0.2
New York Jets,DST,NYJ,30.7,409.0,0.7,0.6,1.7,0.0,0.2
Oakland Raiders,DST,OAK,35.4,449.7,0.8,0.5,1.5,0.0,0.1
