Player,POS,Team,PA,YdA,Int,Fum Rec,Sack,Saf,TD
Seattle Seahawks,DST,SEA,13.1,263,1.6,0.8,2.8,0.0,0.33
Buffalo Bills,DST,BUF,18.7,295,1.2,0.8,3.0,0.0,0.26
Minnesota Vikings,DST,MIN,17.4,296,1.1,0.8,2.9,0.1,0.26
Kansas City Chiefs,DST,KC,20.1,347,0.8,1.2,2.8,0.0,0.36
Indianapolis Colts,DST,IND,18.5,284,0.9,0.6,2.3,0.0,0.23
Houston Texans,DST,HOU,17.2,327,1.0,1.1,2.4,0.1,0.28
Pittsburgh Steelers,DST,PIT,19.7,276,0.6,0.6,2.6,0.0,0.21
New England Patriots,DST,NE,19.1,303,1.5,0.6,2.0,0.0,0.34
Philadelphia Eagles,DST,PHI,19.9,317,1.5,0.7,1.9,0.0,0.3
Baltimore Ravens,DST,BAL,17.0,310,0.9,0.7,2.7,0.1,0.3
Los Angeles Rams,DST,LAR,22.0,371,1.2,1.1,3.1,0.0,0.36
Jacksonville Jaguars,DST,JAX,24.9,337,1.3,0.8,3.4,0.0,0.28
New Orleans Saints,DST,NO,21.9,381,1.3,0.9,2.5,0.0,0.32
New York Giants,DST,NYG,16.8,320,0.9,0.6,2.2,0.0,0.21
Los Angeles Chargers,DST,LAC,18.4,332,0.8,0.5,2.2,0.0,0.22
Washington Redskins,DST,WAS,24.9,369,0.8,1.1,2.4,0.0,0.25
Atlanta Falcons,DST,ATL,24.3,411,1.1,0.8,2.2,0.0,0.26
Green Bay Packers,DST,GB,21.0,345,0.7,0.8,2.9,0.0,0.25
Chicago Bears,DST,CHI,22.6,336,0.9,0.9,2.0,0.0,0.25
Tennessee Titans,DST,TEN,22.6,380,1.1,0.6,1.9,0.1,0.25
Dallas Cowboys,DST,DAL,22.7,342,0.7,0.8,2.6,0.0,0.21
Miami Dolphins,DST,MIA,21.0,315,1.1,0.6,1.8,0.0,0.25
Arizona Cardinals,DST,ARI,24.2,317,1.0,0.5,2.6,0.0,0.18
Tampa Bay Buccaneers,DST,TB,24.1,401,0.5,0.9,2.4,0.0,0.21
Denver Broncos,DST,DEN,23.1,360,0.8,0.6,2.2,0.0,0.22
Cleveland Browns,DST,CLE,26.2,325,0.9,0.8,1.5,0.0,0.23
Detroit Lions,DST,DET,27.9,390,0.5,0.8,3.0,0.0,0.23
San Francisco 49ers,DST,SF,31.5,367,0.8,0.7,2.1,0.1,0.24
Carolina Panthers,DST,CAR,28.7,362,0.7,1.0,1.6,0.0,0.23
Cincinnati Bengals,DST,CIN,30.7,429,1.0,0.5,1.3,0.0,0.22
New York Jets,DST,NYJ,30.9,408,0.8,0.6,1.3,0.0,0.24
