Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,TD,Block,Return Yds,Pts Allow,Pts Allow 0,Pts Allow 1-6,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,Less 100 Yds Allowed,100-199 Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,Team Def 2pt Ret,POS
San Francisco 49ers,SF,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,377.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Chicago Bears,CHI,1.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,164.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,DST
Cincinnati Bengals,CIN,1.0,1.0,1.0,0.0,1.0,1.0,0.0,88.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,343.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Buffalo Bills,BUF,1.0,4.0,2.0,2.0,2.0,0.0,0.0,53.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Denver Broncos,DEN,1.0,1.0,2.0,2.0,0.0,0.0,0.0,63.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,276.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Cleveland Browns,CLE,1.0,2.0,0.0,1.0,1.0,0.0,0.0,154.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,463.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DST
Tampa Bay Buccaneers,TB,1.0,1.0,1.0,0.0,0.0,0.0,0.0,100.0,34.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,489.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DST
Arizona Cardinals,ARI,1.0,6.0,1.0,0.0,0.0,1.0,1.0,84.0,27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,291.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Los Angeles Chargers,LAC,1.0,1.0,1.0,3.0,2.0,1.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,370.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,DST
Kansas City Chiefs,KC,1.0,3.0,2.0,2.0,3.0,1.0,0.0,29.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,292.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Indianapolis Colts,IND,1.0,0.0,2.0,1.0,0.0,0.0,0.0,55.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,258.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Dallas Cowboys,DAL,1.0,1.0,1.0,1.0,1.0,0.0,0.0,70.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,441.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Miami Dolphins,MIA,1.0,1.0,1.0,0.0,0.0,1.0,0.0,127.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,381.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Philadelphia Eagles,PHI,1.0,4.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,DST
Atlanta Falcons,ATL,1.0,1.0,1.0,0.0,0.0,0.0,0.0,108.0,32.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,433.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
New York Giants,NYG,1.0,4.0,0.0,1.0,1.0,0.0,0.0,161.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,419.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Jacksonville Jaguars,JAX,1.0,6.0,0.0,1.0,0.0,0.0,0.0,57.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,342.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
New York Jets,NYJ,1.0,1.0,0.0,0.0,0.0,0.0,0.0,70.0,32.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,375.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Detroit Lions,DET,1.0,3.0,1.0,0.0,0.0,0.0,0.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,DST
Green Bay Packers,GB,1.0,1.0,0.0,0.0,0.0,0.0,0.0,111.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,402.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Carolina Panthers,CAR,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,294.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
New England Patriots,NE,1.0,4.0,0.0,3.0,3.0,1.0,0.0,28.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,239.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
