Player,Team,Salary
Kansas City Chiefs,KC,4400
New England Patriots,NE,4100
Los Angeles Chargers,LAC,4400
Buffalo Bills,BUF,3700
Philadelphia Eagles,PHI,4000
Arizona Cardinals,ARI,3100
Los Angeles Rams,LAR,4800
Detroit Lions,DET,3300
Houston Texans,HOU,5000
Seattle Seahawks,SEA,4700
Denver Broncos,DEN,4100
Cincinnati Bengals,CIN,3000
Jacksonville Jaguars,JAX,3800
Chicago Bears,CHI,4500
Pittsburgh Steelers,PIT,4600
Baltimore Ravens,BAL,4700
Carolina Panthers,CAR,3000
Miami Dolphins,MIA,4400
Washington Redskins,WAS,3400
Cleveland Browns,CLE,3600
Tampa Bay Buccaneers,TB,3300
Atlanta Falcons,ATL,3300
New York Giants,NYG,3300
Oakland Raiders,OAK,3000
Dallas Cowboys,DAL,4100
New Orleans Saints,NO,4500
New York Jets,NYJ,3000
Green Bay Packers,GB,4300
Minnesota Vikings,MIN,4100
San Francisco 49ers,SF,3000
