Player,Team,Salary
Jared Cook,OAK,5400
George Kittle,SF,5700
Travis Kelce,KC,7700
Zach Ertz,PHI,7000
Trey Burton,CHI,5600
Eric Ebron,IND,5500
Tyler Eifert,CIN,4600
Darren Fells,CLE,4300
Geoff Swaim,DAL,4000
Cameron Brate,TB,4500
Antonio Gates,LAC,4800
Jimmy Graham,GB,6000
Jordan Leggett,NYJ,4400
Kyle Rudolph,MIN,6000
Logan Paulsen,ATL,4100
Josh Hill,NO,4100
Jeff Heuerman,DEN,4400
David Njoku,CLE,5200
Maxx Williams,BAL,4300
Demetrius Harris,KC,4200
Vance McDonald,PIT,4600
Rob Gronkowski,NE,8100
Ricky Seals-Jones,ARI,5300
Charles Clay,BUF,4600
Nick Boyle,BAL,4400
Rhett Ellison,NYG,4100
James O'Shaughnessy,JAX,4000
Lee Smith,OAK,4000
Jordan Akins,HOU,4000
Austin Seferian-Jenkins,JAX,4600
Jesse James,PIT,5200
Benjamin Watson,NO,5200
Austin Hooper,ATL,5000
Chris Herndon,NYJ,4000
Dallas Goedert,PHI,4600
Matt LaCosse,DEN,4000
Mark Andrews,BAL,4000
Levine Toilolo,DET,4300
Virgil Green,LAC,4300
Gerald Everett,LAR,4500
Jason Croom,BUF,4000
Ryan Griffin,HOU,4500
Mike Gesicki,MIA,4400
Antony Auclair,TB,4000
C.J. Uzomah,CIN,4700
Luke Willson,DET,4500
Nick Vannett,SEA,4300
Lance Kendricks,GB,4300
Will Dissly,SEA,5300
David Morgan,MIN,4200
Dwayne Allen,NE,4400
Garrett Celek,SF,4500
Tyler Higbee,LAR,4200
Dion Sims,CHI,4300
Blake Jarwin,DAL,4000
Marcedes Lewis,GB,4500
Jonnu Smith,TEN,4200
Eric Tomlinson,NYJ,4000
Derek Carrier,OAK,4100
Xavier Grimble,PIT,4200
Jermaine Gresham,ARI,4400
Jordan Thomas,HOU,4000
O.J. Howard,TB,5600
MyCole Pruitt,TEN,4000
Tyler Kroft,CIN,4500
Eric Saubert,ATL,4000
Rico Gathers,DAL,4500
Ryan Hewitt,IND,4000
Alan Cross,TB,4000
Gabe Holmes,ARI,4000
Luke Stocker,TEN,4000
Daniel Brown,CHI,4000
Ben Braunecker,CHI,4000
Durham Smythe,MIA,4000
Tyler Conklin,MIN,4100
Josh Perkins,PHI,4000
