Player,Team,Salary
Jared Cook,OAK,4100
George Kittle,SF,4200
Zach Ertz,PHI,6200
Travis Kelce,KC,6800
Trey Burton,CHI,3900
Eric Ebron,IND,3600
Tyler Eifert,CIN,3800
Geoff Swaim,DAL,2600
Darren Fells,CLE,2500
Cameron Brate,TB,2600
Jimmy Graham,GB,4500
Kyle Rudolph,MIN,4400
Antonio Gates,LAC,2700
Jordan Leggett,NYJ,2500
David Njoku,CLE,3200
Vance McDonald,PIT,2900
Maxx Williams,BAL,2500
Jeff Heuerman,DEN,2500
Josh Hill,NO,2500
Logan Paulsen,ATL,2500
Rob Gronkowski,NE,7000
Charles Clay,BUF,3000
Demetrius Harris,KC,2500
Ricky Seals-Jones,ARI,2900
Nick Boyle,BAL,2500
Rhett Ellison,NYG,2700
Lee Smith,OAK,2500
James O'Shaughnessy,JAX,2500
Jordan Akins,HOU,2500
Austin Seferian-Jenkins,JAX,3000
Jesse James,PIT,3400
Benjamin Watson,NO,3300
Dallas Goedert,PHI,2800
Mark Andrews,BAL,2600
Levine Toilolo,DET,2500
Virgil Green,LAC,2500
Austin Hooper,ATL,2900
Chris Herndon,NYJ,2500
Matt LaCosse,DEN,2500
Gerald Everett,LAR,2500
Jason Croom,BUF,2500
Ryan Griffin,HOU,2600
Mike Gesicki,MIA,2600
Antony Auclair,TB,2500
C.J. Uzomah,CIN,2500
Luke Willson,DET,2700
Nick Vannett,SEA,2500
Lance Kendricks,GB,2500
Will Dissly,SEA,3100
David Morgan,MIN,2500
Dwayne Allen,NE,2500
Garrett Celek,SF,2500
Clark Harris,CIN,2500
Tyler Higbee,LAR,2600
Dion Sims,CHI,2500
Blake Jarwin,DAL,2500
Marcedes Lewis,GB,2500
Jonnu Smith,TEN,2600
Eric Tomlinson,NYJ,2500
Derek Carrier,OAK,2500
Xavier Grimble,PIT,2500
Jermaine Gresham,ARI,2500
Jordan Thomas,HOU,2500
O.J. Howard,TB,3500
MyCole Pruitt,TEN,2500
Tyler Kroft,CIN,2500
Eric Saubert,ATL,2500
Rico Gathers,DAL,2500
Ryan Hewitt,IND,2500
Alan Cross,TB,2500
Gabe Holmes,ARI,2500
Luke Stocker,TEN,2500
Daniel Brown,CHI,2500
Ben Braunecker,CHI,2500
Durham Smythe,MIA,2500
Tyler Conklin,MIN,2500
Josh Perkins,PHI,2500
