Player,Team,GP,Receptions,Rec Yds,Rec TD,40+ Rec TD,50+ Rec TD,100-199 Rec Yds,Fum Lost,Fum,Tack,Ast,Fum Rec,POS
Rhett Ellison,NYG,1.0,3.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Zach Ertz,PHI,1.0,10.0,112.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
Gerald Everett,LAR,1.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Darren Fells,CLE,1.0,1.0,49.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Antonio Gates,LAC,1.0,2.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Rico Gathers,DAL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Mike Gesicki,MIA,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Dallas Goedert,PHI,1.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jimmy Graham,GB,1.0,3.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Virgil Green,LAC,1.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Ryan Griffin,HOU,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Rob Gronkowski,NE,1.0,4.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Demetrius Harris,KC,1.0,2.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Chris Herndon,NYJ,1.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jeff Heuerman,DEN,1.0,4.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Tyler Higbee,LAR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Josh Hill,NO,1.0,3.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Austin Hooper,ATL,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
O.J. Howard,TB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jesse James,PIT,1.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Blake Jarwin,DAL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TE
Travis Kelce,KC,1.0,7.0,78.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Lance Kendricks,GB,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TE
George Kittle,SF,1.0,6.0,125.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
Tyler Kroft,CIN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Matt LaCosse,DEN,1.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Khari Lee,FA,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jordan Leggett,NYJ,1.0,3.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Vance McDonald,PIT,1.0,5.0,62.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,TE
David Morgan,MIN,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
David Njoku,CLE,1.0,5.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
James O'Shaughnessy,JAX,1.0,2.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Niles Paul,FA,1.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Logan Paulsen,ATL,1.0,1.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Kyle Rudolph,MIN,1.0,5.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Ricky Seals-Jones,ARI,1.0,2.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Austin Seferian-Jenkins,JAX,1.0,2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jonnu Smith,TEN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Lee Smith,OAK,1.0,3.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Durham Smythe,MIA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Geoff Swaim,DAL,1.0,3.0,39.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Levine Toilolo,DET,1.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
C.J. Uzomah,CIN,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Hakeem Valles,NYG,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Nick Vannett,SEA,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TE
Benjamin Watson,NO,1.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Maxx Williams,BAL,1.0,5.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Luke Willson,DET,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
