Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,POS
Jordan Akins,HOU,1.0,0.03,0.0,0.79,7.18,0.04,TE
Dwayne Allen,NE,1.0,0.03,0.0,0.18,2.59,0.02,TE
Mark Andrews,BAL,1.0,0.06,0.0,1.88,22.28,0.22,TE
Antony Auclair,TB,1.0,0.02,0.0,0.07,0.49,0.01,TE
Nick Boyle,BAL,1.0,0.07,0.0,2.39,23.33,0.11,TE
Cameron Brate,TB,1.0,0.03,0.0,1.78,19.31,0.13,TE
Ben Braunecker,CHI,1.0,0.04,0.0,0.1,2.5,0.02,TE
Daniel Brown,CHI,1.0,0.03,0.0,0.25,2.64,0.02,TE
Trey Burton,CHI,1.0,0.59,0.0,3.21,35.55,0.26,TE
Derek Carrier,OAK,1.0,0.03,0.0,0.54,5.74,0.04,TE
Garrett Celek,SF,1.0,0.03,0.0,1.01,12.38,0.09,TE
Charles Clay,BUF,1.0,0.16,0.0,2.88,28.99,0.17,TE
Tyler Conklin,MIN,1.0,0.04,0.0,0.35,4.41,0.04,TE
Jared Cook,OAK,1.0,0.09,0.0,4.49,55.2,0.27,TE
Jason Croom,BUF,1.0,0.04,0.0,1.06,9.88,0.08,TE
Alan Cross,TB,1.0,0.03,0.0,0.22,2.41,0.02,TE
Sean Culkin,LAC,1.0,0.04,0.0,0.22,2.73,0.03,TE
Garrett Dickerson,NYG,1.0,0.03,0.0,0.31,3.37,0.04,TE
Will Dissly,SEA,1.0,0.12,0.0,2.81,36.92,0.26,TE
Eric Ebron,IND,1.0,0.08,0.0,5.85,63.49,0.42,TE
Tyler Eifert,CIN,1.0,0.07,0.0,3.34,41.54,0.29,TE
Rhett Ellison,NYG,1.0,0.09,0.0,2.91,28.58,0.21,TE
Zach Ertz,PHI,1.0,0.08,0.0,5.72,60.37,0.39,TE
Gerald Everett,LA,1.0,0.08,0.0,0.89,9.03,0.06,TE
Darren Fells,CLE,1.0,0.06,0.0,0.77,8.4,0.07,TE
Antonio Gates,LAC,1.0,0.01,0.0,2.27,25.63,0.16,TE
