Player,Team,GP,Receptions,Rec Yds,Rec TD,100-199 Rec Yds,Fum Lost,Fum,2PT,Tack,Ast,POS
Dwayne Allen,NE,1.0,5.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Stephen Anderson,NE,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Blake Bell,JAX,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,TE
Cameron Brate,TB,1.0,4.0,49.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Ben Braunecker,CHI,1.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Daniel Brown,CHI,1.0,3.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Trey Burton,CHI,1.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Derek Carrier,OAK,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Garrett Celek,SF,1.0,2.0,19.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,TE
Charles Clay,BUF,1.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jared Cook,OAK,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Alan Cross,TB,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Vernon Davis,WAS,1.0,5.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
A.J. Derby,MIA,1.0,4.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Seth DeValve,CLE,1.0,3.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jack Doyle,IND,1.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Eric Ebron,IND,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Tyler Eifert,CIN,1.0,5.0,68.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Rhett Ellison,NYG,1.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
