Player,Team,GP,Receptions,Rec Yds,Rec TD,100-199 Rec Yds,Return Yds,2PT,Tack,Ast,Fum Rec,POS
Eric Saubert,ATL,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Ricky Seals-Jones,ARI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Austin Seferian-Jenkins,JAX,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jonnu Smith,TEN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Durham Smythe,MIA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Luke Stocker,TEN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Geoff Swaim,DAL,1.0,3.0,55.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Erik Swoope,IND,1.0,3.0,44.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Ian Thomas,CAR,1.0,3.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jordan Thomas,HOU,1.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Levine Toilolo,DET,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Eric Tomlinson,NYJ,1.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
C.J. Uzomah,CIN,1.0,2.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Nick Vannett,SEA,1.0,3.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Benjamin Watson,NO,1.0,4.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Cole Wick,TEN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Maxx Williams,BAL,1.0,2.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
