Player,Team,GP,Receptions,Rec Yds,Rec TD,100-199 Rec Yds,Return Yds,2PT,Tack,Ast,Fum Rec,POS
Jordan Akins,HOU,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Mark Andrews,BAL,1.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Nick Boyle,BAL,1.0,1.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Derek Carrier,OAK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,TE
Charles Clay,BUF,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jared Cook,OAK,1.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jason Croom,BUF,1.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Darrell Daniels,ARI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Vernon Davis,WAS,1.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Seth DeValve,CLE,1.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Eric Ebron,IND,1.0,9.0,105.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
Rhett Ellison,NYG,1.0,2.0,17.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,TE
Zach Ertz,PHI,1.0,10.0,110.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
Gerald Everett,LAR,1.0,3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Darren Fells,CLE,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Antonio Gates,LAC,1.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Rico Gathers,DAL,1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Mike Gesicki,MIA,1.0,3.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Dallas Goedert,PHI,1.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jimmy Graham,GB,1.0,6.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Virgil Green,LAC,1.0,1.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jermaine Gresham,ARI,1.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Ryan Griffin,HOU,1.0,6.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Xavier Grimble,PIT,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Rob Gronkowski,NE,1.0,6.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Demetrius Harris,KC,1.0,1.0,5.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,TE
Jeff Heuerman,DEN,1.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TE
Ryan Hewitt,IND,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Tyler Higbee,LAR,1.0,2.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Josh Hill,NO,1.0,2.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Austin Hooper,ATL,1.0,9.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Hayden Hurst,BAL,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jesse James,PIT,1.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Blake Jarwin,DAL,1.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Travis Kelce,KC,1.0,5.0,100.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,TE
Lance Kendricks,GB,1.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
George Kittle,SF,1.0,5.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Tyler Kroft,CIN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Matt LaCosse,DEN,1.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jordan Leggett,NYJ,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Vance McDonald,PIT,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
David Morgan,MIN,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
David Njoku,CLE,1.0,6.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
James O'Shaughnessy,JAX,1.0,3.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Brian Parker,DEN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Niles Paul,FA,1.0,7.0,65.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,TE
Josh Perkins,PHI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Jordan Reed,WAS,1.0,1.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Kyle Rudolph,MIN,1.0,5.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
