Player,Bye,Proj,Actual,Att,Att,Comp,Inc,Yds,Yds,Yds,Yds,TD,TD,TD,TD,Int,Pick Six,Sack,1st Downs,1st Downs,1st Downs,40 Yd Cmp,Att,Att,Yds,Yds,Yds,Yds,TD,TD,TD,TD,1st Downs,1st Downs,1st Downs,40 Yd Att,Tgt*,Rec,Yds,Yds,Yds,Yds,TD,TD,TD,TD,1st Downs,1st Downs,1st Downs,40 Yd Rec,Yds,Yds,Yds,Yds,TD,TD,TD,TD,2PT,Tot,Lost,POS
New Player Note B. Watson NO - TE Q Final (W) 43-19 vs Was,6,248,248,0.0,0.0,0.0,0.0,0.0,0.0,34.9,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,34.9,0.0,0.0,0.0,0.3,0.0,0.0,0.0,2.2,0.0,4.1,3.1,0.0,0.0,34.9,0.0,0.0,0.0,0.3,0.0,0.0,0.0,2.2,0.0,0.0,0.0,34.9,0.0,0.0,0.0,0.3,0.0,0.0,0.1,0.0,TE
No new player Notes A. Seferian-Jenkins Jax - TE IR Final (L) 30-14 @ KC,9,261,261,0.0,0.0,0.0,0.0,0.0,0.0,34.5,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,34.5,0.0,0.0,0.0,0.3,0.0,0.0,0.0,2.4,0.0,5.6,3.4,0.0,0.0,34.5,0.0,0.0,0.0,0.3,0.0,0.0,0.0,2.4,0.0,0.0,0.0,34.5,0.0,0.0,0.0,0.3,0.0,0.0,0.1,0.0,TE
No new player Notes A. Hooper Atl - TE Final (L) 41-17 @ Pit,8,265,265,0.0,0.0,0.0,0.0,0.0,0.0,33.7,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,33.7,0.0,0.0,0.0,0.3,0.0,0.0,0.0,2.1,0.0,4.2,3.0,0.0,0.0,33.7,0.0,0.0,0.0,0.3,0.0,0.0,0.0,2.1,0.0,0.0,0.0,33.7,0.0,0.0,0.0,0.3,0.0,0.0,0.1,0.0,TE
No new player Notes J. Heuerman Den - TE IR Final (L) 34-16 @ NYJ,10,271,271,0.0,0.0,0.0,0.0,0.0,0.0,37.4,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,37.4,0.0,0.0,0.0,0.2,0.0,0.0,0.0,2.3,0.0,5.6,3.4,0.0,0.0,37.4,0.0,0.0,0.0,0.2,0.0,0.0,0.0,2.3,0.0,0.0,0.0,37.4,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,TE
No new player Notes D. Njoku Cle - TE Final (W) 12-9 vs Bal,11,274,274,0.0,0.0,0.0,0.0,0.0,0.0,33.5,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,33.5,0.0,0.0,0.0,0.3,0.0,0.0,0.0,2.0,0.0,4.5,2.8,0.0,0.0,33.5,0.0,0.0,0.0,0.3,0.0,0.0,0.0,2.0,0.0,0.0,0.0,33.5,0.0,0.0,0.0,0.3,0.0,0.0,0.1,0.0,TE
No new player Notes G. Swaim Dal - TE IR Final (L) 19-16 @ Hou,8,326,326,0.0,0.0,0.0,0.0,0.0,0.0,30.6,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,30.6,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.1,0.0,4.5,3.2,0.0,0.0,30.6,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.1,0.0,0.0,0.0,30.6,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,TE
No new player Notes R. Ellison NYG - TE Q Final (L) 33-31 @ Car,9,340,340,0.0,0.0,0.0,0.0,0.0,0.0,32.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,32.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,2.0,0.0,4.7,2.9,0.0,0.0,32.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,2.0,0.0,0.0,0.0,32.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,TE
No new player Notes N. Vannett Sea - TE Final (L) 33-31 vs LAR,7,341,341,0.0,0.0,0.0,0.0,0.0,0.0,32.6,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,32.6,0.0,0.0,0.0,0.2,0.0,0.0,0.0,2.0,0.0,4.4,2.8,0.0,0.0,32.6,0.0,0.0,0.0,0.2,0.0,0.0,0.0,2.0,0.0,0.0,0.0,32.6,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.0,TE
No new player Notes I. Thomas Car - TE Final (W) 33-31 vs NYG,4,381,381,0.0,0.0,0.0,0.0,0.0,0.0,27.5,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,27.5,0.0,0.0,0.0,0.2,0.0,0.0,0.0,2.0,0.0,4.1,2.8,0.0,0.0,27.5,0.0,0.0,0.0,0.2,0.0,0.0,0.0,2.0,0.0,0.0,0.0,27.5,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,TE
Player Note D. Goedert Phi - TE Final (L) 23-21 vs Min,9,392,392,0.0,0.0,0.0,0.0,0.0,0.0,26.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,26.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.6,0.0,3.1,2.4,0.0,0.0,26.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.6,0.0,0.0,0.0,26.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,TE
